,Truth,ASR_Predict,asr_wer
0,首先肯定退輔會,首先肯定退不會,0.14285714285714285
1,呂玉林委員所提的,立玲委員所提的,0.375
2,退役上校教補費的問題,最預上小就費毒題,0.7
3,退輔會馮主委李副主委,最股會紅委比副作位,0.7
4,都能夠全力支持,有不全地支詞,0.7142857142857143
5,我在這裡做一點補充,所在這裡做的村,0.5555555555555556
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,0.6
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,0.8823529411764706
8,所以幾乎沒有孩子,是知乎沒有孩子,0.375
9,還在讀高中或者大學,還在讀高動獲的大學,0.3333333333333333
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,0.6153846153846154
11,軍人大概都晚婚,春輪打的東莞會,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,0.45454545454545453
13,大概都在高中大學,下載都在工準發學,0.625
14,所以我相信,出我修息,0.8
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,0.631578947368421
16,向上級去反應,小小局取法應,0.8333333333333334
17,為退役的上校,所最意的想效,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,0.0
19,是我跟委員補充,是我根人,0.7142857142857143
20,是讓公教人員,是公正佐夜,0.6666666666666666
21,就像委員講的,這項穩講的,0.6666666666666666
22,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,0.75
23,所以他有沒有享受這個福利有,是在日想制的福有,0.8461538461538461
24,那退下來還有沒有人在念大學有,退下一問拿建立的用,0.8571428571428571
25,從這個角度這是不公平的,誠市的角度就不品道,0.7272727272727273
26,謝謝副主委的說明,視覺工作的順女,0.875
27,那麼第二個我要問的現在的,第種來問的現在的,0.5
28,防疫措施非常的嚴峻,防疫出了非常的嚴峻,0.2222222222222222
29,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,0.5
30,退輔會各級榮民醫院,不會各級組名一月,0.6666666666666666
31,以及各級榮家,許知各級總教,0.6666666666666666
32,所做的各種準備措施,所做的各種準備措施,0.0
33,我相信花了不少預算,所相信化了不少預算,0.2222222222222222
34,但是這次的,是自這次的,0.4
35,防治紓困振新條例裡面,房住書穩正式條例裡面,0.6
36,退輔會一毛錢都沒有編,最不會一謀全不沒有邊,0.6
37,退輔會編列的預算,推不會編變的預算,0.375
38,所以這也是我們不了解,最這訴我們不了解,0.4
39,為甚麼退輔會,所熊麼對同罪,0.8333333333333334
40,沒有提出需求,所有提出市程,0.5
41,或者提出需求,就著提出吃誰,0.6666666666666666
42,這個審議的時候沒有將你們納入,這個損議的手沒有講引不勞路,0.5714285714285714
43,那個我們對於那個這這這個需求我們是用以緩濟急的方式,的我們對不個此次的系統我們稅動一務繼續的方式,0.64
44,來來來去支應,來了的去之意,0.6666666666666666
45,用這一種方式,最總方式,0.6666666666666666
46,是不是能符合,是不是能死責,0.3333333333333333
47,各級榮民醫院,訴及能民一類,0.8333333333333334
48,以及榮家的需求,以及準家的需求,0.14285714285714285
49,是值得堪慮的,是資的產率的,0.6666666666666666
50,那麼我再請教一下,有在請教要,0.75
51,如果你們提出來了,蘋果女的提出來了,0.375
52,而行政院沒有給,所行度沒給,0.5714285714285714
53,是到底情形是怎麼樣,是導地情緒是怎要,0.5555555555555556
54,痾跟痾跟委員報告我們主委非常關心他每個禮拜禮拜,好跟革更為報告我們就的觀設他每這禮拜沒白理,0.6521739130434783
55,都有主持相關的會議啦齁,主持項本的會議,0.5454545454545454
56,那剛剛講我們喔我們這個,所剛講我們單等不這個,0.45454545454545453
57,痾以緩濟急齁支應齁,以及法繼起好指運喔,1.0
58,公預算的部分是兩億六,登省故事兩一個,0.9
59,痾六千九百萬元,法律肚子九百的辦你,1.0
60,痾榮民榮譽基金會的,功的幾監會,0.8888888888888888
61,榮民要做基金會,中敏第救期決,1.0
62,一億七千一萬換句話說,一七次一萬的換熱水,0.6
63,我們認為從我們的公預算,什麼次為成本的工益上,0.8181818181818182
64,跟從我們的基金預算,全文的極聚地山,0.8888888888888888
65,這樣子齁合起來齁四億,建走合諧私語,0.9
66,四億大概三千,四日大概善錢,0.5
67,輔導會去年編制今年的預算,輔導會去年子知零的預算,0.3333333333333333
68,應該都有他的科子目,應內都有他的科指密,0.3333333333333333
69,我想我們都是從,所小我們都是存,0.42857142857142855
70,政府部門出來的,這不動麼出來的,0.5714285714285714
71,那你的以緩濟急的這個科子目項目,你的一緩計值的這個科技目項目,0.3333333333333333
72,如果移來做這個,所有依來做這個,0.42857142857142855
73,請問現在才三月份,請木線的才三月本,0.5
74,如果年度那裡還有急迫需求,所本別度力冕還有極各度需求,0.6666666666666666
75,你從哪裡來支應,你春哪裡來之力,0.42857142857142855
76,去爭取因為退輔會,去爭取因為最不會,0.25
77,負擔的防疫責任相當的重大,負擔著法異則日商當的重大,0.5
78,尤其是各級榮民醫院,取是六級總頂一月,0.7777777777777778
79,如果你們可以爭取到為什麼不去爭取能夠對,所果你們可以爭取道為什麼不只爭取能不隊,0.2631578947368421
80,各級防疫做出更好的貢獻,日及防意做出度好的貢獻,0.36363636363636365
81,而不是吃自己的預算,不計吃自己的預算,0.2222222222222222
82,這一點我請副主委回去跟主委報告,這給握情副組為不去個組意到,0.8
83,跟委員解釋齁就是說,跟只是好就是,0.6666666666666666
84,我們再編預算齁,北上討,1.0
85,只要是給付的部分齁,只要是起訴的部分好,0.3333333333333333
86,比如說是榮民的月月退,百敏的一屆機退,0.9
87,年初給付一定用現有的榮民,因穩你自求地種是民的中明,0.9166666666666666
88,可是到年底的時候,實失到年底的生,0.5
89,一定有榮民凋零了,第人們調比的,1.0
90,所以這一部份我們一向都會有一個,是這動我不的項的會有個,0.6666666666666666
91,我們在業務上是不受影響的,請在業務上是不受理下,0.4166666666666667
92,我們從這邊移過來其實在業務其他的,本針這的敵過取在救其他的,0.625
93,我們的業務其實是不受影響的,整的第五其是不受影響的,0.38461538461538464
94,對我是提醒善意提醒,國子整寫生意提醒,0.6666666666666666
95,做了很多事我都肯定,做很多是和都肯定,0.3333333333333333
96,但是該爭取的預算,反次改爭取的預算,0.375
97,因為不能把預期每年凋零的榮民,因為不能把預其軌年九林的農民,0.35714285714285715
98,所回饋的這一筆錢來當作,者隨貴的這一筆錢來當作,0.2727272727272727
99,以緩濟急的一個預算額度,以緩制題的一個預算額,0.2727272727272727
100,這個是不正確的一個做法,這個是正確的一句好話,0.36363636363636365
101,最後一點時間我想請教,事不的此建我想請教,0.6
102,暫行條例在今年三十十二月三十一號要截止,在行條例在經別三所月三級好要執起,0.5789473684210527
103,家屬的水電優惠,交屬的水電優會,0.2857142857142857
104,還沒有修法,還沒有修法,0.0
105,其他現役軍人的募兵制條例裡,石他是與軍準的目冰警條例,0.6153846153846154
106,都已經完成修法,已經完成修法,0.14285714285714285
107,是不是請輔導會,是不是只輔導會,0.14285714285714285
108,這個當初列在,這個幫租內在,0.5
109,這個暫行條例裡面,這個載尋求例裡面,0.375
110,就是一個招募募兵制的誘因,正是一個災務木根置的用,0.6666666666666666
111,希望募兵制的自願役的軍人來,吃了務必子的誌願與的軍人來,0.5384615384615384
112,還是會照顧你,還社會債顧,0.5
113,那現在十二月三十一號就要到了,所是的所月三時後就到,0.7142857142857143
114,條例要停止了,條例了停止了,0.16666666666666666
115,請問退輔會對這一件事情的態度怎麼樣,除退不會對制治世覺的態度怎樣,0.5294117647058824
116,是跟委委員報告謝謝委員齁,是更貴文報告細球人喔,0.75
117,那這一部份齁,是這不喔,0.8333333333333334
118,優待的措施齁我們要,日蛋的措事怎麼樣,0.7777777777777778
119,修改輔導條例,是改復導條,0.5
120,齁正在審查中,正在審查證,0.3333333333333333
121,條例截止之前能夠完成,小例之子之前能對完,0.5
122,那這樣暫行條例的部分因為這是國防部業管啦那我們也跟國防部密切合作,設對戰行條例的動風女之廣不比管能到沒跟管不密記樓,0.78125
123,國防部希望能夠能夠延長,還不希望過明夠嚴廠,0.7272727272727273
124,那我兩邊都進行,上們兩個個進行,0.5714285714285714
125,他希望延長那是不是能夠順利,像原找本是不是能不順利,0.5384615384615384
126,就不確定那我們的部分齁,不去給我們的度分考,0.5454545454545454
127,輔導條例部分跟剛剛跟委員報告,所長該工的當重報,0.9285714285714286
128,我們已經報行政院在審查中,送機報喜就會在市場,0.8333333333333334
129,好謝謝輔導會的努力謝謝,世覺不導貝的努力借謝,0.5454545454545454
130,一百零五年來到一百零八年我們的年收租金從十六點八萬增加到,百零五年來的一百領把牛們的名生租金層十六表八本增加到,0.39285714285714285
131,五百三十萬總共是三十一倍,百在十萬走公是賽之一備,0.5833333333333334
132,真的不簡單也給予肯定齁,這不簡單也非肯定號,0.45454545454545453
133,那我們從這個土地,廈本籌這的土地,0.625
134,還有建物的出租數也大幅度的在增加,還有見部的出度數也打幅度的參加,0.375
135,那從三案增加到,所總賽在增加到,0.5714285714285714
136,那我能夠理解就是說,我的更敵只的說,0.7777777777777778
137,榮民他們的這些可能是沒有繼承人,農敏他本的這些可能是沒有繼承人,0.2
138,那所捐助的不動產,的組之作的不動產,0.5
139,面積可能很小,面積可能前小,0.16666666666666666
140,然後產權十分破碎等等這些都能夠理解,然程學十分破歲等等最都的夠理解,0.4117647058823529
141,但是我不太能夠瞭解的是為什麼在,是站能夠標解的時為什麼在,0.4
142,一百零四年之前,百零四年之前,0.14285714285714285
143,我們的收入居然都是零阿,們的收入這都是了,0.45454545454545453
144,這個我是我無法理解是不是可以請說明一下下,這個所無法律解釋可以請說明下象,0.45
145,過去怎麼了,取怎麼了,0.4
146,第一個跟委員報告一下我還是,一者更龍包小果日,0.9230769230769231
147,一百零四年之前阿,百市別之前了,0.625
148,這個租賃的情況是真的是不大好,個出入的情況斯這麼是不到,0.5714285714285714
149,也沒有什麼作為不大積極,你個可某作為不到激器,0.7272727272727273
150,這中間當然很多我們研訂的都是,這中爭大都無一這個都是,0.7142857142857143
151,第一個首先要拍賣嗎,第個首心的拍賣,0.4444444444444444
152,這個部份我現在直接口頭我覺得也不公平,這個部分特新在直接口頭就得有公平,0.3888888888888889
153,我們預期要達到多少比例,們對其要達到多少比例,0.2727272727272727
