,Truth,ASR_Predict,asr_wer
0,召開一百零八年第一次晨會,召開一百零八年第一次晨會,0.0
1,承辦單位報告上次,承辦單位報告上次,0.0
2,晨會無管辦事項報告完畢,成會無管辦事項報告完畢,0.09090909090909091
3,好請計管組鍾組長,好請計管組中組長,0.125
4,好謝謝好請財務組黃組長,好謝謝好請財務組防組長,0.09090909090909091
5,報告所長財務組兩點提報第一點就是,報告所長財務組兩電提報第一點就是,0.0625
6,財務室現在目前正在檢整一零七年的預算資料,財務視現在目前正在整一零七年的綠算資料,0.15
7,所以請各計畫,所以請各計畫,0.0
8,預算經費需求的修訂作業的動作,預算經費需求的修訂作業的動作,0.0
9,第二點就是一百零七年如果各單位還有一些掛帳還沒有,第點究時一百零七年如果各單位還有一些掛障礙沒有,0.20833333333333334
10,送過來的案子請在這兩天儘快把案子送過,送過來的案子請在這兩天儘快把案子送過,0.0
11,送到財務組辦理結報報告完畢,送到財務組辦理解報報告完畢,0.07692307692307693
12,好謝謝請工安組呂組長,好謝血請公安組日組長,0.3
13,報告所長工安組本週沒有提報事項,報告所長公安組本週沒有提供事項,0.13333333333333333
14,那個組長你這段時間要安排我到各單位去走一下,那個組長民這段時間要安排我到各單位去走影下,0.09523809523809523
15,報告是我知道,報告室不知道,0.3333333333333333
16,好謝謝請品後組施組長,航謝血請品後組師組長,0.3
17,所長還有各位長官早安品後組有兩件事情提報,所長還有各位長官早安品衡後組有兩件事情提報,0.05
18,報告第一件事就是本週四一月十號由楊副所長帶隊,報告第一件事就是本週四意院十候有楊副所長帶隊,0.18181818181818182
19,那我們到資通電軍拜訪那個唐副指揮官,那我們到之通電軍辦訪那個唐復指揮官,0.17647058823529413
20,辦理本所有關這個主管滿意度調查的一個事宜,辦理本所有關這個主管滿意度調查的一個適宜,0.05
21,那以上是第一項報告,那以上市第向報告,0.3333333333333333
22,那第二項報告是那個本所那個,那第二項報告是萬個本所個,0.15384615384615385
23,好繼續,好繼續,0.0
24,報告所長剛才是第一項第二項就是本所一百零八年度那個品質系統,報告所長剛才式第項必要向就是本所一百零八年度不可品質系統,0.2413793103448276
25,那已經奉那個所長於十二月二十八日核定,那已經奉那個所長與十二月二十八日合定,0.1111111111111111
26,那請各單位配合,那請各單位配合,0.0
27,品質目標的一個項目辦理有任何問題請跟那個品後組聯繫,品質目標的一個項目辦理有任何問題請專那個品號組聯繫,0.08
28,那品後組也完成了六堂那個品質系統,那品後組也完成了六旁那個品質系統,0.0625
29,我們的一個檢討跟評估的一個訓練會議以上是兩點報告那報告完畢,我們的一個檢討跟評估的一個訓練會議以上試兩點報告讓報告完畢,0.06896551724137931
30,好謝謝請整規組盧組長,好謝謝請整規組融組長,0.1
31,報告組長整規組無本週無提報事項報告完畢,報控組長整規組無本週提報事項報告完畢,0.10526315789473684
32,好謝謝請資材組陳組長,好謝謝請之材組陳組長,0.1
33,所長各位長官好資材組三點報告第一點財務室上週五,所長各位長官好資材組三點報告第一點財務市上中午,0.13043478260869565
34,通知全院物管系統已可開復使用,通知全院物館系統一可開復使用,0.14285714285714285
35,物籌處已協助各單位系統開帳作業請轉知,物籌處以協助各單位系統開帳作業侵轉之,0.16666666666666666
36,第二點為精實計算成本院長在院部工檢會上及上週五冷執行長,第二點為經實計算成本院長在院部工檢會上及上週午染執行長,0.1111111111111111
37,會議上宣佈一零八年度起,會議上宣布一百零八年度期,0.2727272727272727
38,已成為一級計畫單位請各位同仁,已成為一級計畫單位請各的為同仁,0.14285714285714285
39,處理物料入出庫作業請指派專人特別,處理物料入庫作業親指派專人特別,0.125
40,注意審慎處理第三本月本月份擴大物籌會報宣導,注意審慎處理地三本院本月份擴大物籌會保宣導,0.14285714285714285
41,本院採購作業規定中已要求各所中心計畫統一,本院採購作業規定已要求各所中心計畫統一,0.05
42,集中統一檢討需求編定需求計畫後申請辦理採購,其中統一檢討需求蔭定需求計畫後申請換理採購,0.14285714285714285
43,目前各所中心依規定成立採購策略會議負責購案需求審查作業,目前各所中心意規定成立採購策略會議負責購安需求審查作業,0.07407407407407407
44,執行狀況良好後續將運用台塑網,執行狀況良好後將運用臺數網,0.21428571428571427
45,電子採購後在台塑網,電子採購後在探塑網,0.1111111111111111
46,電子採購平台購案建置完成教育訓練後配合辦理報告完畢,電子產購平臺購案禁置完成教育訓練後配合辦理報告畢,0.16
47,採購策略會議恐怕還有一些漏洞,採購策略會於恐報還有一先漏洞,0.21428571428571427
48,為什麼會同時下單在某些廠,為什麼會同時下單在某現場,0.16666666666666666
49,是了解,是了解,0.0
50,這個你可能是還要再嚴謹的去做一些規劃跟考核,這個你可能還要再嚴謹的去做一些規劃跟考核,0.047619047619047616
51,好好謝謝請柯主任,好謝謝請柯主任,0.125
52,所長各位副所長各位長官大家早本週無提報事項,所長各位副所長各位長官大家早本週無報事項,0.047619047619047616
53,報告所長電戰組本週無提報事項報告完畢,報告所長電戰組本週提報事項報告完畢,0.05555555555555555
54,上次請你去查的那個同仁你現在查的狀況怎麼樣,上次情你去查的內的同仁現在查的狀況怎麼樣,0.19047619047619047
55,那個今天下午我們要約談一個廠商,那麼今天下我們要約談能的廠商,0.26666666666666666
56,這之間有一點出入這個下午有一個廠商要來約談,這之間有一點出路這個下午有一個廠商要來約談,0.047619047619047616
57,好請通信組廖組長,好請通信組廖組長,0.0
58,報告所長通信組本週無提報事項報告完畢,報告所長通信組本週提報事項報告完畢,0.05555555555555555
59,好謝謝請導控組劉組長,好謝謝請導控組劉組長,0.0
60,報告所長導控組本週無提報事項報告完畢,報告所長導控組本週無報事項報告完畢,0.05555555555555555
61,好請計算機組陳組長,好請計算機組陳組長,0.0
62,報告所長本週無提報是事項報告完畢,報告所長本週提報事項報告完畢,0.125
63,好請遙控組簡組長,好請遙控組簡組長,0.0
64,報告所長遙控組無提報事項報告完畢,報告所長遙控組提報事項報告完畢,0.0625
65,請水科組梅組長,請水科組梅組長,0.0
66,報告所長水科組一件事情提報下個禮拜一也就是一月十四號,報告所長水科組一件事情提報像禮拜一也就是醫院十四號,0.15384615384615385
67,海軍官校的電機系的學生會來我們萬象館參訪,海軍端校的電器系的學生會來我們萬象館參訪,0.1
68,那我們組裡已經在準備當中那這次的參訪,那我們組裡已經在準備當中到這次的參房,0.1111111111111111
69,主要是大學部學生那至於往年所辦理的,主要是大學部學生那至於網民所辦理的,0.11764705882352941
70,正規班的部份國防大學應該會另案辦理以上報告,正規班的部份國防大學應該會命外辦理上目報告,0.19047619047619047
71,好那個梅組長有兩位欸物籌處的軍官已經撥到你們單位去,好那個梅組長有兩位物籌出的軍管以博到你們單位屈,0.28
72,就是有關他們的工作安排還有他們以前的工作經驗,就是有關他們工作安排還有他沒以前的工作經驗,0.09090909090909091
73,報告所長他們其實已經來我們組裡報到將近一個月了,報告所長他們其實已經來我們注意報到將是一個月的,0.17391304347826086
74,那你還是要正式去跟他們了解一下,那你還是要正式去跟他們了件一下,0.06666666666666667
75,是我們之前都有了解我會再去了解,使不我們諮詢的了解不會再去了解,0.4666666666666667
76,好好謝謝請水感組賴組長,好謝血請水感組賴組長,0.18181818181818182
77,報告所長沒有提報事項報告完畢,報告所長沒有提報事報告完畢,0.07142857142857142
78,請指管組王組長,請指管組王組長,0.0
79,報告所長早那個職一月二號到任那正逐步了解本組人員,報告所長那個質醫院二號導任了正逐步了解本組人員,0.25
80,組織設施及各項業務本週無提報事項,組織設施及各項業務本週無提報事項,0.0
81,那個可以把那個聲音再去查一下有什麼原因會有會有回音那個可以把聲音再去查一下有神末原因會有回音,那個可以把生音再去查下有什麼原恩會有回姻,0.6304347826086957
82,報告所長是剛剛有些長官沒有關掉麥克風,報告所長適剛剛有些長官沒有環掉麥克風,0.1111111111111111
83,我現在正在把他關掉就可以避免回音了,我現在正把他關掉就可以避免回姻了,0.11764705882352941
84,亢龍計畫鄧副主持人,亢龍計畫等副主持人,0.1111111111111111
85,所長好亢龍計畫本週無提報事項,蘇中好亢龍計畫本週提報事項,0.21428571428571427
86,請玄武計畫毛主持人,請玄武計畫毛出持人,0.1111111111111111
87,所長好各位長官好玄武計畫幾件事情報告第一件事情,所長好各位長官好玄武及化警件事情報告第一件事情,0.13043478260869565
88,我們上週勇捷專案的部份,我們上週勇捷專案的部分,0.09090909090909091
89,我們已經把五戰區還有還有四戰區全部上線,我們已經把五戰區案有市政區全部相線,0.3157894736842105
90,本週正在系統的整個測試那這個禮拜我們,本週正在系統的整個測試那這個禮拜我們,0.0
91,我們會把他打通那個二戰區的整個上線那,我們會把好打通那個惡戰區的整個項線那,0.16666666666666666
92,那這部份我們會在這禮拜完成那我們預劃下禮拜把三戰區整個,那這部份我們會在這到完成讓我們預劃像拜打三站區整合,0.2962962962962963
93,也上線如果按照我們的期程應該在過年前全部上線報告完畢,也上線入果按照我們的期成應該在過年前全部相線都購完畢,0.19230769230769232
94,好謝謝請大成計畫謝主持人,好謝血請大成計畫現主持,0.25
95,所長好大成計畫劉邦祥副主持人代謝主持人報告幾件事情報告,所長好大成計劃劉幫向互主持了待謝主持報告幾件事情報告,0.25925925925925924
96,寰展計畫美商於上個月,寰展計畫美相與上個月,0.2
97,於上週一月三號報價金額超出原預算,於上中醫院三號報價金有超出明如算,0.375
98,我預計明天到空軍司令部跟空軍研討後續的處理方式報告完畢,我與計明天到空軍市令部跟空軍研討後續的處理方式報告完畢,0.07407407407407407
99,好謝謝請天頻計畫吳主持人,好器謝請天頻計畫無主持人,0.16666666666666666
100,所長各位長官大家好天頻計畫本週無提報事項,所長各位長官大家好聽頻計畫本週無報事項,0.1
101,好請天齊計畫翁主持人,好請天氣計畫容主持,0.3
102,報告所長天齊計畫本週無提報事項報告完畢,報告所長天齊計畫本週無提報事想報報告完畢,0.10526315789473684
103,好請乾元計畫翁副主持人,拋請情人計畫龍副主持人,0.36363636363636365
104,報告所長乾元計畫三項提報今天會參訪中華資安,報告所長情人計畫生橡提報今天會參訪中華資安,0.19047619047619047
105,明天就是八號雙潭會那星期四就是十號,明天就是包號雙談會那星期事就是時候,0.29411764705882354
106,通次室次長要來視導元昊訓場的展示,通此示持長要來適導與號訊場的展示,0.4375
107,那他行程會先到中正理工再來我們,那他行程會行到綜正力公佔來,0.4666666666666667
108,這邊來做進行視導那目前計畫正在做相關準備報告完畢,這邊來做進行視導那目前計劃正在做相關準備報告文畢,0.08333333333333333
109,好謝謝請工安組呂主任,好謝謝請公安主入主人,0.4
110,報告所長公關主任沒有報告,報告所長公關主任沒有報告,0.0
111,好謝謝請王副所長,好謝謝請王副所長,0.0
112,報告所長本週沒有報告,報告所長的週沒報告,0.2
113,好請黃益進副所長,好請黃意進步所長,0.25
114,報告所長本週無提報事項,報告所長本中提報事項,0.18181818181818182
115,好請楊副所長,好請楊副所長,0.0
116,報告所長本週無提報事項,報告所長本週無提報事項,0.0
117,好請黃副所長,好請黃副所長,0.0
118,報告所長本週無提報事項,報告所長本週無報事項,0.09090909090909091
119,好那個現在年度已經新開始一百零八年,好那個現在年度已經開始一百零八年,0.058823529411764705
120,各所中心的案子爆增我們所裡面也一樣,告手中心的案子爆增部們所裡面也一樣,0.17647058823529413
121,那請各單位一定要確實運用人力掌握人力,那請各單位一定要確實運用能力掌握人力,0.05555555555555555
122,同時要求同仁那個紀律要列為重點請各位,同時要求同仁那個紀律要列為重點請各位,0.0
123,各位主管還有計畫主持人一定要去要求同仁,各位主管還有計畫主持一定要去要求同仁,0.05263157894736842
124,遵守工作倫理還有工作紀律這是第一點,遵守工作倫力還有工作及律這是第點,0.17647058823529413
125,第二點現在年關將近氣候氣候溫度溫差也變化很大,第二點現在年關將繼氣後氣聞溫度文差一變化大,0.2727272727272727
126,請各級幹部要關懷同仁尤其是年長的同仁,請各集幹部要關懷同仁尤其四民長的同仁,0.16666666666666666
127,那有心血管同疾病的同仁那要注意要請他們注意保暖,那有新型管痛疾病的同們要注意邀請他們注意保,0.30434782608695654
128,那同時因為年關將近工作也比較繁忙繁雜,那同時因為冕館將進工作業比較繁麻煩雜,0.3333333333333333
129,那請各單位主官要落實走動式管理然後,那請各單位主管用落實總動式管理後,0.23529411764705882
130,然後要提醒同仁要注意工安跟資安,然後要提系統仁注意工安跟治,0.3333333333333333
131,那這是兩件事情今天跟各位做報告不曉得各位還有沒有什麼問題,那這是兩件事情今天各公為做報告不少得各位還有沒有什麼問題,0.14285714285714285
132,好如果沒有問題的話那我們今天的晨會到此結束謝謝各位,拋如果沒有問題的話弄今天的晨會到時結束謝謝各位,0.2
