,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,做先肯定是不去,"[['首', '做', 0, 1], ['退', '是', 4, 5], ['會', '去', 6, 7]]",0.14285714285714285,0.5714285714285714
1,呂玉林委員所提的,立玲委員所提的,是法委員所做的,"[['立', '是', 0, 1], ['玲', '法', 1, 2], ['提', '做', 5, 6]]",0.375,0.5
2,退役上校教補費的問題,最預上小就費毒題,解近調的付業問？,"[['最', '解', 0, 1], ['預', '近', 1, 2], ['上', '調', 2, 3], ['小', '的', 3, 4], ['就', '付', 4, 5], ['費', '業', 5, 6], ['毒', '問', 6, 7], ['題', '？', 7, 8]]",0.7,0.9
3,退輔會馮主委李副主委,最股會紅委比副作位,證終分員會員較席為,"[['最', '證', 0, 1], ['股', '終', 1, 2], ['會', '分', 2, 3], ['紅', '員', 3, 4], ['委', '會', 4, 5], ['比', '員', 5, 6], ['副', '較', 6, 7], ['作', '席', 7, 8], ['位', '為', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,他完同部名持,"[['有', '他', 0, 1], ['不', '完', 1, 2], ['全', '同', 2, 3], ['地', '部', 3, 4], ['支', '名', 4, 5], ['詞', '持', 5, 6]]",0.7142857142857143,0.8571428571428571
5,我在這裡做一點補充,所在這裡做的村,現在這裡住的事,"[['所', '現', 0, 1], ['做', '住', 4, 5], ['村', '事', 6, 7]]",0.5555555555555556,0.6666666666666666
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,還前在還司不一樣的地方買求中次時安炒天所後取六薪萬,"[['之', '還', 0, 1], ['直', '前', 1, 2], ['登', '在', 2, 3], ['公', '還', 3, 4], ['找', '司', 4, 5], ['訴', '買', 11, 12], ['上', '求', 12, 13], ['一', '中', 13, 14], ['小', '次', 14, 15], ['平', '時', 15, 16], ['晨', '安', 16, 17], ['退', '炒', 17, 18], ['股', '天', 18, 19], ['內', '所', 19, 20], ['領', '後', 20, 21], ['的', '取', 21, 22], ['的', '六', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.76
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的評客也構了了大不責的的失,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '評', 3, 4], ['委', '客', 4, 5], ['走', '構', 6, 7], ['思', '了', 7, 8], ['最', '了', 8, 9], ['收', '大', 9, 10], ['可', '不', 10, 11], ['到', '責', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '失', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,不似乎沒有位子,"[['是', '不', 0, 1], ['知', '似', 1, 2], ['孩', '位', 5, 6]]",0.375,0.5
9,還在讀高中或者大學,還在讀高動獲的大學,還在上過一級技大學,"[['讀', '上', 2, 3], ['高', '過', 3, 4], ['動', '一', 4, 5], ['獲', '級', 5, 6], ['的', '技', 6, 7]]",0.3333333333333333,0.5555555555555556
