,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,我媽他秒是不了,"[['首', '我', 0, 1], ['先', '媽', 1, 2], ['肯', '他', 2, 3], ['定', '秒', 3, 4], ['退', '是', 4, 5], ['會', '了', 6, 7]]",0.14285714285714285,1.0
1,呂玉林委員所提的,立玲委員所提的,剛才委師所做的,"[['立', '剛', 0, 1], ['玲', '才', 1, 2], ['員', '師', 3, 4], ['提', '做', 5, 6]]",0.375,0.625
2,退役上校教補費的問題,最預上小就費毒題,解後的的付市三了,"[['最', '解', 0, 1], ['預', '後', 1, 2], ['上', '的', 2, 3], ['小', '的', 3, 4], ['就', '付', 4, 5], ['費', '市', 5, 6], ['毒', '三', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,證終的取到員例人少,"[['最', '證', 0, 1], ['股', '終', 1, 2], ['會', '的', 2, 3], ['紅', '取', 3, 4], ['委', '到', 4, 5], ['比', '員', 5, 6], ['副', '例', 6, 7], ['作', '人', 7, 8], ['位', '少', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,他關接部名持,"[['有', '他', 0, 1], ['不', '關', 1, 2], ['全', '接', 2, 3], ['地', '部', 3, 4], ['支', '名', 4, 5], ['詞', '持', 5, 6]]",0.7142857142857143,0.8571428571428571
5,我在這裡做一點補充,所在這裡做的村,是在可以住的事,"[['所', '是', 0, 1], ['這', '可', 2, 3], ['裡', '以', 3, 4], ['做', '住', 4, 5], ['村', '事', 6, 7]]",0.5555555555555556,0.8888888888888888
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,還前還還司不合樣的人投買戶中次時內四間所後取六薪萬,"[['之', '還', 0, 1], ['直', '前', 1, 2], ['登', '還', 2, 3], ['公', '還', 3, 4], ['找', '司', 4, 5], ['一', '合', 6, 7], ['地', '人', 9, 10], ['方', '投', 10, 11], ['訴', '買', 11, 12], ['上', '戶', 12, 13], ['一', '中', 13, 14], ['小', '次', 14, 15], ['平', '時', 15, 16], ['晨', '內', 16, 17], ['退', '四', 17, 18], ['股', '間', 18, 19], ['內', '所', 19, 20], ['領', '後', 20, 21], ['的', '取', 21, 22], ['的', '六', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.88
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的企己也是是了大不怕的制度,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '企', 3, 4], ['委', '己', 4, 5], ['走', '是', 6, 7], ['思', '是', 7, 8], ['最', '了', 8, 9], ['收', '大', 9, 10], ['可', '不', 10, 11], ['到', '怕', 11, 12], ['任', '的', 12, 13], ['損', '制', 13, 14], ['事', '度', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,不因是的的辦絡,"[['是', '不', 0, 1], ['知', '因', 1, 2], ['乎', '是', 2, 3], ['沒', '的', 3, 4], ['有', '的', 4, 5], ['孩', '辦', 5, 6], ['子', '絡', 6, 7]]",0.375,1.0
9,還在讀高中或者大學,還在讀高動獲的大學,還在上過一上技時學,"[['讀', '上', 2, 3], ['高', '過', 3, 4], ['動', '一', 4, 5], ['獲', '上', 5, 6], ['的', '技', 6, 7], ['大', '時', 7, 8]]",0.3333333333333333,0.6666666666666666
