,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,我媽媽定對不我,"[['首', '我', 0, 1], ['先', '媽', 1, 2], ['肯', '媽', 2, 3], ['退', '對', 4, 5], ['會', '我', 6, 7]]",0.14285714285714285,0.8571428571428571
1,呂玉林委員所提的,立玲委員所提的,剛才委員所提的,"[['立', '剛', 0, 1], ['玲', '才', 1, 2]]",0.375,0.375
2,退役上校教補費的問題,最預上小就費毒題,解決從資浪費問題,"[['最', '解', 0, 1], ['預', '決', 1, 2], ['上', '從', 2, 3], ['小', '資', 3, 4], ['就', '浪', 4, 5], ['毒', '問', 6, 7]]",0.7,0.7
3,退輔會馮主委李副主委,最股會紅委比副作位,證監會監席的職務是,"[['最', '證', 0, 1], ['股', '監', 1, 2], ['紅', '監', 3, 4], ['委', '席', 4, 5], ['比', '的', 5, 6], ['副', '職', 6, 7], ['作', '務', 7, 8], ['位', '是', 8, 9]]",0.7,0.9
4,都能夠全力支持,有不全地支詞,他不特地說道,"[['有', '他', 0, 1], ['全', '特', 2, 3], ['支', '說', 4, 5], ['詞', '道', 5, 6]]",0.7142857142857143,1.0
5,我在這裡做一點補充,所在這裡做的村,是在農裡住的人,"[['所', '是', 0, 1], ['這', '農', 2, 3], ['做', '住', 4, 5], ['村', '人', 6, 7]]",0.5555555555555556,0.7777777777777778
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,還可以以用不一任的方式購取中小企東在期申領取的現金,"[['之', '還', 0, 1], ['直', '可', 1, 2], ['登', '以', 2, 3], ['公', '以', 3, 4], ['找', '用', 4, 5], ['樣', '任', 7, 8], ['地', '方', 9, 10], ['方', '式', 10, 11], ['訴', '購', 11, 12], ['上', '取', 12, 13], ['一', '中', 13, 14], ['平', '企', 15, 16], ['晨', '東', 16, 17], ['退', '在', 17, 18], ['股', '期', 18, 19], ['內', '申', 19, 20], ['的', '取', 21, 22], ['十', '現', 23, 24], ['水', '金', 24, 25]]",0.6,0.88
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的團業在做是沒有做到麼好的,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '團', 3, 4], ['委', '業', 4, 5], ['也', '在', 5, 6], ['走', '做', 6, 7], ['思', '是', 7, 8], ['最', '沒', 8, 9], ['收', '有', 9, 10], ['可', '做', 10, 11], ['任', '麼', 12, 13], ['損', '好', 13, 14], ['事', '的', 14, 15]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,不然乎要個笑頭,"[['是', '不', 0, 1], ['知', '然', 1, 2], ['沒', '要', 3, 4], ['有', '個', 4, 5], ['孩', '笑', 5, 6], ['子', '頭', 6, 7]]",0.375,0.875
9,還在讀高中或者大學,還在讀高動獲的大學,還在上運動員的年子,"[['讀', '上', 2, 3], ['高', '運', 3, 4], ['獲', '員', 5, 6], ['大', '年', 7, 8], ['學', '子', 8, 9]]",0.3333333333333333,0.7777777777777778
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,男工工資二千三十十歲,"[['對', '男', 0, 1], ['於', '工', 1, 2], ['作', '工', 2, 3], ['著', '資', 3, 4], ['平', '二', 4, 5], ['均', '千', 5, 6], ['零', '三', 6, 7], ['五', '十', 7, 8]]",0.6153846153846154,0.8461538461538461
11,軍人大概都晚婚,春輪打的東莞會,幫主席的公月書,"[['春', '幫', 0, 1], ['輪', '主', 1, 2], ['打', '席', 2, 3], ['東', '公', 4, 5], ['莞', '月', 5, 6], ['會', '書', 6, 7]]",1.0,1.0
