,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,反說我們買不了,"[['首', '反', 0, 1], ['先', '說', 1, 2], ['肯', '我', 2, 3], ['定', '們', 3, 4], ['退', '買', 4, 5], ['會', '了', 6, 7]]",0.14285714285714285,1.0
1,呂玉林委員所提的,立玲委員所提的,過是政府所做的,"[['立', '過', 0, 1], ['玲', '是', 1, 2], ['委', '政', 2, 3], ['員', '府', 3, 4], ['提', '做', 5, 6]]",0.375,0.75
2,退役上校教補費的問題,最預上小就費毒題,最近上周股市三了,"[['預', '近', 1, 2], ['小', '周', 3, 4], ['就', '股', 4, 5], ['費', '市', 5, 6], ['毒', '三', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
3,退輔會馮主委李副主委,最股會紅委比副作位,最終成員的比例人少,"[['股', '終', 1, 2], ['會', '成', 2, 3], ['紅', '員', 3, 4], ['委', '的', 4, 5], ['副', '例', 6, 7], ['作', '人', 7, 8], ['位', '少', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,家人全力支持,"[['有', '家', 0, 1], ['不', '人', 1, 2], ['地', '力', 3, 4], ['詞', '持', 5, 6]]",0.7142857142857143,0.42857142857142855
5,我在這裡做一點補充,所在這裡做的村,做成需想做的事,"[['所', '做', 0, 1], ['在', '成', 1, 2], ['這', '需', 2, 3], ['裡', '想', 3, 4], ['村', '事', 6, 7]]",0.5555555555555556,0.8888888888888888
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,兩前稱貨款不到作的男子拍工一小時十七工又逃稅六十萬,"[['之', '兩', 0, 1], ['直', '前', 1, 2], ['登', '稱', 2, 3], ['公', '貨', 3, 4], ['找', '款', 4, 5], ['一', '到', 6, 7], ['樣', '作', 7, 8], ['地', '男', 9, 10], ['方', '子', 10, 11], ['訴', '拍', 11, 12], ['上', '工', 12, 13], ['平', '時', 15, 16], ['晨', '十', 16, 17], ['退', '七', 17, 18], ['股', '工', 18, 19], ['內', '又', 19, 20], ['領', '逃', 20, 21], ['的', '稅', 21, 22], ['的', '六', 22, 23], ['水', '萬', 24, 25]]",0.6,0.88
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對庫工也建立了嚴格控任制度,"[['們', '以', 1, 2], ['顧', '庫', 3, 4], ['委', '工', 4, 5], ['走', '建', 6, 7], ['思', '立', 7, 8], ['最', '了', 8, 9], ['收', '嚴', 9, 10], ['可', '格', 10, 11], ['到', '控', 11, 12], ['損', '制', 13, 14], ['事', '度', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,不知是還有辦絡,"[['是', '不', 0, 1], ['乎', '是', 2, 3], ['沒', '還', 3, 4], ['孩', '辦', 5, 6], ['子', '絡', 6, 7]]",0.375,0.875
9,還在讀高中或者大學,還在讀高動獲的大學,還在讀高中級的時學,"[['動', '中', 4, 5], ['獲', '級', 5, 6], ['大', '時', 7, 8]]",0.3333333333333333,0.3333333333333333
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,已距離前女的九十十歲,"[['對', '已', 0, 1], ['於', '距', 1, 2], ['作', '離', 2, 3], ['著', '前', 3, 4], ['平', '女', 4, 5], ['均', '的', 5, 6], ['零', '九', 6, 7], ['五', '十', 7, 8]]",0.6153846153846154,0.8461538461538461
11,軍人大概都晚婚,春輪打的東莞會,現場人工很器人,"[['春', '現', 0, 1], ['輪', '場', 1, 2], ['打', '人', 2, 3], ['的', '工', 3, 4], ['東', '很', 4, 5], ['莞', '器', 5, 6], ['會', '人', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,是史內最後上榜的公業,"[['多', '史', 1, 2], ['數', '內', 2, 3], ['一', '後', 4, 5], ['小', '榜', 6, 7], ['子', '公', 8, 9], ['女', '業', 9, 10]]",0.4545454545454545,0.8181818181818182
13,大概都在高中大學,下載都在工準發學,結案都在我博裡上,"[['下', '結', 0, 1], ['載', '案', 1, 2], ['工', '我', 4, 5], ['準', '博', 5, 6], ['發', '裡', 6, 7], ['學', '上', 7, 8]]",0.625,0.75
