,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,把限資人在不一合的情方下是用於投集單圍募集金的部分,"[['之', '把', 0, 1], ['直', '限', 1, 2], ['登', '資', 2, 3], ['公', '人', 3, 4], ['找', '在', 4, 5], ['樣', '合', 7, 8], ['地', '情', 9, 10], ['訴', '下', 11, 12], ['上', '是', 12, 13], ['一', '用', 13, 14], ['小', '於', 14, 15], ['平', '投', 15, 16], ['晨', '集', 16, 17], ['退', '單', 17, 18], ['股', '圍', 18, 19], ['內', '募', 19, 20], ['領', '集', 20, 21], ['的', '金', 21, 22], ['十', '部', 23, 24], ['水', '分', 24, 25]]",0.6,0.84
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她有時能認望閃妻兒贊成做老師福的人,"[['會', '她', 0, 1], ['的', '有', 1, 2], ['努', '時', 2, 3], ['力', '能', 3, 4], ['失', '認', 4, 5], ['能', '閃', 6, 7], ['過', '妻', 7, 8], ['之', '兒', 8, 9], ['子', '贊', 9, 10], ['自', '做', 11, 12], ['己', '老', 12, 13], ['差', '福', 14, 15], ['與', '的', 15, 16], ['事', '人', 16, 17]]",0.631578947368421,0.9473684210526315
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的工品也不是能夠做到所有化,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '工', 3, 4], ['委', '品', 4, 5], ['走', '不', 6, 7], ['思', '是', 7, 8], ['最', '能', 8, 9], ['收', '夠', 9, 10], ['可', '做', 10, 11], ['任', '所', 12, 13], ['損', '有', 13, 14], ['事', '化', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,所們也不定存在著問題來解決的,"[['麼', '們', 1, 2], ['肯', '不', 3, 4], ['幹', '存', 5, 6], ['只', '著', 7, 8], ['未', '問', 8, 9], ['促', '題', 9, 10], ['造', '來', 10, 11], ['回', '解', 11, 12], ['答', '決', 12, 13]]",0.5,0.7857142857142857
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,兩男人抱頭抱腿上街交警遭毆打,"[['並', '兩', 0, 1], ['大', '男', 1, 2], ['學', '人', 2, 3], ['大', '抱', 3, 4], ['度', '頭', 4, 5], ['藏', '抱', 5, 6], ['在', '腿', 6, 7], ['等', '上', 7, 8], ['公', '街', 8, 9], ['為', '警', 10, 11], ['熱', '遭', 11, 12], ['練', '毆', 12, 13]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,普通國眾消費不開,"[['最', '普', 0, 1], ['預', '通', 1, 2], ['上', '國', 2, 3], ['小', '眾', 3, 4], ['就', '消', 4, 5], ['毒', '不', 6, 7], ['題', '開', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,他工味均年二百五十歲,"[['對', '他', 0, 1], ['於', '工', 1, 2], ['作', '味', 2, 3], ['著', '均', 3, 4], ['平', '年', 4, 5], ['均', '二', 5, 6], ['零', '百', 6, 7]]",0.615384615384615,0.6923076923076923
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,表驗出了一峻的成力,"[['防', '表', 0, 1], ['疫', '驗', 1, 2], ['非', '一', 4, 5], ['常', '峻', 5, 6], ['嚴', '成', 7, 8], ['峻', '力', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是我己這個不小的群體,"[['多', '我', 1, 2], ['數', '己', 2, 3], ['最', '這', 3, 4], ['一', '個', 4, 5], ['上', '不', 5, 6], ['子', '群', 8, 9], ['女', '體', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,我，我定不會道,"[['首', '我', 0, 1], ['先', '，', 1, 2], ['肯', '我', 2, 3], ['退', '不', 4, 5], ['不', '會', 5, 6], ['會', '道', 6, 7]]",0.14285714285714302,0.8571428571428571
10,退輔會各級榮民醫院,不會各級組名一月,現得量期三至一月,"[['不', '現', 0, 1], ['會', '得', 1, 2], ['各', '量', 2, 3], ['級', '期', 3, 4], ['組', '三', 4, 5], ['名', '至', 5, 6]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,證監會將監管層重停,"[['最', '證', 0, 1], ['股', '監', 1, 2], ['紅', '將', 3, 4], ['委', '監', 4, 5], ['比', '管', 5, 6], ['副', '層', 6, 7], ['作', '重', 7, 8], ['位', '停', 8, 9]]",0.7,0.9
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,作做交通樁建面應用,"[['退', '作', 0, 1], ['下', '做', 1, 2], ['一', '交', 2, 3], ['問', '通', 3, 4], ['拿', '樁', 4, 5], ['立', '面', 6, 7], ['的', '應', 7, 8]]",0.857142857142857,1.0
13,那麼第二個我要問的現在的,第種來問的現在的,這是疑聖的真候？,"[['第', '這', 0, 1], ['種', '是', 1, 2], ['來', '疑', 2, 3], ['問', '聖', 3, 4], ['現', '真', 5, 6], ['在', '候', 6, 7], ['的', '？', 7, 8]]",0.5,0.9166666666666666
14,還在讀高中或者大學,還在讀高動獲的大學,還在讀中科傳媒大學,"[['高', '中', 3, 4], ['動', '科', 4, 5], ['獲', '傳', 5, 6], ['的', '媒', 6, 7]]",0.33333333333333304,0.4444444444444444
15,所以他有沒有享受這個福利有,是在日想制的福有,我每日看到的疤痕,"[['是', '我', 0, 1], ['在', '每', 1, 2], ['想', '看', 3, 4], ['制', '到', 4, 5], ['福', '疤', 6, 7], ['有', '痕', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,幫被打到黑誤子,"[['春', '幫', 0, 1], ['輪', '被', 1, 2], ['的', '到', 3, 4], ['東', '黑', 4, 5], ['莞', '誤', 5, 6], ['會', '子', 6, 7]]",1.0,1.0
