,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,目前的公司不一樣的電充電電一小時充電你要多走五美元,"[['之', '目', 0, 1], ['直', '前', 1, 2], ['登', '的', 2, 3], ['找', '司', 4, 5], ['地', '電', 9, 10], ['方', '充', 10, 11], ['訴', '電', 11, 12], ['上', '電', 12, 13], ['平', '時', 15, 16], ['晨', '充', 16, 17], ['退', '電', 17, 18], ['股', '你', 18, 19], ['內', '要', 19, 20], ['領', '多', 20, 21], ['的', '走', 21, 22], ['的', '五', 22, 23], ['十', '美', 23, 24], ['水', '元', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,會徽希亮希可能從其中成為新的堅力量,"[['的', '徽', 1, 2], ['努', '希', 2, 3], ['力', '亮', 3, 4], ['失', '希', 4, 5], ['望', '可', 5, 6], ['過', '從', 7, 8], ['之', '其', 8, 9], ['子', '中', 9, 10], ['自', '為', 11, 12], ['己', '新', 12, 13], ['師', '的', 13, 14], ['差', '堅', 14, 15], ['與', '力', 15, 16], ['事', '量', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,這們對於商們來疑是不可思做的事,"[['所', '這', 0, 1], ['顧', '於', 3, 4], ['委', '商', 4, 5], ['也', '們', 5, 6], ['走', '來', 6, 7], ['思', '疑', 7, 8], ['最', '是', 8, 9], ['收', '不', 9, 10], ['到', '思', 11, 12], ['任', '做', 12, 13], ['損', '的', 13, 14]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,大家也知定我們是要做得成績的,"[['所', '大', 0, 1], ['麼', '家', 1, 2], ['肯', '知', 3, 4], ['幹', '我', 5, 6], ['在', '們', 6, 7], ['只', '是', 7, 8], ['未', '要', 8, 9], ['促', '做', 9, 10], ['造', '得', 10, 11], ['回', '成', 11, 12], ['答', '績', 12, 13]]",0.5,0.7857142857142857
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,並將發生頭撞向了公交車救剎車,"[['大', '將', 1, 2], ['學', '發', 2, 3], ['大', '生', 3, 4], ['度', '頭', 4, 5], ['藏', '撞', 5, 6], ['在', '向', 6, 7], ['等', '了', 7, 8], ['為', '車', 10, 11], ['熱', '救', 11, 12], ['練', '剎', 12, 13], ['打', '車', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,最終導演就是始了,"[['預', '終', 1, 2], ['上', '導', 2, 3], ['小', '演', 3, 4], ['費', '是', 5, 6], ['毒', '始', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,從八十歲的說九十十歲,"[['對', '從', 0, 1], ['於', '八', 1, 2], ['作', '十', 2, 3], ['著', '歲', 3, 4], ['平', '的', 4, 5], ['均', '說', 5, 6], ['零', '九', 6, 7], ['五', '十', 7, 8]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,你造成了一樣的難難,"[['防', '你', 0, 1], ['疫', '造', 1, 2], ['出', '成', 2, 3], ['非', '一', 4, 5], ['常', '樣', 5, 6], ['嚴', '難', 7, 8], ['峻', '難', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是國上最多上榜的國例,"[['多', '國', 1, 2], ['數', '上', 2, 3], ['一', '多', 4, 5], ['小', '榜', 6, 7], ['子', '國', 8, 9], ['女', '例', 9, 10]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,銀行撥備撥不率,"[['首', '銀', 0, 1], ['先', '行', 1, 2], ['肯', '撥', 2, 3], ['定', '備', 3, 4], ['退', '撥', 4, 5], ['會', '率', 6, 7]]",0.14285714285714302,1.0
