,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,不能在任何不一樣的地方換用任何公司控制公司債的資產,"[['之', '不', 0, 1], ['直', '能', 1, 2], ['登', '在', 2, 3], ['公', '任', 3, 4], ['找', '何', 4, 5], ['訴', '換', 11, 12], ['上', '用', 12, 13], ['一', '任', 13, 14], ['小', '何', 14, 15], ['平', '公', 15, 16], ['晨', '司', 16, 17], ['退', '控', 17, 18], ['股', '制', 18, 19], ['內', '公', 19, 20], ['領', '司', 20, 21], ['的', '債', 21, 22], ['十', '資', 23, 24], ['水', '產', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她的感情期不是和他贊成自己的人的事,"[['會', '她', 0, 1], ['努', '感', 2, 3], ['力', '情', 3, 4], ['失', '期', 4, 5], ['望', '不', 5, 6], ['能', '是', 6, 7], ['過', '和', 7, 8], ['之', '他', 8, 9], ['子', '贊', 9, 10], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16]]",0.631578947368421,0.9473684210526315
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他們的性格是相對的不見信任的人,"[['所', '他', 0, 1], ['對', '的', 2, 3], ['顧', '性', 3, 4], ['委', '格', 4, 5], ['也', '是', 5, 6], ['走', '相', 6, 7], ['思', '對', 7, 8], ['最', '的', 8, 9], ['收', '不', 9, 10], ['可', '見', 10, 11], ['到', '信', 11, 12], ['損', '的', 13, 14], ['事', '人', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那麼這肯定是一個有道的回答的,"[['所', '那', 0, 1], ['也', '這', 2, 3], ['幹', '是', 5, 6], ['在', '一', 6, 7], ['只', '個', 7, 8], ['未', '有', 8, 9], ['促', '道', 9, 10], ['造', '的', 10, 11]]",0.5,0.5
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,有大群女子正在等公交車上等候,"[['並', '有', 0, 1], ['學', '群', 2, 3], ['大', '女', 3, 4], ['度', '子', 4, 5], ['藏', '正', 5, 6], ['為', '車', 10, 11], ['熱', '上', 11, 12], ['練', '等', 12, 13], ['打', '候', 13, 14]]",0.75,0.8
5,退役上校教補費的問題,最預上小就費毒題,原則從小收費問題,"[['最', '原', 0, 1], ['預', '則', 1, 2], ['上', '從', 2, 3], ['就', '收', 4, 5], ['毒', '問', 6, 7]]",0.7,0.7
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方女孩平均十點十歲,"[['於', '方', 1, 2], ['作', '女', 2, 3], ['著', '孩', 3, 4], ['零', '十', 6, 7], ['五', '點', 7, 8]]",0.615384615384615,0.6923076923076923
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,他態擇會非常的嚴峻,"[['防', '他', 0, 1], ['疫', '態', 1, 2], ['出', '擇', 2, 3], ['了', '會', 3, 4]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,是無中國籍最好的美女,"[['多', '無', 1, 2], ['數', '中', 2, 3], ['最', '國', 3, 4], ['一', '籍', 4, 5], ['上', '最', 5, 6], ['小', '好', 6, 7], ['子', '美', 8, 9]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,不然肯定就不行,"[['首', '不', 0, 1], ['先', '然', 1, 2], ['退', '就', 4, 5], ['會', '行', 6, 7]]",0.14285714285714302,0.7142857142857143
10,退輔會各級榮民醫院,不會各級組名一月,大會分組報告一次,"[['不', '大', 0, 1], ['各', '分', 2, 3], ['級', '組', 3, 4], ['組', '報', 4, 5], ['名', '告', 5, 6], ['月', '次', 7, 8]]",0.666666666666667,0.8888888888888888
