,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,不後在能司不一樣的地方換了鄧次時米和店是有股六薪萬,"[['之', '不', 0, 1], ['直', '後', 1, 2], ['登', '在', 2, 3], ['公', '能', 3, 4], ['找', '司', 4, 5], ['訴', '換', 11, 12], ['上', '了', 12, 13], ['一', '鄧', 13, 14], ['小', '次', 14, 15], ['平', '時', 15, 16], ['晨', '米', 16, 17], ['退', '和', 17, 18], ['股', '店', 18, 19], ['內', '是', 19, 20], ['領', '有', 20, 21], ['的', '股', 21, 22], ['的', '六', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她有女力希敗於讓過變幫為己的好的率,"[['會', '她', 0, 1], ['的', '有', 1, 2], ['努', '女', 2, 3], ['失', '希', 4, 5], ['望', '敗', 5, 6], ['能', '於', 6, 7], ['過', '讓', 7, 8], ['之', '過', 8, 9], ['子', '變', 9, 10], ['成', '幫', 10, 11], ['自', '為', 11, 12], ['師', '的', 13, 14], ['差', '好', 14, 15], ['與', '的', 15, 16], ['事', '率', 16, 17]]",0.631578947368421,0.8947368421052632
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他以的組客員意了了後不信的的任,"[['所', '他', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '組', 3, 4], ['委', '客', 4, 5], ['也', '員', 5, 6], ['走', '意', 6, 7], ['思', '了', 7, 8], ['最', '了', 8, 9], ['收', '後', 9, 10], ['可', '不', 10, 11], ['到', '信', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '任', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那以這肯定存是是有做準成來的,"[['所', '那', 0, 1], ['麼', '以', 1, 2], ['也', '這', 2, 3], ['幹', '存', 5, 6], ['在', '是', 6, 7], ['只', '是', 7, 8], ['未', '有', 8, 9], ['促', '做', 9, 10], ['造', '準', 10, 11], ['回', '成', 11, 12], ['答', '來', 12, 13]]",0.5,0.7142857142857143
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,有大心生學生區坐候室車機相行,"[['並', '有', 0, 1], ['學', '心', 2, 3], ['大', '生', 3, 4], ['度', '學', 4, 5], ['藏', '生', 5, 6], ['在', '區', 6, 7], ['等', '坐', 7, 8], ['公', '候', 8, 9], ['交', '室', 9, 10], ['為', '車', 10, 11], ['熱', '機', 11, 12], ['練', '相', 12, 13], ['打', '行', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,原近的海收有議點,"[['最', '原', 0, 1], ['預', '近', 1, 2], ['上', '的', 2, 3], ['小', '海', 3, 4], ['就', '收', 4, 5], ['費', '有', 5, 6], ['毒', '議', 6, 7], ['題', '點', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方女女女均十點十歲,"[['於', '方', 1, 2], ['作', '女', 2, 3], ['著', '女', 3, 4], ['平', '女', 4, 5], ['零', '十', 6, 7], ['五', '點', 7, 8]]",0.615384615384615,0.7692307692307693
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,他驗難題非常的嚴密,"[['防', '他', 0, 1], ['疫', '驗', 1, 2], ['出', '難', 2, 3], ['了', '題', 3, 4], ['峻', '密', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,是無數人愛不學的婦女,"[['多', '無', 1, 2], ['最', '人', 3, 4], ['一', '愛', 4, 5], ['上', '不', 5, 6], ['小', '學', 6, 7], ['子', '婦', 8, 9]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,不果肯定有不來,"[['首', '不', 0, 1], ['先', '果', 1, 2], ['退', '有', 4, 5], ['會', '來', 6, 7]]",0.14285714285714302,0.7142857142857143
