,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,不後有能司不到樣的人人買十鄧次時到公屋是有股六薪萬,"[['之', '不', 0, 1], ['直', '後', 1, 2], ['登', '有', 2, 3], ['公', '能', 3, 4], ['找', '司', 4, 5], ['一', '到', 6, 7], ['地', '人', 9, 10], ['方', '人', 10, 11], ['訴', '買', 11, 12], ['上', '十', 12, 13], ['一', '鄧', 13, 14], ['小', '次', 14, 15], ['平', '時', 15, 16], ['晨', '到', 16, 17], ['退', '公', 17, 18], ['股', '屋', 18, 19], ['內', '是', 19, 20], ['領', '有', 20, 21], ['的', '股', 21, 22], ['的', '六', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.88
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她有女性讓了於讓過變幫為好的好的率,"[['會', '她', 0, 1], ['的', '有', 1, 2], ['努', '女', 2, 3], ['力', '性', 3, 4], ['失', '讓', 4, 5], ['望', '了', 5, 6], ['能', '於', 6, 7], ['過', '讓', 7, 8], ['之', '過', 8, 9], ['子', '變', 9, 10], ['成', '幫', 10, 11], ['自', '為', 11, 12], ['己', '好', 12, 13], ['師', '的', 13, 14], ['差', '好', 14, 15], ['與', '的', 15, 16], ['事', '率', 16, 17]]",0.631578947368421,1.0
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他以的院來員是是了後不避任的事,"[['所', '他', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '院', 3, 4], ['委', '來', 4, 5], ['也', '員', 5, 6], ['走', '是', 6, 7], ['思', '是', 7, 8], ['最', '了', 8, 9], ['收', '後', 9, 10], ['可', '不', 10, 11], ['到', '避', 11, 12], ['損', '的', 13, 14]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,微軟這不是存是是有做準成術的,"[['所', '微', 0, 1], ['麼', '軟', 1, 2], ['也', '這', 2, 3], ['肯', '不', 3, 4], ['定', '是', 4, 5], ['幹', '存', 5, 6], ['在', '是', 6, 7], ['只', '是', 7, 8], ['未', '有', 8, 9], ['促', '做', 9, 10], ['造', '準', 10, 11], ['回', '成', 11, 12], ['答', '術', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,有指言生孩生區坐著所車何毆行,"[['並', '有', 0, 1], ['大', '指', 1, 2], ['學', '言', 2, 3], ['大', '生', 3, 4], ['度', '孩', 4, 5], ['藏', '生', 5, 6], ['在', '區', 6, 7], ['等', '坐', 7, 8], ['公', '著', 8, 9], ['交', '所', 9, 10], ['為', '車', 10, 11], ['熱', '何', 11, 12], ['練', '毆', 12, 13], ['打', '行', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,原大的海收來始了,"[['最', '原', 0, 1], ['預', '大', 1, 2], ['上', '的', 2, 3], ['小', '海', 3, 4], ['就', '收', 4, 5], ['費', '來', 5, 6], ['毒', '始', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,她工女女女己十十七歲,"[['對', '她', 0, 1], ['於', '工', 1, 2], ['作', '女', 2, 3], ['著', '女', 3, 4], ['平', '女', 4, 5], ['均', '己', 5, 6], ['零', '十', 6, 7], ['五', '十', 7, 8], ['十', '七', 8, 9]]",0.615384615384615,0.9230769230769231
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,山驗難題可實的難難,"[['防', '山', 0, 1], ['疫', '驗', 1, 2], ['出', '難', 2, 3], ['了', '題', 3, 4], ['非', '可', 4, 5], ['常', '實', 5, 6], ['嚴', '難', 7, 8], ['峻', '難', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是生己人愛不學的家司,"[['多', '生', 1, 2], ['數', '己', 2, 3], ['最', '人', 3, 4], ['一', '愛', 4, 5], ['上', '不', 5, 6], ['小', '學', 6, 7], ['子', '家', 8, 9], ['女', '司', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,不就我定有市費,"[['首', '不', 0, 1], ['先', '就', 1, 2], ['肯', '我', 2, 3], ['退', '有', 4, 5], ['不', '市', 5, 6], ['會', '費', 6, 7]]",0.14285714285714302,0.8571428571428571
10,退輔會各級榮民醫院,不會各級組名一月,現請升自任查制制,"[['不', '現', 0, 1], ['會', '請', 1, 2], ['各', '升', 2, 3], ['級', '自', 3, 4], ['組', '任', 4, 5], ['名', '查', 5, 6], ['一', '制', 6, 7], ['月', '制', 7, 8]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,證終以采用會例合少,"[['最', '證', 0, 1], ['股', '終', 1, 2], ['會', '以', 2, 3], ['紅', '采', 3, 4], ['委', '用', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '合', 7, 8], ['位', '少', 8, 9]]",0.7,1.0
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,作為來個是走萬管路,"[['退', '作', 0, 1], ['下', '為', 1, 2], ['一', '來', 2, 3], ['問', '個', 3, 4], ['拿', '是', 4, 5], ['建', '走', 5, 6], ['立', '萬', 6, 7], ['的', '管', 7, 8], ['用', '路', 8, 9]]",0.857142857142857,0.9285714285714286
13,那麼第二個我要問的現在的,第種來問的現在的,這話疑到是是假是,"[['第', '這', 0, 1], ['種', '話', 1, 2], ['來', '疑', 2, 3], ['問', '到', 3, 4], ['的', '是', 4, 5], ['現', '是', 5, 6], ['在', '假', 6, 7], ['的', '是', 7, 8]]",0.5,1.0
14,還在讀高中或者大學,還在讀高動獲的大學,還在讀年一上的時候,"[['高', '年', 3, 4], ['動', '一', 4, 5], ['獲', '上', 5, 6], ['大', '時', 7, 8], ['學', '候', 8, 9]]",0.33333333333333304,0.6666666666666666
15,所以他有沒有享受這個福利有,是在日想制的福有,我我他建人的電幣,"[['是', '我', 0, 1], ['在', '我', 1, 2], ['日', '他', 2, 3], ['想', '建', 3, 4], ['制', '人', 4, 5], ['福', '電', 6, 7], ['有', '幣', 7, 8]]",0.8461538461538459,0.9230769230769231
16,軍人大概都晚婚,春輪打的東莞會,幫被來遍記賣粥,"[['春', '幫', 0, 1], ['輪', '被', 1, 2], ['打', '來', 2, 3], ['的', '遍', 3, 4], ['東', '記', 4, 5], ['莞', '賣', 5, 6], ['會', '粥', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,我們類是網上之中,"[['下', '我', 0, 1], ['載', '們', 1, 2], ['都', '類', 2, 3], ['在', '是', 3, 4], ['工', '網', 4, 5], ['準', '上', 5, 6], ['發', '之', 6, 7], ['學', '中', 7, 8]]",0.625,1.0
18,爭取應有的權益,爭取應有的權益,爭者應有的平益,"[['取', '者', 1, 2], ['權', '平', 5, 6]]",0.0,0.2857142857142857
19,為退役的上校,所最意的想效,我得終想事向,"[['所', '我', 0, 1], ['最', '得', 1, 2], ['意', '終', 2, 3], ['的', '想', 3, 4], ['想', '事', 4, 5], ['效', '向', 5, 6]]",0.833333333333333,1.0
20,所以幾乎沒有孩子,是知乎沒有孩子,不因為生了的單,"[['是', '不', 0, 1], ['知', '因', 1, 2], ['乎', '為', 2, 3], ['沒', '生', 3, 4], ['有', '了', 4, 5], ['孩', '的', 5, 6], ['子', '單', 6, 7]]",0.375,1.0
