,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一前有尋司不一樣的地方寫導鄧月時內五班後裏裏三薪萬,"[['之', '一', 0, 1], ['直', '前', 1, 2], ['登', '有', 2, 3], ['公', '尋', 3, 4], ['找', '司', 4, 5], ['訴', '寫', 11, 12], ['上', '導', 12, 13], ['一', '鄧', 13, 14], ['小', '月', 14, 15], ['平', '時', 15, 16], ['晨', '內', 16, 17], ['退', '五', 17, 18], ['股', '班', 18, 19], ['內', '後', 19, 20], ['領', '裏', 20, 21], ['的', '裏', 21, 22], ['的', '三', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他更暴力希敗又讓法促為為教的親一壞,"[['會', '他', 0, 1], ['的', '更', 1, 2], ['努', '暴', 2, 3], ['失', '希', 4, 5], ['望', '敗', 5, 6], ['能', '又', 6, 7], ['過', '讓', 7, 8], ['之', '法', 8, 9], ['子', '促', 9, 10], ['成', '為', 10, 11], ['自', '為', 11, 12], ['己', '教', 12, 13], ['師', '的', 13, 14], ['差', '親', 14, 15], ['與', '一', 15, 16], ['事', '壞', 16, 17]]",0.631578947368421,0.8947368421052632
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的評客員深了低無不信的的失,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '評', 3, 4], ['委', '客', 4, 5], ['也', '員', 5, 6], ['走', '深', 6, 7], ['思', '了', 7, 8], ['最', '低', 8, 9], ['收', '無', 9, 10], ['可', '不', 10, 11], ['到', '信', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '失', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那以這肯定存是有有得到完報的,"[['所', '那', 0, 1], ['麼', '以', 1, 2], ['也', '這', 2, 3], ['幹', '存', 5, 6], ['在', '是', 6, 7], ['只', '有', 7, 8], ['未', '有', 8, 9], ['促', '得', 9, 10], ['造', '到', 10, 11], ['回', '完', 11, 12], ['答', '報', 12, 13]]",0.5,0.7142857142857143
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,女大喊一媽生車坐候司車他心車,"[['並', '女', 0, 1], ['學', '喊', 2, 3], ['大', '一', 3, 4], ['度', '媽', 4, 5], ['藏', '生', 5, 6], ['在', '車', 6, 7], ['等', '坐', 7, 8], ['公', '候', 8, 9], ['交', '司', 9, 10], ['為', '車', 10, 11], ['熱', '他', 11, 12], ['練', '心', 12, 13], ['打', '車', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,稍近一也學是問了,"[['最', '稍', 0, 1], ['預', '近', 1, 2], ['上', '一', 2, 3], ['小', '也', 3, 4], ['就', '學', 4, 5], ['費', '是', 5, 6], ['毒', '問', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方老者平均已點十秒,"[['於', '方', 1, 2], ['作', '老', 2, 3], ['著', '者', 3, 4], ['零', '已', 6, 7], ['五', '點', 7, 8], ['歲', '秒', 9, 10]]",0.615384615384615,0.7692307692307693
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,形現死得非常的嚴重,"[['防', '形', 0, 1], ['疫', '現', 1, 2], ['出', '死', 2, 3], ['了', '得', 3, 4], ['峻', '重', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,是無親十愛歲學的婦女,"[['多', '無', 1, 2], ['數', '親', 2, 3], ['最', '十', 3, 4], ['一', '愛', 4, 5], ['上', '歲', 5, 6], ['小', '學', 6, 7], ['子', '婦', 8, 9]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,媽次肯定是不來,"[['首', '媽', 0, 1], ['先', '次', 1, 2], ['退', '是', 4, 5], ['會', '來', 6, 7]]",0.14285714285714302,0.7142857142857143
