,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,以前在這裏不一樣的地方逼他一小時時車款虧損三十三萬,"[['之', '以', 0, 1], ['直', '前', 1, 2], ['登', '在', 2, 3], ['公', '這', 3, 4], ['找', '裏', 4, 5], ['訴', '逼', 11, 12], ['上', '他', 12, 13], ['平', '時', 15, 16], ['晨', '時', 16, 17], ['退', '車', 17, 18], ['股', '款', 18, 19], ['內', '虧', 19, 20], ['領', '損', 20, 21], ['的', '三', 21, 22], ['的', '十', 22, 23], ['十', '三', 23, 24], ['水', '萬', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,會對腦力失去能力過快給自己造成傷壞,"[['的', '對', 1, 2], ['努', '腦', 2, 3], ['望', '去', 5, 6], ['過', '力', 7, 8], ['之', '過', 8, 9], ['子', '快', 9, 10], ['成', '給', 10, 11], ['師', '造', 13, 14], ['差', '成', 14, 15], ['與', '傷', 15, 16], ['事', '壞', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對乘客會造成最大可怕的損失,"[['們', '以', 1, 2], ['顧', '乘', 3, 4], ['委', '客', 4, 5], ['也', '會', 5, 6], ['走', '造', 6, 7], ['思', '成', 7, 8], ['收', '大', 9, 10], ['到', '怕', 11, 12], ['任', '的', 12, 13], ['事', '失', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,所以他肯定其實是能得到回報的,"[['麼', '以', 1, 2], ['也', '他', 2, 3], ['幹', '其', 5, 6], ['在', '實', 6, 7], ['只', '是', 7, 8], ['未', '能', 8, 9], ['促', '得', 9, 10], ['造', '到', 10, 11], ['答', '報', 12, 13]]",0.5,0.7142857142857143
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,搭乘方理悟地在了公交等他昏車,"[['並', '搭', 0, 1], ['大', '乘', 1, 2], ['學', '方', 2, 3], ['大', '理', 3, 4], ['度', '悟', 4, 5], ['藏', '地', 5, 6], ['等', '了', 7, 8], ['為', '等', 10, 11], ['熱', '他', 11, 12], ['練', '昏', 12, 13], ['打', '車', 13, 14]]",0.75,0.9
5,退役上校教補費的問題,最預上小就費毒題,最近的風雨下雪了,"[['預', '近', 1, 2], ['上', '的', 2, 3], ['小', '風', 3, 4], ['就', '雨', 4, 5], ['費', '下', 5, 6], ['毒', '雪', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,高於房價平均零點十秒,"[['對', '高', 0, 1], ['作', '房', 2, 3], ['著', '價', 3, 4], ['五', '點', 7, 8], ['歲', '秒', 9, 10]]",0.615384615384615,0.7692307692307693
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,防盜抓得非常的嚴重,"[['疫', '盜', 1, 2], ['出', '抓', 2, 3], ['了', '得', 3, 4], ['峻', '重', 8, 9]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,是多數真正無業的婦女,"[['最', '真', 3, 4], ['一', '正', 4, 5], ['上', '無', 5, 6], ['小', '業', 6, 7], ['子', '婦', 8, 9]]",0.45454545454545503,0.6363636363636364
9,首先肯定退輔會,首先肯定退不會,你先決定是不來,"[['首', '你', 0, 1], ['肯', '決', 2, 3], ['退', '是', 4, 5], ['會', '來', 6, 7]]",0.14285714285714302,0.7142857142857143
