,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,我標決定有不來,"[['首', '我', 0, 1], ['先', '標', 1, 2], ['肯', '決', 2, 3], ['退', '有', 4, 5], ['會', '來', 6, 7]]",0.14285714285714285,0.8571428571428571
1,呂玉林委員所提的,立玲委員所提的,剛馬委員所議出,"[['立', '剛', 0, 1], ['玲', '馬', 1, 2], ['提', '議', 5, 6], ['的', '出', 6, 7]]",0.375,0.625
2,退役上校教補費的問題,最預上小就費毒題,一近的海收有問了,"[['最', '一', 0, 1], ['預', '近', 1, 2], ['上', '的', 2, 3], ['小', '海', 3, 4], ['就', '收', 4, 5], ['費', '有', 5, 6], ['毒', '問', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
3,退輔會馮主委李副主委,最股會紅委比副作位,證大分員是會算單文,"[['最', '證', 0, 1], ['股', '大', 1, 2], ['會', '分', 2, 3], ['紅', '員', 3, 4], ['委', '是', 4, 5], ['比', '會', 5, 6], ['副', '算', 6, 7], ['作', '單', 7, 8], ['位', '文', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,他夠同的名課,"[['有', '他', 0, 1], ['不', '夠', 1, 2], ['全', '同', 2, 3], ['地', '的', 3, 4], ['支', '名', 4, 5], ['詞', '課', 5, 6]]",0.7142857142857143,0.8571428571428571
5,我在這裡做一點補充,所在這裡做的村,我在這裡住的事,"[['所', '我', 0, 1], ['做', '住', 4, 5], ['村', '事', 6, 7]]",0.5555555555555556,0.5555555555555556
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,不前在有司不一樣的地方坐是汪次時三每圈直次導六薪萬,"[['之', '不', 0, 1], ['直', '前', 1, 2], ['登', '在', 2, 3], ['公', '有', 3, 4], ['找', '司', 4, 5], ['訴', '坐', 11, 12], ['上', '是', 12, 13], ['一', '汪', 13, 14], ['小', '次', 14, 15], ['平', '時', 15, 16], ['晨', '三', 16, 17], ['退', '每', 17, 18], ['股', '圈', 18, 19], ['內', '直', 19, 20], ['領', '次', 20, 21], ['的', '導', 21, 22], ['的', '六', 22, 23], ['十', '薪', 23, 24], ['水', '萬', 24, 25]]",0.6,0.76
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的組客員意了了少做責的的項,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '組', 3, 4], ['委', '客', 4, 5], ['也', '員', 5, 6], ['走', '意', 6, 7], ['思', '了', 7, 8], ['最', '了', 8, 9], ['收', '少', 9, 10], ['可', '做', 10, 11], ['到', '責', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '項', 14, 15]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,不世乎沒有位子,"[['是', '不', 0, 1], ['知', '世', 1, 2], ['孩', '位', 5, 6]]",0.375,0.5
9,還在讀高中或者大學,還在讀高動獲的大學,還在讀好一級的大學,"[['高', '好', 3, 4], ['動', '一', 4, 5], ['獲', '級', 5, 6]]",0.3333333333333333,0.4444444444444444
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方女兒平均十點十歲,"[['於', '方', 1, 2], ['作', '女', 2, 3], ['著', '兒', 3, 4], ['零', '十', 6, 7], ['五', '點', 7, 8]]",0.6153846153846154,0.6923076923076923
11,軍人大概都晚婚,春輪打的東莞會,兩節來遍特動粥,"[['春', '兩', 0, 1], ['輪', '節', 1, 2], ['打', '來', 2, 3], ['的', '遍', 3, 4], ['東', '特', 4, 5], ['莞', '動', 5, 6], ['會', '粥', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,是鎮年人愛的門的婦女,"[['多', '鎮', 1, 2], ['數', '年', 2, 3], ['最', '人', 3, 4], ['一', '愛', 4, 5], ['上', '的', 5, 6], ['小', '門', 6, 7], ['子', '婦', 8, 9]]",0.4545454545454545,0.8181818181818182
13,大概都在高中大學,下載都在工準發學,因上片在網廠中？,"[['下', '因', 0, 1], ['載', '上', 1, 2], ['都', '片', 2, 3], ['工', '網', 4, 5], ['準', '廠', 5, 6], ['發', '中', 6, 7], ['學', '？', 7, 8]]",0.625,0.875
14,所以我相信,出我修息,讓臺休章,"[['出', '讓', 0, 1], ['我', '臺', 1, 2], ['修', '休', 2, 3], ['息', '章', 3, 4]]",0.8,1.0
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她有努力希沒於真此完幫為己的好的量,"[['會', '她', 0, 1], ['的', '有', 1, 2], ['失', '希', 4, 5], ['望', '沒', 5, 6], ['能', '於', 6, 7], ['過', '真', 7, 8], ['之', '此', 8, 9], ['子', '完', 9, 10], ['成', '幫', 10, 11], ['自', '為', 11, 12], ['師', '的', 13, 14], ['差', '好', 14, 15], ['與', '的', 15, 16], ['事', '量', 16, 17]]",0.631578947368421,0.8421052631578947
16,向上級去反應,小小局取法應,農安採的回權,"[['小', '農', 0, 1], ['小', '安', 1, 2], ['局', '採', 2, 3], ['取', '的', 3, 4], ['法', '回', 4, 5], ['應', '權', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,我經後外功法,"[['所', '我', 0, 1], ['最', '經', 1, 2], ['意', '後', 2, 3], ['的', '外', 3, 4], ['想', '功', 4, 5], ['效', '法', 5, 6]]",0.8333333333333334,1.0
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,是我跟委員補充,是我根人,是什害人,"[['我', '什', 1, 2], ['根', '害', 2, 3]]",0.7142857142857143,0.8571428571428571
20,是讓公教人員,是公正佐夜,是公民的理,"[['正', '民', 2, 3], ['佐', '的', 3, 4], ['夜', '理', 4, 5]]",0.6666666666666666,0.6666666666666666
21,就像委員講的,這項穩講的,這句目意會,"[['項', '句', 1, 2], ['穩', '目', 2, 3], ['講', '意', 3, 4], ['的', '會', 4, 5]]",0.6666666666666666,1.0
22,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,有大言大學生區了候室車上身行,"[['並', '有', 0, 1], ['學', '言', 2, 3], ['度', '學', 4, 5], ['藏', '生', 5, 6], ['在', '區', 6, 7], ['等', '了', 7, 8], ['公', '候', 8, 9], ['交', '室', 9, 10], ['為', '車', 10, 11], ['熱', '上', 11, 12], ['練', '身', 12, 13], ['打', '行', 13, 14]]",0.75,0.9
23,所以他有沒有享受這個福利有,是在日想制的福有,我難意本中的完星,"[['是', '我', 0, 1], ['在', '難', 1, 2], ['日', '意', 2, 3], ['想', '本', 3, 4], ['制', '中', 4, 5], ['福', '完', 6, 7], ['有', '星', 7, 8]]",0.8461538461538461,1.0
24,那退下來還有沒有人在念大學有,退下一問拿建立的用,在休來個是什豪應路,"[['退', '在', 0, 1], ['下', '休', 1, 2], ['一', '來', 2, 3], ['問', '個', 3, 4], ['拿', '是', 4, 5], ['建', '什', 5, 6], ['立', '豪', 6, 7], ['的', '應', 7, 8], ['用', '路', 8, 9]]",0.8571428571428571,0.9285714285714286
25,從這個角度這是不公平的,誠市的角度就不品道,從定的角度還不知了,"[['誠', '從', 0, 1], ['市', '定', 1, 2], ['就', '還', 5, 6], ['品', '知', 7, 8], ['道', '了', 8, 9]]",0.7272727272727273,0.6363636363636364
26,謝謝副主委的說明,視覺工作的順女,感歡工作的辛度,"[['視', '感', 0, 1], ['覺', '歡', 1, 2], ['順', '辛', 5, 6], ['女', '度', 6, 7]]",0.875,0.875
27,那麼第二個我要問的現在的,第種來問的現在的,這下人到是是實是,"[['第', '這', 0, 1], ['種', '下', 1, 2], ['來', '人', 2, 3], ['問', '到', 3, 4], ['的', '是', 4, 5], ['現', '是', 5, 6], ['在', '實', 6, 7], ['的', '是', 7, 8]]",0.5,1.0
28,防疫措施非常的嚴峻,防疫出了非常的嚴峻,表示遇況非常的嚴峻,"[['防', '表', 0, 1], ['疫', '示', 1, 2], ['出', '遇', 2, 3], ['了', '況', 3, 4]]",0.2222222222222222,0.4444444444444444
29,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那以這肯定存是很有做準成報的,"[['所', '那', 0, 1], ['麼', '以', 1, 2], ['也', '這', 2, 3], ['幹', '存', 5, 6], ['在', '是', 6, 7], ['只', '很', 7, 8], ['未', '有', 8, 9], ['促', '做', 9, 10], ['造', '準', 10, 11], ['回', '成', 11, 12], ['答', '報', 12, 13]]",0.5,0.7142857142857143
30,退輔會各級榮民醫院,不會各級組名一月,協得再自任長分次,"[['不', '協', 0, 1], ['會', '得', 1, 2], ['各', '再', 2, 3], ['級', '自', 3, 4], ['組', '任', 4, 5], ['名', '長', 5, 6], ['一', '分', 6, 7], ['月', '次', 7, 8]]",0.6666666666666666,1.0
31,以及各級榮家,許知各級總教,通迪各位幹長,"[['許', '通', 0, 1], ['知', '迪', 1, 2], ['級', '位', 3, 4], ['總', '幹', 4, 5], ['教', '長', 5, 6]]",0.6666666666666666,0.8333333333333334
32,所做的各種準備措施,所做的各種準備措施,所須的各種保備措施,"[['做', '須', 1, 2], ['準', '保', 5, 6]]",0.0,0.2222222222222222
33,我相信花了不少預算,所相信化了不少預算,真以簡出也不是名見,"[['所', '真', 0, 1], ['相', '以', 1, 2], ['信', '簡', 2, 3], ['化', '出', 3, 4], ['了', '也', 4, 5], ['少', '是', 6, 7], ['預', '名', 7, 8], ['算', '見', 8, 9]]",0.2222222222222222,0.8888888888888888
34,但是這次的,是自這次的,躲第一想起,"[['是', '躲', 0, 1], ['自', '第', 1, 2], ['這', '一', 2, 3], ['次', '想', 3, 4], ['的', '起', 4, 5]]",0.4,1.0
35,防治紓困振新條例裡面,房住書穩正式條例裡面,公防產在正當條約方二,"[['房', '公', 0, 1], ['住', '防', 1, 2], ['書', '產', 2, 3], ['穩', '在', 3, 4], ['式', '當', 5, 6], ['例', '約', 7, 8], ['裡', '方', 8, 9], ['面', '二', 9, 10]]",0.6,0.9
36,退輔會一毛錢都沒有編,最不會一謀全不沒有邊,也不惜說點就就能前人,"[['最', '也', 0, 1], ['會', '惜', 2, 3], ['一', '說', 3, 4], ['謀', '點', 4, 5], ['全', '就', 5, 6], ['不', '就', 6, 7], ['沒', '能', 7, 8], ['有', '前', 8, 9], ['邊', '人', 9, 10]]",0.6,1.0
37,退輔會編列的預算,推不會編變的預算,讓議出改誤的預期,"[['推', '讓', 0, 1], ['不', '議', 1, 2], ['會', '出', 2, 3], ['編', '改', 3, 4], ['變', '誤', 4, 5], ['算', '期', 7, 8]]",0.375,0.75
38,所以這也是我們不了解,最這訴我們不了解,是告對我們不了解,"[['最', '是', 0, 1], ['這', '告', 1, 2], ['訴', '對', 2, 3]]",0.4,0.5
39,為甚麼退輔會,所熊麼對同罪,為以面不話誌,"[['所', '為', 0, 1], ['熊', '以', 1, 2], ['麼', '面', 2, 3], ['對', '不', 3, 4], ['同', '話', 4, 5], ['罪', '誌', 5, 6]]",0.8333333333333334,0.8333333333333334
40,沒有提出需求,所有提出市程,如以提出議畫,"[['所', '如', 0, 1], ['有', '以', 1, 2], ['市', '議', 4, 5], ['程', '畫', 5, 6]]",0.5,0.6666666666666666
