,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,我就堅定了不來,"[['首', '我', 0, 1], ['先', '就', 1, 2], ['肯', '堅', 2, 3], ['退', '了', 4, 5], ['會', '來', 6, 7]]",0.14285714285714285,0.8571428571428571
1,呂玉林委員所提的,立玲委員所提的,剛剛委員所說的,"[['立', '剛', 0, 1], ['玲', '剛', 1, 2], ['提', '說', 5, 6]]",0.375,0.5
2,退役上校教補費的問題,最預上小就費毒題,一想暴露稅費問題,"[['最', '一', 0, 1], ['預', '想', 1, 2], ['上', '暴', 2, 3], ['小', '露', 3, 4], ['就', '稅', 4, 5], ['毒', '問', 6, 7]]",0.7,0.7
3,退輔會馮主委李副主委,最股會紅委比副作位,證監會選擇了新高任,"[['最', '證', 0, 1], ['股', '監', 1, 2], ['紅', '選', 3, 4], ['委', '擇', 4, 5], ['比', '了', 5, 6], ['副', '新', 6, 7], ['作', '高', 7, 8], ['位', '任', 8, 9]]",0.7,0.9
4,都能夠全力支持,有不全地支詞,他不住地大哭,"[['有', '他', 0, 1], ['全', '住', 2, 3], ['支', '大', 4, 5], ['詞', '哭', 5, 6]]",0.7142857142857143,1.0
5,我在這裡做一點補充,所在這裡做的村,我在這裡住的晚,"[['所', '我', 0, 1], ['做', '住', 4, 5], ['村', '晚', 6, 7]]",0.5555555555555556,0.5555555555555556
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,不要在一個不一樣的地方買入或者持有持股數量到五萬股,"[['之', '不', 0, 1], ['直', '要', 1, 2], ['登', '在', 2, 3], ['公', '一', 3, 4], ['找', '個', 4, 5], ['訴', '買', 11, 12], ['上', '入', 12, 13], ['一', '或', 13, 14], ['小', '者', 14, 15], ['平', '持', 15, 16], ['晨', '有', 16, 17], ['退', '持', 17, 18], ['內', '數', 19, 20], ['領', '量', 20, 21], ['的', '到', 21, 22], ['的', '五', 22, 23], ['十', '萬', 23, 24], ['水', '股', 24, 25]]",0.6,0.72
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的團隊在討論最後做到什麼事,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '團', 3, 4], ['委', '隊', 4, 5], ['也', '在', 5, 6], ['走', '討', 6, 7], ['思', '論', 7, 8], ['收', '後', 9, 10], ['可', '做', 10, 11], ['任', '什', 12, 13], ['損', '麼', 13, 14]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,不幾乎沒有位子,"[['是', '不', 0, 1], ['知', '幾', 1, 2], ['孩', '位', 5, 6]]",0.375,0.375
9,還在讀高中或者大學,還在讀高動獲的大學,還在讀好一般的大學,"[['高', '好', 3, 4], ['動', '一', 4, 5], ['獲', '般', 5, 6]]",0.3333333333333333,0.4444444444444444
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方年齡小她滿五十歲,"[['於', '方', 1, 2], ['作', '年', 2, 3], ['著', '齡', 3, 4], ['平', '小', 4, 5], ['均', '她', 5, 6], ['零', '滿', 6, 7]]",0.6153846153846154,0.7692307692307693
11,軍人大概都晚婚,春輪打的東莞會,兩個月的記明會,"[['春', '兩', 0, 1], ['輪', '個', 1, 2], ['打', '月', 2, 3], ['東', '記', 4, 5], ['莞', '明', 5, 6]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,是鎮洲僅愛的母生之女,"[['多', '鎮', 1, 2], ['數', '洲', 2, 3], ['最', '僅', 3, 4], ['一', '愛', 4, 5], ['上', '的', 5, 6], ['小', '母', 6, 7], ['的', '生', 7, 8], ['子', '之', 8, 9]]",0.4545454545454545,0.9090909090909091
13,大概都在高中大學,下載都在工準發學,因為現在醫書大學,"[['下', '因', 0, 1], ['載', '為', 1, 2], ['都', '現', 2, 3], ['工', '醫', 4, 5], ['準', '書', 5, 6], ['發', '大', 6, 7]]",0.625,0.625
14,所以我相信,出我修息,讓我休息,"[['出', '讓', 0, 1], ['修', '休', 2, 3]]",0.8,0.8
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她也努力希望通過閱變好自己的三件事,"[['會', '她', 0, 1], ['的', '也', 1, 2], ['失', '希', 4, 5], ['能', '通', 6, 7], ['之', '閱', 8, 9], ['子', '變', 9, 10], ['成', '好', 10, 11], ['師', '的', 13, 14], ['差', '三', 14, 15], ['與', '件', 15, 16]]",0.631578947368421,0.7894736842105263
16,向上級去反應,小小局取法應,農業局的回法,"[['小', '農', 0, 1], ['小', '業', 1, 2], ['取', '的', 3, 4], ['法', '回', 4, 5], ['應', '法', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,我願意的義守,"[['所', '我', 0, 1], ['最', '願', 1, 2], ['想', '義', 4, 5], ['效', '守', 5, 6]]",0.8333333333333334,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
