,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,我就肯定住不來,"[['首', '我', 0, 1], ['先', '就', 1, 2], ['退', '住', 4, 5], ['會', '來', 6, 7]]",0.14285714285714285,0.7142857142857143
1,呂玉林委員所提的,立玲委員所提的,立法委員會提出,"[['玲', '法', 1, 2], ['所', '會', 4, 5], ['的', '出', 6, 7]]",0.375,0.625
2,退役上校教補費的問題,最預上小就費毒題,最後一橋就結婚了,"[['預', '後', 1, 2], ['上', '一', 2, 3], ['小', '橋', 3, 4], ['費', '結', 5, 6], ['毒', '婚', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,第二次土地調查總文,"[['最', '第', 0, 1], ['股', '二', 1, 2], ['會', '次', 2, 3], ['紅', '土', 3, 4], ['委', '地', 4, 5], ['比', '調', 5, 6], ['副', '查', 6, 7], ['作', '總', 7, 8], ['位', '文', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,但無準時上課,"[['有', '但', 0, 1], ['不', '無', 1, 2], ['全', '準', 2, 3], ['地', '時', 3, 4], ['支', '上', 4, 5], ['詞', '課', 5, 6]]",0.7142857142857143,1.0
5,我在這裡做一點補充,所在這裡做的村,能在這裡做的事,"[['所', '能', 0, 1], ['村', '事', 6, 7]]",0.5555555555555556,0.5555555555555556
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之前在公司不一樣的地方只租一個平米的機票最多退租萬,"[['直', '前', 1, 2], ['登', '在', 2, 3], ['找', '司', 4, 5], ['訴', '只', 11, 12], ['上', '租', 12, 13], ['小', '個', 14, 15], ['晨', '米', 16, 17], ['退', '的', 17, 18], ['股', '機', 18, 19], ['內', '票', 19, 20], ['領', '最', 20, 21], ['的', '多', 21, 22], ['的', '退', 22, 23], ['十', '租', 23, 24], ['水', '萬', 24, 25]]",0.6,0.72
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,對我來說這也不是最受歡迎的事項,"[['所', '對', 0, 1], ['們', '我', 1, 2], ['對', '來', 2, 3], ['顧', '說', 3, 4], ['委', '這', 4, 5], ['走', '不', 6, 7], ['思', '是', 7, 8], ['收', '受', 9, 10], ['可', '歡', 10, 11], ['到', '迎', 11, 12], ['任', '的', 12, 13], ['損', '事', 13, 14], ['事', '項', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,不知道沒有位子,"[['是', '不', 0, 1], ['乎', '道', 2, 3], ['孩', '位', 5, 6]]",0.375,0.625
9,還在讀高中或者大學,還在讀高動獲的大學,還在做一年級的大學,"[['讀', '做', 2, 3], ['高', '一', 3, 4], ['動', '年', 4, 5], ['獲', '級', 5, 6]]",0.3333333333333333,0.5555555555555556
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,高於女飛平均九點十歲,"[['對', '高', 0, 1], ['作', '女', 2, 3], ['著', '飛', 3, 4], ['零', '九', 6, 7], ['五', '點', 7, 8]]",0.6153846153846154,0.6923076923076923
11,軍人大概都晚婚,春輪打的東莞會,下季試產廣東粥,"[['春', '下', 0, 1], ['輪', '季', 1, 2], ['打', '試', 2, 3], ['的', '產', 3, 4], ['東', '廣', 4, 5], ['莞', '東', 5, 6], ['會', '粥', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,大多數媳不上門的婦女,"[['是', '大', 0, 1], ['最', '媳', 3, 4], ['一', '不', 4, 5], ['小', '門', 6, 7], ['子', '婦', 8, 9]]",0.4545454545454545,0.5454545454545454
13,大概都在高中大學,下載都在工準發學,今天沒有工作嗎？,"[['下', '今', 0, 1], ['載', '天', 1, 2], ['都', '沒', 2, 3], ['在', '有', 3, 4], ['準', '作', 5, 6], ['發', '嗎', 6, 7], ['學', '？', 7, 8]]",0.625,1.0
14,所以我相信,出我修息,鏡頭文章,"[['出', '鏡', 0, 1], ['我', '頭', 1, 2], ['修', '文', 2, 3], ['息', '章', 3, 4]]",0.8,1.0
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,她的努力不僅是過來彌補自己的正能量,"[['會', '她', 0, 1], ['失', '不', 4, 5], ['望', '僅', 5, 6], ['能', '是', 6, 7], ['之', '來', 8, 9], ['子', '彌', 9, 10], ['成', '補', 10, 11], ['師', '的', 13, 14], ['差', '正', 14, 15], ['與', '能', 15, 16], ['事', '量', 16, 17]]",0.631578947368421,0.8421052631578947
16,向上級去反應,小小局取法應,妹妹沒有春權,"[['小', '妹', 0, 1], ['小', '妹', 1, 2], ['局', '沒', 2, 3], ['取', '有', 3, 4], ['法', '春', 4, 5], ['應', '權', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,用最好的辦法,"[['所', '用', 0, 1], ['意', '好', 2, 3], ['想', '辦', 4, 5], ['效', '法', 5, 6]]",0.8333333333333334,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,是我跟委員補充,是我根人,是我害人,"[['根', '害', 2, 3]]",0.7142857142857143,0.7142857142857143
20,是讓公教人員,是公正佐夜,是目標管理,"[['公', '目', 1, 2], ['正', '標', 2, 3], ['佐', '管', 3, 4], ['夜', '理', 4, 5]]",0.6666666666666666,0.8333333333333334
