,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,兩廣告公司不一樣的地方被訴九小時預售門票被罰五十萬,"[['之', '兩', 0, 1], ['直', '廣', 1, 2], ['登', '告', 2, 3], ['找', '司', 4, 5], ['訴', '被', 11, 12], ['上', '訴', 12, 13], ['一', '九', 13, 14], ['平', '時', 15, 16], ['晨', '預', 16, 17], ['退', '售', 17, 18], ['股', '門', 18, 19], ['內', '票', 19, 20], ['領', '被', 20, 21], ['的', '罰', 21, 22], ['的', '五', 22, 23], ['水', '萬', 24, 25]]",0.6,0.64
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他的實力並不能夠給人們自然中的評價,"[['會', '他', 0, 1], ['努', '實', 2, 3], ['失', '並', 4, 5], ['望', '不', 5, 6], ['過', '夠', 7, 8], ['之', '給', 8, 9], ['子', '人', 9, 10], ['成', '們', 10, 11], ['己', '然', 12, 13], ['師', '中', 13, 14], ['差', '的', 14, 15], ['與', '評', 15, 16], ['事', '價', 16, 17]]",0.631578947368421,0.7894736842105263
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對銀客也產生了大可能的利益,"[['們', '以', 1, 2], ['顧', '銀', 3, 4], ['委', '客', 4, 5], ['走', '產', 6, 7], ['思', '生', 7, 8], ['最', '了', 8, 9], ['收', '大', 9, 10], ['到', '能', 11, 12], ['任', '的', 12, 13], ['損', '利', 13, 14], ['事', '益', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那麼這肯定幹脆不能完成回報的,"[['所', '那', 0, 1], ['也', '這', 2, 3], ['在', '脆', 6, 7], ['只', '不', 7, 8], ['未', '能', 8, 9], ['促', '完', 9, 10], ['造', '成', 10, 11], ['答', '報', 12, 13]]",0.5,0.5714285714285714
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在入學後學借在辦公室教其練習,"[['並', '在', 0, 1], ['大', '入', 1, 2], ['大', '後', 3, 4], ['度', '學', 4, 5], ['藏', '借', 5, 6], ['等', '辦', 7, 8], ['交', '室', 9, 10], ['為', '教', 10, 11], ['熱', '其', 11, 12], ['打', '習', 13, 14]]",0.75,0.85
5,退役上校教補費的問題,最預上小就費毒題,最終上漲於十五元,"[['預', '終', 1, 2], ['小', '漲', 3, 4], ['就', '於', 4, 5], ['費', '十', 5, 6], ['毒', '五', 6, 7], ['題', '元', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對應用戶平均下九萬元,"[['於', '應', 1, 2], ['作', '用', 2, 3], ['著', '戶', 3, 4], ['零', '下', 6, 7], ['五', '九', 7, 8], ['十', '萬', 8, 9], ['歲', '元', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,流水管理非常的嚴格,"[['防', '流', 0, 1], ['疫', '水', 1, 2], ['出', '管', 2, 3], ['了', '理', 3, 4], ['峻', '格', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,是送走在大城市的子女,"[['多', '送', 1, 2], ['數', '走', 2, 3], ['最', '在', 3, 4], ['一', '大', 4, 5], ['上', '城', 5, 6], ['小', '市', 6, 7]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,首先肯定推出了,"[['退', '推', 4, 5], ['不', '出', 5, 6], ['會', '了', 6, 7]]",0.14285714285714302,0.42857142857142855
10,退輔會各級榮民醫院,不會各級組名一月,不會輸給組織一個,"[['各', '輸', 2, 3], ['級', '給', 3, 4], ['名', '織', 5, 6], ['月', '個', 7, 8]]",0.666666666666667,0.8888888888888888
11,退輔會馮主委李副主委,最股會紅委比副作位,大新會議委員會委員,"[['最', '大', 0, 1], ['股', '新', 1, 2], ['紅', '議', 3, 4], ['比', '員', 5, 6], ['副', '會', 6, 7], ['作', '委', 7, 8], ['位', '員', 8, 9]]",0.7,0.8
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,請問一下問了我的嗎,"[['退', '請', 0, 1], ['下', '問', 1, 2], ['問', '下', 3, 4], ['拿', '問', 4, 5], ['建', '了', 5, 6], ['立', '我', 6, 7], ['用', '嗎', 8, 9]]",0.857142857142857,1.0
13,那麼第二個我要問的現在的,第種來問的現在的,因而判斷的問象是,"[['第', '因', 0, 1], ['種', '而', 1, 2], ['來', '判', 2, 3], ['問', '斷', 3, 4], ['現', '問', 5, 6], ['在', '象', 6, 7], ['的', '是', 7, 8]]",0.5,0.9166666666666666
14,還在讀高中或者大學,還在讀高動獲的大學,還要做汙染物的化學,"[['在', '要', 1, 2], ['讀', '做', 2, 3], ['高', '汙', 3, 4], ['動', '染', 4, 5], ['獲', '物', 5, 6], ['大', '化', 7, 8]]",0.33333333333333304,0.7777777777777778
15,所以他有沒有享受這個福利有,是在日想制的福有,並為夢想創造現實,"[['是', '並', 0, 1], ['在', '為', 1, 2], ['日', '夢', 2, 3], ['制', '創', 4, 5], ['的', '造', 5, 6], ['福', '現', 6, 7], ['有', '實', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,希希落選東道隊,"[['春', '希', 0, 1], ['輪', '希', 1, 2], ['打', '落', 2, 3], ['的', '選', 3, 4], ['莞', '道', 5, 6], ['會', '隊', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,下班就在工廠發貨,"[['載', '班', 1, 2], ['都', '就', 2, 3], ['準', '廠', 5, 6], ['學', '貨', 7, 8]]",0.625,0.875
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,為退役的上校,所最意的想效,我最初的想法,"[['所', '我', 0, 1], ['意', '初', 2, 3], ['效', '法', 5, 6]]",0.833333333333333,0.8333333333333334
20,所以幾乎沒有孩子,是知乎沒有孩子,就知道沒有房子,"[['是', '就', 0, 1], ['乎', '道', 2, 3], ['孩', '房', 5, 6]]",0.375,0.625
21,呂玉林委員所提的,立玲委員所提的,立法委員所提的,"[['玲', '法', 1, 2]]",0.375,0.375
22,從這個角度這是不公平的,誠市的角度就不品道,合作的程度就密度了,"[['誠', '合', 0, 1], ['市', '作', 1, 2], ['角', '程', 3, 4], ['不', '密', 6, 7], ['品', '度', 7, 8], ['道', '了', 8, 9]]",0.7272727272727271,0.9090909090909091
23,我在這裡做一點補充,所在這裡做的村,我在這裡做的是,"[['所', '我', 0, 1], ['村', '是', 6, 7]]",0.555555555555556,0.4444444444444444
24,謝謝副主委的說明,視覺工作的順女,感覺操作很順暢,"[['視', '感', 0, 1], ['工', '操', 2, 3], ['的', '很', 4, 5], ['女', '暢', 6, 7]]",0.875,1.0
25,都能夠全力支持,有不全地支詞,除了全面支持,"[['有', '除', 0, 1], ['不', '了', 1, 2], ['地', '面', 3, 4], ['詞', '持', 5, 6]]",0.7142857142857142,0.5714285714285714
26,向上級去反應,小小局取法應,著火燒取消了,"[['小', '著', 0, 1], ['小', '火', 1, 2], ['局', '燒', 2, 3], ['法', '消', 4, 5], ['應', '了', 5, 6]]",0.833333333333333,1.0
27,以及各級榮家,許知各級總教,接受警方監督,"[['許', '接', 0, 1], ['知', '受', 1, 2], ['各', '警', 2, 3], ['級', '方', 3, 4], ['總', '監', 4, 5], ['教', '督', 5, 6]]",0.666666666666667,1.0
28,是讓公教人員,是公正佐夜,是真正的野,"[['公', '真', 1, 2], ['佐', '的', 3, 4], ['夜', '野', 4, 5]]",0.666666666666667,0.8333333333333334
29,就像委員講的,這項穩講的,這是決定的,"[['項', '是', 1, 2], ['穩', '決', 2, 3], ['講', '定', 3, 4]]",0.666666666666667,0.8333333333333334
30,是我跟委員補充,是我根人,是最根本,"[['我', '最', 1, 2], ['人', '本', 3, 4]]",0.7142857142857142,0.8571428571428571
31,所以我相信,出我修息,全面整改,"[['出', '全', 0, 1], ['我', '面', 1, 2], ['修', '整', 2, 3], ['息', '改', 3, 4]]",0.8,1.0
32,那個我們對於那個這這這個需求我們是用以緩濟急的方式,的我們對不個此次的系統我們稅動一務繼續的方式,那我們在這個賽季的訓練我們還會一個繼續的去向,"[['的', '那', 0, 1], ['對', '在', 3, 4], ['不', '這', 4, 5], ['此', '賽', 6, 7], ['次', '季', 7, 8], ['系', '訓', 9, 10], ['統', '練', 10, 11], ['稅', '還', 13, 14], ['動', '會', 14, 15], ['務', '個', 16, 17], ['方', '去', 20, 21], ['式', '向', 21, 22]]",0.64,0.72
33,跟跟委員報告我們主委非常關心他每個禮拜禮拜,好跟革更為報告我們就的觀設他每這禮拜沒白理,呃跟各單位報告我們就是希望他們這禮拜有作業,"[['好', '呃', 0, 1], ['革', '各', 2, 3], ['更', '單', 3, 4], ['為', '位', 4, 5], ['的', '是', 10, 11], ['觀', '希', 11, 12], ['設', '望', 12, 13], ['每', '們', 14, 15], ['沒', '有', 18, 19], ['白', '作', 19, 20], ['理', '業', 20, 21]]",0.666666666666667,0.7142857142857143
34,以緩濟急支應,以及法繼起好指運喔,你無法預測它的運作,"[['以', '你', 0, 1], ['及', '無', 1, 2], ['繼', '預', 3, 4], ['起', '測', 4, 5], ['好', '它', 5, 6], ['指', '的', 6, 7], ['喔', '作', 8, 9]]",1.33333333333333,1.5
35,這個審議的時候沒有將你們納入,這個損議的手沒有講引不勞路,那個如果說密碼有借就不了喔,"[['這', '那', 0, 1], ['損', '如', 2, 3], ['議', '果', 3, 4], ['的', '說', 4, 5], ['手', '密', 5, 6], ['沒', '碼', 6, 7], ['講', '借', 8, 9], ['引', '就', 9, 10], ['勞', '了', 11, 12], ['路', '喔', 12, 13]]",0.5714285714285711,0.8571428571428571
36,一億七千一萬換句話說,一七次一萬的換熱水,一般第一次就是手機,"[['七', '般', 1, 2], ['次', '第', 2, 3], ['萬', '次', 4, 5], ['的', '就', 5, 6], ['換', '是', 6, 7], ['熱', '手', 7, 8], ['水', '機', 8, 9]]",0.6,0.8
37,那剛剛講我們喔我們這個,所剛講我們單等不這個,所以說我們就位於這樣,"[['剛', '以', 1, 2], ['講', '說', 2, 3], ['單', '就', 5, 6], ['等', '位', 6, 7], ['不', '於', 7, 8], ['個', '樣', 9, 10]]",0.45454545454545503,0.7272727272727273
38,防治紓困振新條例裡面,房住書穩正式條例裡面,房產房保屬權條例出面,"[['住', '產', 1, 2], ['書', '房', 2, 3], ['穩', '保', 3, 4], ['正', '屬', 4, 5], ['式', '權', 5, 6], ['裡', '出', 8, 9]]",0.6,0.7
39,退輔會一毛錢都沒有編,最不會一謀全不沒有邊,這不明一方面是握有人,"[['最', '這', 0, 1], ['會', '明', 2, 3], ['謀', '方', 4, 5], ['全', '面', 5, 6], ['不', '是', 6, 7], ['沒', '握', 7, 8], ['邊', '人', 9, 10]]",0.6,0.8
40,六千九百萬元,法律肚子九百的辦你,跑官上是有一個想法,"[['法', '跑', 0, 1], ['律', '官', 1, 2], ['肚', '上', 2, 3], ['子', '是', 3, 4], ['九', '有', 4, 5], ['百', '一', 5, 6], ['的', '個', 6, 7], ['辦', '想', 7, 8], ['你', '法', 8, 9]]",1.16666666666667,1.5
41,我們認為從我們的公預算,什麼次為成本的工益上,什麼就是成熟的工業化,"[['次', '就', 2, 3], ['為', '是', 3, 4], ['本', '熟', 5, 6], ['益', '業', 8, 9], ['上', '化', 9, 10]]",0.818181818181818,0.9090909090909091
42,都有主持相關的會議啦,主持項本的會議,主持的評次會議,"[['項', '的', 2, 3], ['本', '評', 3, 4], ['的', '次', 4, 5]]",0.5,0.6
43,所以這也是我們不了解,最這訴我們不了解,呃這個我們還了解,"[['最', '呃', 0, 1], ['訴', '個', 2, 3], ['不', '還', 5, 6]]",0.4,0.5
44,所做的各種準備措施,所做的各種準備措施,所做的各種準備措施,[],0.0,0.0
45,各級榮民醫院,訴及能民一類,生化能源專案,"[['訴', '生', 0, 1], ['及', '化', 1, 2], ['民', '源', 3, 4], ['一', '專', 4, 5], ['類', '案', 5, 6]]",0.833333333333333,1.0
46,是到底情形是怎麼樣,是導地情緒是怎要,真實的情況是怎樣,"[['是', '真', 0, 1], ['導', '實', 1, 2], ['地', '的', 2, 3], ['緒', '況', 4, 5], ['要', '樣', 7, 8]]",0.555555555555556,0.5555555555555556
47,我相信花了不少預算,所相信化了不少預算,所依賴的是至少提示,"[['相', '依', 1, 2], ['信', '賴', 2, 3], ['化', '的', 3, 4], ['了', '是', 4, 5], ['不', '至', 5, 6], ['預', '提', 7, 8], ['算', '示', 8, 9]]",0.222222222222222,0.8888888888888888
48,退輔會編列的預算,推不會編變的預算,組委會發布新公告,"[['推', '組', 0, 1], ['不', '委', 1, 2], ['編', '發', 3, 4], ['變', '布', 4, 5], ['的', '新', 5, 6], ['預', '公', 6, 7], ['算', '告', 7, 8]]",0.375,0.875
49,榮民要做基金會,中敏第救期決,去咨詢一老二,"[['中', '去', 0, 1], ['敏', '咨', 1, 2], ['第', '詢', 2, 3], ['救', '一', 3, 4], ['期', '老', 4, 5], ['決', '二', 5, 6]]",1.0,1.0
50,如果你們提出來了,蘋果女的提出來了,蘋果真的口課來了,"[['女', '真', 2, 3], ['提', '口', 4, 5], ['出', '課', 5, 6]]",0.375,0.625
51,以及榮家的需求,以及準家的需求,以及大家庭需求,"[['準', '大', 2, 3], ['的', '庭', 4, 5]]",0.14285714285714302,0.2857142857142857
52,榮民榮譽基金會的,功的幾監會,功能一裏掌,"[['的', '能', 1, 2], ['幾', '一', 2, 3], ['監', '裏', 3, 4], ['會', '掌', 4, 5]]",0.875,1.0
53,用這一種方式,最總方式,最快方式,"[['總', '快', 1, 2]]",0.666666666666667,0.6666666666666666
54,公預算的部分是兩億六,登省故事兩一個,城山故事兩百個,"[['登', '城', 0, 1], ['省', '山', 1, 2], ['一', '百', 5, 6]]",0.9,0.9
55,或者提出需求,就著提出吃誰,著著提升全面,"[['就', '著', 0, 1], ['出', '升', 3, 4], ['吃', '全', 4, 5], ['誰', '面', 5, 6]]",0.666666666666667,0.8333333333333334
56,是不是能符合,是不是能死責,是不是在轉型,"[['能', '在', 3, 4], ['死', '轉', 4, 5], ['責', '型', 5, 6]]",0.33333333333333304,0.5
