,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,與前我們司不一戶的是以還是黃步時拆是院所股入五積萬,"[['之', '與', 0, 1], ['直', '前', 1, 2], ['登', '我', 2, 3], ['公', '們', 3, 4], ['找', '司', 4, 5], ['樣', '戶', 7, 8], ['地', '是', 9, 10], ['方', '以', 10, 11], ['訴', '還', 11, 12], ['上', '是', 12, 13], ['一', '黃', 13, 14], ['小', '步', 14, 15], ['平', '時', 15, 16], ['晨', '拆', 16, 17], ['退', '是', 17, 18], ['股', '院', 18, 19], ['內', '所', 19, 20], ['領', '股', 20, 21], ['的', '入', 21, 22], ['的', '五', 22, 23], ['十', '積', 23, 24], ['水', '萬', 24, 25]]",0.6,0.84
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他很些些是沒不將空造容的老的人的價,"[['會', '他', 0, 1], ['的', '很', 1, 2], ['努', '些', 2, 3], ['力', '些', 3, 4], ['失', '是', 4, 5], ['望', '沒', 5, 6], ['能', '不', 6, 7], ['過', '將', 7, 8], ['之', '空', 8, 9], ['子', '造', 9, 10], ['成', '容', 10, 11], ['自', '的', 11, 12], ['己', '老', 12, 13], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '價', 16, 17]]",0.631578947368421,1.0
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的新步員不是到高不貴的性的,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '新', 3, 4], ['委', '步', 4, 5], ['也', '員', 5, 6], ['走', '不', 6, 7], ['思', '是', 7, 8], ['最', '到', 8, 9], ['收', '高', 9, 10], ['可', '不', 10, 11], ['到', '貴', 11, 12], ['任', '的', 12, 13], ['損', '性', 13, 14], ['事', '的', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,高董你就是存脆旁能有慮自己的,"[['所', '高', 0, 1], ['麼', '董', 1, 2], ['也', '你', 2, 3], ['肯', '就', 3, 4], ['定', '是', 4, 5], ['幹', '存', 5, 6], ['在', '脆', 6, 7], ['只', '旁', 7, 8], ['未', '能', 8, 9], ['促', '有', 9, 10], ['造', '慮', 10, 11], ['回', '自', 11, 12], ['答', '己', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,女配現生們地院了一下車他毆習,"[['並', '女', 0, 1], ['大', '配', 1, 2], ['學', '現', 2, 3], ['大', '生', 3, 4], ['度', '們', 4, 5], ['藏', '地', 5, 6], ['在', '院', 6, 7], ['等', '了', 7, 8], ['公', '一', 8, 9], ['交', '下', 9, 10], ['為', '車', 10, 11], ['熱', '他', 11, 12], ['練', '毆', 12, 13], ['打', '習', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,因近狹理學是五的,"[['最', '因', 0, 1], ['預', '近', 1, 2], ['上', '狹', 2, 3], ['小', '理', 3, 4], ['就', '學', 4, 5], ['費', '是', 5, 6], ['毒', '五', 6, 7], ['題', '的', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,照面男員一千體十九元,"[['對', '照', 0, 1], ['於', '面', 1, 2], ['作', '男', 2, 3], ['著', '員', 3, 4], ['平', '一', 4, 5], ['均', '千', 5, 6], ['零', '體', 6, 7], ['五', '十', 7, 8], ['十', '九', 8, 9], ['歲', '元', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,表現情題非常的影害,"[['防', '表', 0, 1], ['疫', '現', 1, 2], ['出', '情', 2, 3], ['了', '題', 3, 4], ['嚴', '影', 7, 8], ['峻', '害', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,大天中家好的市的公校,"[['是', '大', 0, 1], ['多', '天', 1, 2], ['數', '中', 2, 3], ['最', '家', 3, 4], ['一', '好', 4, 5], ['上', '的', 5, 6], ['小', '市', 6, 7], ['子', '公', 8, 9], ['女', '校', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,小你是漲是美了,"[['首', '小', 0, 1], ['先', '你', 1, 2], ['肯', '是', 2, 3], ['定', '漲', 3, 4], ['退', '是', 4, 5], ['不', '美', 5, 6], ['會', '了', 6, 7]]",0.14285714285714302,1.0
