,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,農言吳些文不上合的文子訴上海小區企恢侵權獲賠一賠萬,"[['之', '農', 0, 1], ['直', '言', 1, 2], ['登', '吳', 2, 3], ['公', '些', 3, 4], ['找', '文', 4, 5], ['一', '上', 6, 7], ['樣', '合', 7, 8], ['地', '文', 9, 10], ['方', '子', 10, 11], ['一', '海', 13, 14], ['平', '區', 15, 16], ['晨', '企', 16, 17], ['退', '恢', 17, 18], ['股', '侵', 18, 19], ['內', '權', 19, 20], ['領', '獲', 20, 21], ['的', '賠', 21, 22], ['的', '一', 22, 23], ['十', '賠', 23, 24], ['水', '萬', 24, 25]]",0.6,0.88
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,許否精擇工麥並不會帶給自人的正能量,"[['會', '許', 0, 1], ['的', '否', 1, 2], ['努', '精', 2, 3], ['力', '擇', 3, 4], ['失', '工', 4, 5], ['望', '麥', 5, 6], ['能', '並', 6, 7], ['過', '不', 7, 8], ['之', '會', 8, 9], ['子', '帶', 9, 10], ['成', '給', 10, 11], ['己', '人', 12, 13], ['師', '的', 13, 14], ['差', '正', 14, 15], ['與', '能', 15, 16], ['事', '量', 16, 17]]",0.631578947368421,1.0
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對於委員有一些少受發議的喔,"[['們', '以', 1, 2], ['顧', '於', 3, 4], ['也', '員', 5, 6], ['走', '有', 6, 7], ['思', '一', 7, 8], ['最', '些', 8, 9], ['收', '少', 9, 10], ['可', '受', 10, 11], ['到', '發', 11, 12], ['任', '議', 12, 13], ['損', '的', 13, 14], ['事', '喔', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我我也希信中國隊能創造奇績的,"[['所', '我', 0, 1], ['麼', '我', 1, 2], ['肯', '希', 3, 4], ['定', '信', 4, 5], ['幹', '中', 5, 6], ['在', '國', 6, 7], ['只', '隊', 7, 8], ['未', '能', 8, 9], ['促', '創', 9, 10], ['回', '奇', 11, 12], ['答', '績', 12, 13]]",0.5,0.8571428571428571
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,並且互相能受功於事利便其練習,"[['大', '且', 1, 2], ['學', '互', 2, 3], ['大', '相', 3, 4], ['度', '能', 4, 5], ['藏', '受', 5, 6], ['在', '功', 6, 7], ['等', '於', 7, 8], ['公', '事', 8, 9], ['交', '利', 9, 10], ['為', '便', 10, 11], ['熱', '其', 11, 12], ['打', '習', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,最後的小孩有生的,"[['預', '後', 1, 2], ['上', '的', 2, 3], ['就', '孩', 4, 5], ['費', '有', 5, 6], ['毒', '生', 6, 7], ['題', '的', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,鉛為那為比大體重的米,"[['對', '鉛', 0, 1], ['於', '為', 1, 2], ['作', '那', 2, 3], ['著', '為', 3, 4], ['平', '比', 4, 5], ['均', '大', 5, 6], ['零', '體', 6, 7], ['五', '重', 7, 8], ['十', '的', 8, 9], ['歲', '米', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,則造成了一重的影災,"[['防', '則', 0, 1], ['疫', '造', 1, 2], ['出', '成', 2, 3], ['非', '一', 4, 5], ['常', '重', 5, 6], ['嚴', '影', 7, 8], ['峻', '災', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是國內不少落馬的房校,"[['多', '國', 1, 2], ['數', '內', 2, 3], ['最', '不', 3, 4], ['一', '少', 4, 5], ['上', '落', 5, 6], ['小', '馬', 6, 7], ['子', '房', 8, 9], ['女', '校', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,尤其是我退休了,"[['首', '尤', 0, 1], ['先', '其', 1, 2], ['肯', '是', 2, 3], ['定', '我', 3, 4], ['不', '休', 5, 6], ['會', '了', 6, 7]]",0.14285714285714302,0.8571428571428571
