,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,和前以想司不一樣的地方跟是徐年半司在休所養入五薪金,"[['之', '和', 0, 1], ['直', '前', 1, 2], ['登', '以', 2, 3], ['公', '想', 3, 4], ['找', '司', 4, 5], ['訴', '跟', 11, 12], ['上', '是', 12, 13], ['一', '徐', 13, 14], ['小', '年', 14, 15], ['平', '半', 15, 16], ['晨', '司', 16, 17], ['退', '在', 17, 18], ['股', '休', 18, 19], ['內', '所', 19, 20], ['領', '養', 20, 21], ['的', '入', 21, 22], ['的', '五', 22, 23], ['十', '薪', 23, 24], ['水', '金', 24, 25]]",0.6,0.72
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,人因努力希不卻將底造伏自己的人的怕,"[['會', '人', 0, 1], ['的', '因', 1, 2], ['失', '希', 4, 5], ['望', '不', 5, 6], ['能', '卻', 6, 7], ['過', '將', 7, 8], ['之', '底', 8, 9], ['子', '造', 9, 10], ['成', '伏', 10, 11], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '怕', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以跟組客員要了說後做信的一失,"[['們', '以', 1, 2], ['對', '跟', 2, 3], ['顧', '組', 3, 4], ['委', '客', 4, 5], ['也', '員', 5, 6], ['走', '要', 6, 7], ['思', '了', 7, 8], ['最', '說', 8, 9], ['收', '後', 9, 10], ['可', '做', 10, 11], ['到', '信', 11, 12], ['任', '的', 12, 13], ['損', '一', 13, 14], ['事', '失', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我長你肯定存這極能創人回報的,"[['所', '我', 0, 1], ['麼', '長', 1, 2], ['也', '你', 2, 3], ['幹', '存', 5, 6], ['在', '這', 6, 7], ['只', '極', 7, 8], ['未', '能', 8, 9], ['促', '創', 9, 10], ['造', '人', 10, 11], ['答', '報', 12, 13]]",0.5,0.7142857142857143
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,一同量生學生院小公室面其邊習,"[['並', '一', 0, 1], ['大', '同', 1, 2], ['學', '量', 2, 3], ['大', '生', 3, 4], ['度', '學', 4, 5], ['藏', '生', 5, 6], ['在', '院', 6, 7], ['等', '小', 7, 8], ['交', '室', 9, 10], ['為', '面', 10, 11], ['熱', '其', 11, 12], ['練', '邊', 12, 13], ['打', '習', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,因大速的學是問了,"[['最', '因', 0, 1], ['預', '大', 1, 2], ['上', '速', 2, 3], ['小', '的', 3, 4], ['就', '學', 4, 5], ['費', '是', 5, 6], ['毒', '問', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,由方員員已均滿五萬米,"[['對', '由', 0, 1], ['於', '方', 1, 2], ['作', '員', 2, 3], ['著', '員', 3, 4], ['平', '已', 4, 5], ['零', '滿', 6, 7], ['十', '萬', 8, 9], ['歲', '米', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,顯現形題非常的嚴密,"[['防', '顯', 0, 1], ['疫', '現', 1, 2], ['出', '形', 2, 3], ['了', '題', 3, 4], ['峻', '密', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,大為數算想的生的子輩,"[['是', '大', 0, 1], ['多', '為', 1, 2], ['最', '算', 3, 4], ['一', '想', 4, 5], ['上', '的', 5, 6], ['小', '生', 6, 7], ['女', '輩', 9, 10]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,淘批肯定是出掉,"[['首', '淘', 0, 1], ['先', '批', 1, 2], ['退', '是', 4, 5], ['不', '出', 5, 6], ['會', '掉', 6, 7]]",0.14285714285714302,0.7142857142857143
10,退輔會各級榮民醫院,不會各級組名一月,擬會降來培織參次,"[['不', '擬', 0, 1], ['各', '降', 2, 3], ['級', '來', 3, 4], ['組', '培', 4, 5], ['名', '織', 5, 6], ['一', '參', 6, 7], ['月', '次', 7, 8]]",0.666666666666667,0.8888888888888888
11,退輔會馮主委李副主委,最股會紅委比副作位,任大當赴十會股主任,"[['最', '任', 0, 1], ['股', '大', 1, 2], ['會', '當', 2, 3], ['紅', '赴', 3, 4], ['委', '十', 4, 5], ['比', '會', 5, 6], ['副', '股', 6, 7], ['作', '主', 7, 8], ['位', '任', 8, 9]]",0.7,0.9
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,就溯來個所什樣商嗎,"[['退', '就', 0, 1], ['下', '溯', 1, 2], ['一', '來', 2, 3], ['問', '個', 3, 4], ['拿', '所', 4, 5], ['建', '什', 5, 6], ['立', '樣', 6, 7], ['的', '商', 7, 8], ['用', '嗎', 8, 9]]",0.857142857142857,0.9285714285714286
13,那麼第二個我要問的現在的,第種來問的現在的,是一個年你是實嗎,"[['第', '是', 0, 1], ['種', '一', 1, 2], ['來', '個', 2, 3], ['問', '年', 3, 4], ['的', '你', 4, 5], ['現', '是', 5, 6], ['在', '實', 6, 7], ['的', '嗎', 7, 8]]",0.5,0.9166666666666666
14,還在讀高中或者大學,還在讀高動獲的大學,還沒心運中過上大學,"[['在', '沒', 1, 2], ['讀', '心', 2, 3], ['高', '運', 3, 4], ['動', '中', 4, 5], ['獲', '過', 5, 6], ['的', '上', 6, 7]]",0.33333333333333304,0.5555555555555556
15,所以他有沒有享受這個福利有,是在日想制的福有,請我意本里造才里,"[['是', '請', 0, 1], ['在', '我', 1, 2], ['日', '意', 2, 3], ['想', '本', 3, 4], ['制', '里', 4, 5], ['的', '造', 5, 6], ['福', '才', 6, 7], ['有', '里', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,由天來莞東半隊,"[['春', '由', 0, 1], ['輪', '天', 1, 2], ['打', '來', 2, 3], ['的', '莞', 3, 4], ['莞', '半', 5, 6], ['會', '隊', 6, 7]]",1.0,1.0
