,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一些人能在不一樣的話方向將向著自己的業務目標去超越,"[['之', '一', 0, 1], ['直', '些', 1, 2], ['登', '人', 2, 3], ['公', '能', 3, 4], ['找', '在', 4, 5], ['地', '話', 9, 10], ['訴', '向', 11, 12], ['上', '將', 12, 13], ['一', '向', 13, 14], ['小', '著', 14, 15], ['平', '自', 15, 16], ['晨', '己', 16, 17], ['退', '的', 17, 18], ['股', '業', 18, 19], ['內', '務', 19, 20], ['領', '目', 20, 21], ['的', '標', 21, 22], ['的', '去', 22, 23], ['十', '超', 23, 24], ['水', '越', 24, 25]]",0.6,0.8
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他的感很有望通過孩子對待教師參瑣事,"[['會', '他', 0, 1], ['努', '感', 2, 3], ['力', '很', 3, 4], ['失', '有', 4, 5], ['能', '通', 6, 7], ['之', '孩', 8, 9], ['成', '對', 10, 11], ['自', '待', 11, 12], ['己', '教', 12, 13], ['差', '參', 14, 15], ['與', '瑣', 15, 16]]",0.631578947368421,0.8947368421052632
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們投資者的權益也不會發生損化,"[['所', '我', 0, 1], ['對', '投', 2, 3], ['顧', '資', 3, 4], ['委', '者', 4, 5], ['也', '的', 5, 6], ['走', '權', 6, 7], ['思', '益', 7, 8], ['最', '也', 8, 9], ['收', '不', 9, 10], ['可', '會', 10, 11], ['到', '發', 11, 12], ['任', '生', 12, 13], ['事', '化', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,蘋通是怎麼存在並且怎人管用的,"[['所', '蘋', 0, 1], ['麼', '通', 1, 2], ['也', '是', 2, 3], ['肯', '怎', 3, 4], ['定', '麼', 4, 5], ['幹', '存', 5, 6], ['只', '並', 7, 8], ['未', '且', 8, 9], ['促', '怎', 9, 10], ['造', '人', 10, 11], ['回', '管', 11, 12], ['答', '用', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,該男子被時正班的交發現場毆打,"[['並', '該', 0, 1], ['大', '男', 1, 2], ['學', '子', 2, 3], ['大', '被', 3, 4], ['度', '時', 4, 5], ['藏', '正', 5, 6], ['在', '班', 6, 7], ['等', '的', 7, 8], ['公', '交', 8, 9], ['交', '發', 9, 10], ['為', '現', 10, 11], ['熱', '場', 11, 12], ['練', '毆', 12, 13]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,若一從小學就數力,"[['最', '若', 0, 1], ['預', '一', 1, 2], ['上', '從', 2, 3], ['就', '學', 4, 5], ['費', '就', 5, 6], ['毒', '數', 6, 7], ['題', '力', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,該工作日一零零十二時,"[['對', '該', 0, 1], ['於', '工', 1, 2], ['著', '日', 3, 4], ['平', '一', 4, 5], ['均', '零', 5, 6], ['五', '十', 7, 8], ['十', '二', 8, 9], ['歲', '時', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,呈現出了非常的火定,"[['防', '呈', 0, 1], ['疫', '現', 1, 2], ['嚴', '火', 7, 8], ['峻', '定', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,大多是在城長生的家婦,"[['是', '大', 0, 1], ['數', '是', 2, 3], ['最', '在', 3, 4], ['一', '城', 4, 5], ['上', '長', 5, 6], ['小', '生', 6, 7], ['子', '家', 8, 9], ['女', '婦', 9, 10]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,我們不退步不難,"[['首', '我', 0, 1], ['先', '們', 1, 2], ['肯', '不', 2, 3], ['定', '退', 3, 4], ['退', '步', 4, 5], ['會', '難', 6, 7]]",0.14285714285714302,1.0
10,退輔會各級榮民醫院,不會各級組名一月,請達各位在十一號,"[['不', '請', 0, 1], ['會', '達', 1, 2], ['級', '位', 3, 4], ['組', '在', 4, 5], ['名', '十', 5, 6], ['月', '號', 7, 8]]",0.666666666666667,0.8888888888888888
11,退輔會馮主委李副主委,最股會紅委比副作位,組織會有占何何權利,"[['最', '組', 0, 1], ['股', '織', 1, 2], ['紅', '有', 3, 4], ['委', '占', 4, 5], ['比', '何', 5, 6], ['副', '何', 6, 7], ['作', '權', 7, 8], ['位', '利', 8, 9]]",0.7,0.9
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,隨爾訪問是什樣的事,"[['退', '隨', 0, 1], ['下', '爾', 1, 2], ['一', '訪', 2, 3], ['拿', '是', 4, 5], ['建', '什', 5, 6], ['立', '樣', 6, 7], ['用', '事', 8, 9]]",0.857142857142857,1.0
13,那麼第二個我要問的現在的,第種來問的現在的,各位顧問你聽到的,"[['第', '各', 0, 1], ['種', '位', 1, 2], ['來', '顧', 2, 3], ['的', '你', 4, 5], ['現', '聽', 5, 6], ['在', '到', 6, 7]]",0.5,0.8333333333333334
14,還在讀高中或者大學,還在讀高動獲的大學,而就是推動好的項程,"[['還', '而', 0, 1], ['在', '就', 1, 2], ['讀', '是', 2, 3], ['高', '推', 3, 4], ['獲', '好', 5, 6], ['大', '項', 7, 8], ['學', '程', 8, 9]]",0.33333333333333304,1.0
15,所以他有沒有享受這個福利有,是在日想制的福有,現在看你真的很人,"[['是', '現', 0, 1], ['日', '看', 2, 3], ['想', '你', 3, 4], ['制', '真', 4, 5], ['福', '很', 6, 7], ['有', '人', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,本年度的董事會,"[['春', '本', 0, 1], ['輪', '年', 1, 2], ['打', '度', 2, 3], ['東', '董', 4, 5], ['莞', '事', 5, 6]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,現在都在上出發車,"[['下', '現', 0, 1], ['載', '在', 1, 2], ['工', '上', 4, 5], ['準', '出', 5, 6], ['學', '車', 7, 8]]",0.625,0.75
18,爭取應有的權益,爭取應有的權益,公得應有的權值,"[['爭', '公', 0, 1], ['取', '得', 1, 2], ['益', '值', 6, 7]]",0.0,0.42857142857142855
19,為退役的上校,所最意的想效,我滿滿的自西,"[['所', '我', 0, 1], ['最', '滿', 1, 2], ['意', '滿', 2, 3], ['想', '自', 4, 5], ['效', '西', 5, 6]]",0.833333333333333,0.8333333333333334
20,所以幾乎沒有孩子,是知乎沒有孩子,不知還沒誰關到,"[['是', '不', 0, 1], ['乎', '還', 2, 3], ['有', '誰', 4, 5], ['孩', '關', 5, 6], ['子', '到', 6, 7]]",0.375,0.875
21,呂玉林委員所提的,立玲委員所提的,有會委裡所提的,"[['立', '有', 0, 1], ['玲', '會', 1, 2], ['員', '裡', 3, 4]]",0.375,0.5
22,從這個角度這是不公平的,誠市的角度就不品道,從作品本面並去設析,"[['誠', '從', 0, 1], ['市', '作', 1, 2], ['的', '品', 2, 3], ['角', '本', 3, 4], ['度', '面', 4, 5], ['就', '並', 5, 6], ['不', '去', 6, 7], ['品', '設', 7, 8], ['道', '析', 8, 9]]",0.7272727272727271,0.9090909090909091
23,我在這裡做一點補充,所在這裡做的村,我在山裡度假了,"[['所', '我', 0, 1], ['這', '山', 2, 3], ['做', '度', 4, 5], ['的', '假', 5, 6], ['村', '了', 6, 7]]",0.555555555555556,0.6666666666666666
24,謝謝副主委的說明,視覺工作的順女,穩有風味的秘腐,"[['視', '穩', 0, 1], ['覺', '有', 1, 2], ['工', '風', 2, 3], ['作', '味', 3, 4], ['順', '秘', 5, 6], ['女', '腐', 6, 7]]",0.875,0.875
25,都能夠全力支持,有不全地支詞,且不極其其事,"[['有', '且', 0, 1], ['全', '極', 2, 3], ['地', '其', 3, 4], ['支', '其', 4, 5], ['詞', '事', 5, 6]]",0.7142857142857142,1.0
26,向上級去反應,小小局取法應,警察沒有回應,"[['小', '警', 0, 1], ['小', '察', 1, 2], ['局', '沒', 2, 3], ['取', '有', 3, 4], ['法', '回', 4, 5]]",0.833333333333333,0.8333333333333334
27,以及各級榮家,許知各級總教,各話各請主席,"[['許', '各', 0, 1], ['知', '話', 1, 2], ['級', '請', 3, 4], ['總', '主', 4, 5], ['教', '席', 5, 6]]",0.666666666666667,0.8333333333333334
28,是讓公教人員,是公正佐夜,在這野生物,"[['是', '在', 0, 1], ['公', '這', 1, 2], ['正', '野', 2, 3], ['佐', '生', 3, 4], ['夜', '物', 4, 5]]",0.666666666666667,1.0
29,就像委員講的,這項穩講的,一句我說的,"[['這', '一', 0, 1], ['項', '句', 1, 2], ['穩', '我', 2, 3], ['講', '說', 3, 4]]",0.666666666666667,0.8333333333333334
30,是我跟委員補充,是我根人,是草莓子,"[['我', '草', 1, 2], ['根', '莓', 2, 3], ['人', '子', 3, 4]]",0.7142857142857142,0.8571428571428571
31,所以我相信,出我修息,逼迫交服,"[['出', '逼', 0, 1], ['我', '迫', 1, 2], ['修', '交', 2, 3], ['息', '服', 3, 4]]",0.8,1.0
32,那個我們對於那個這這這個需求我們是用以緩濟急的方式,的我們對不個此次的系統我們稅動一務繼續的方式,那我針對這個常次的報報我們會做一個呈應的方理,"[['的', '那', 0, 1], ['們', '針', 2, 3], ['不', '這', 4, 5], ['此', '常', 6, 7], ['系', '報', 9, 10], ['統', '報', 10, 11], ['稅', '會', 13, 14], ['動', '做', 14, 15], ['務', '個', 16, 17], ['繼', '呈', 17, 18], ['續', '應', 18, 19], ['式', '理', 21, 22]]",0.64,0.68
