,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,萬前跟著司不一樣的地方是華徐個早商報國後地跌幾縮倍,"[['之', '萬', 0, 1], ['直', '前', 1, 2], ['登', '跟', 2, 3], ['公', '著', 3, 4], ['找', '司', 4, 5], ['訴', '是', 11, 12], ['上', '華', 12, 13], ['一', '徐', 13, 14], ['小', '個', 14, 15], ['平', '早', 15, 16], ['晨', '商', 16, 17], ['退', '報', 17, 18], ['股', '國', 18, 19], ['內', '後', 19, 20], ['領', '地', 20, 21], ['的', '跌', 21, 22], ['的', '幾', 22, 23], ['十', '縮', 23, 24], ['水', '倍', 24, 25]]",0.6,0.68
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他認努力希了的夠股造怕自己的人的學,"[['會', '他', 0, 1], ['的', '認', 1, 2], ['失', '希', 4, 5], ['望', '了', 5, 6], ['能', '的', 6, 7], ['過', '夠', 7, 8], ['之', '股', 8, 9], ['子', '造', 9, 10], ['成', '怕', 10, 11], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '學', 16, 17]]",0.631578947368421,0.7894736842105263
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以希歐戶員要了了不不要的的失,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '希', 2, 3], ['顧', '歐', 3, 4], ['委', '戶', 4, 5], ['也', '員', 5, 6], ['走', '要', 6, 7], ['思', '了', 7, 8], ['最', '了', 8, 9], ['收', '不', 9, 10], ['可', '不', 10, 11], ['到', '要', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '失', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我以你肯定存這從是得人成報的,"[['所', '我', 0, 1], ['麼', '以', 1, 2], ['也', '你', 2, 3], ['幹', '存', 5, 6], ['在', '這', 6, 7], ['只', '從', 7, 8], ['未', '是', 8, 9], ['促', '得', 9, 10], ['造', '人', 10, 11], ['回', '成', 11, 12], ['答', '報', 12, 13]]",0.5,0.7857142857142857
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,上同嘴生學地房擠公園開忙人者,"[['並', '上', 0, 1], ['大', '同', 1, 2], ['學', '嘴', 2, 3], ['大', '生', 3, 4], ['度', '學', 4, 5], ['藏', '地', 5, 6], ['在', '房', 6, 7], ['等', '擠', 7, 8], ['交', '園', 9, 10], ['為', '開', 10, 11], ['熱', '忙', 11, 12], ['練', '人', 12, 13], ['打', '者', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,是怕不的消是問了,"[['最', '是', 0, 1], ['預', '怕', 1, 2], ['上', '不', 2, 3], ['小', '的', 3, 4], ['就', '消', 4, 5], ['費', '是', 5, 6], ['毒', '問', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方男體平均的達周米,"[['於', '方', 1, 2], ['作', '男', 2, 3], ['著', '體', 3, 4], ['零', '的', 6, 7], ['五', '達', 7, 8], ['十', '周', 8, 9], ['歲', '米', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,顯現情題非常的嚴峻,"[['防', '顯', 0, 1], ['疫', '現', 1, 2], ['出', '情', 2, 3], ['了', '題', 3, 4]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,大歷地富難年庭的子女,"[['是', '大', 0, 1], ['多', '歷', 1, 2], ['數', '地', 2, 3], ['最', '富', 3, 4], ['一', '難', 4, 5], ['上', '年', 5, 6], ['小', '庭', 6, 7]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,首先決定菜賽了,"[['肯', '決', 2, 3], ['退', '菜', 4, 5], ['不', '賽', 5, 6], ['會', '了', 6, 7]]",0.14285714285714302,0.5714285714285714
