,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,萬前我常司不服樣的他子是華徐個時商洗戶後地跌幾縮倍,"[['之', '萬', 0, 1], ['直', '前', 1, 2], ['登', '我', 2, 3], ['公', '常', 3, 4], ['找', '司', 4, 5], ['一', '服', 6, 7], ['地', '他', 9, 10], ['方', '子', 10, 11], ['訴', '是', 11, 12], ['上', '華', 12, 13], ['一', '徐', 13, 14], ['小', '個', 14, 15], ['平', '時', 15, 16], ['晨', '商', 16, 17], ['退', '洗', 17, 18], ['股', '戶', 18, 19], ['內', '後', 19, 20], ['領', '地', 20, 21], ['的', '跌', 21, 22], ['的', '幾', 22, 23], ['十', '縮', 23, 24], ['水', '倍', 24, 25]]",0.6,0.84
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他認表是讓人的夠股造怕為的的人的學,"[['會', '他', 0, 1], ['的', '認', 1, 2], ['努', '表', 2, 3], ['力', '是', 3, 4], ['失', '讓', 4, 5], ['望', '人', 5, 6], ['能', '的', 6, 7], ['過', '夠', 7, 8], ['之', '股', 8, 9], ['子', '造', 9, 10], ['成', '怕', 10, 11], ['自', '為', 11, 12], ['己', '的', 12, 13], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '學', 16, 17]]",0.631578947368421,0.9473684210526315
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以希自己員不是了不不見的務人,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '希', 2, 3], ['顧', '自', 3, 4], ['委', '己', 4, 5], ['也', '員', 5, 6], ['走', '不', 6, 7], ['思', '是', 7, 8], ['最', '了', 8, 9], ['收', '不', 9, 10], ['可', '不', 10, 11], ['到', '見', 11, 12], ['任', '的', 12, 13], ['損', '務', 13, 14], ['事', '人', 14, 15]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我們你不能存這從是有人銷售的,"[['所', '我', 0, 1], ['麼', '們', 1, 2], ['也', '你', 2, 3], ['肯', '不', 3, 4], ['定', '能', 4, 5], ['幹', '存', 5, 6], ['在', '這', 6, 7], ['只', '從', 7, 8], ['未', '是', 8, 9], ['促', '有', 9, 10], ['造', '人', 10, 11], ['回', '銷', 11, 12], ['答', '售', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,上寫以生生地房擠待備開他毆者,"[['並', '上', 0, 1], ['大', '寫', 1, 2], ['學', '以', 2, 3], ['大', '生', 3, 4], ['度', '生', 4, 5], ['藏', '地', 5, 6], ['在', '房', 6, 7], ['等', '擠', 7, 8], ['公', '待', 8, 9], ['交', '備', 9, 10], ['為', '開', 10, 11], ['熱', '他', 11, 12], ['練', '毆', 12, 13], ['打', '者', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,是是一的消會以了,"[['最', '是', 0, 1], ['預', '是', 1, 2], ['上', '一', 2, 3], ['小', '的', 3, 4], ['就', '消', 4, 5], ['費', '會', 5, 6], ['毒', '以', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,照比男體一麼的十三米,"[['對', '照', 0, 1], ['於', '比', 1, 2], ['作', '男', 2, 3], ['著', '體', 3, 4], ['平', '一', 4, 5], ['均', '麼', 5, 6], ['零', '的', 6, 7], ['五', '十', 7, 8], ['十', '三', 8, 9], ['歲', '米', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,顯現情題非常的程害,"[['防', '顯', 0, 1], ['疫', '現', 1, 2], ['出', '情', 2, 3], ['了', '題', 3, 4], ['嚴', '程', 7, 8], ['峻', '害', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,大適中富難年庭的公司,"[['是', '大', 0, 1], ['多', '適', 1, 2], ['數', '中', 2, 3], ['最', '富', 3, 4], ['一', '難', 4, 5], ['上', '年', 5, 6], ['小', '庭', 6, 7], ['子', '公', 8, 9], ['女', '司', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,那你是漲菜休者,"[['首', '那', 0, 1], ['先', '你', 1, 2], ['肯', '是', 2, 3], ['定', '漲', 3, 4], ['退', '菜', 4, 5], ['不', '休', 5, 6], ['會', '者', 6, 7]]",0.14285714285714302,1.0
10,退輔會各級榮民醫院,不會各級組名一月,要求降設限制分立,"[['不', '要', 0, 1], ['會', '求', 1, 2], ['各', '降', 2, 3], ['級', '設', 3, 4], ['組', '限', 4, 5], ['名', '制', 5, 6], ['一', '分', 6, 7], ['月', '立', 7, 8]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,以要在以一會例嚴高,"[['最', '以', 0, 1], ['股', '要', 1, 2], ['會', '在', 2, 3], ['紅', '以', 3, 4], ['委', '一', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '嚴', 7, 8], ['位', '高', 8, 9]]",0.7,1.0
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,不是的步是什來使事,"[['退', '不', 0, 1], ['下', '是', 1, 2], ['一', '的', 2, 3], ['問', '步', 3, 4], ['拿', '是', 4, 5], ['建', '什', 5, 6], ['立', '來', 6, 7], ['的', '使', 7, 8], ['用', '事', 8, 9]]",0.857142857142857,1.0
13,那麼第二個我要問的現在的,第種來問的現在的,那一提源是是真嗎,"[['第', '那', 0, 1], ['種', '一', 1, 2], ['來', '提', 2, 3], ['問', '源', 3, 4], ['的', '是', 4, 5], ['現', '是', 5, 6], ['在', '真', 6, 7], ['的', '嗎', 7, 8]]",0.5,0.9166666666666666
14,還在讀高中或者大學,還在讀高動獲的大學,她能遠不年她的課學,"[['還', '她', 0, 1], ['在', '能', 1, 2], ['讀', '遠', 2, 3], ['高', '不', 3, 4], ['動', '年', 4, 5], ['獲', '她', 5, 6], ['大', '課', 7, 8]]",0.33333333333333304,0.8888888888888888
15,所以他有沒有享受這個福利有,是在日想制的福有,他昔級級級造延心,"[['是', '他', 0, 1], ['在', '昔', 1, 2], ['日', '級', 2, 3], ['想', '級', 3, 4], ['制', '級', 4, 5], ['的', '造', 5, 6], ['福', '延', 6, 7], ['有', '心', 7, 8]]",0.8461538461538459,0.9230769230769231
16,軍人大概都晚婚,春輪打的東莞會,老興來砸有機隊,"[['春', '老', 0, 1], ['輪', '興', 1, 2], ['打', '來', 2, 3], ['的', '砸', 3, 4], ['東', '有', 4, 5], ['莞', '機', 5, 6], ['會', '隊', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,大們還在花出之的,"[['下', '大', 0, 1], ['載', '們', 1, 2], ['都', '還', 2, 3], ['工', '花', 4, 5], ['準', '出', 5, 6], ['發', '之', 6, 7], ['學', '的', 7, 8]]",0.625,0.75
18,爭取應有的權益,爭取應有的權益,爭取應有的權源,"[['益', '源', 6, 7]]",0.0,0.14285714285714285
19,為退役的上校,所最意的想效,有創大有誤應,"[['所', '有', 0, 1], ['最', '創', 1, 2], ['意', '大', 2, 3], ['的', '有', 3, 4], ['想', '誤', 4, 5], ['效', '應', 5, 6]]",0.833333333333333,1.0
20,所以幾乎沒有孩子,是知乎沒有孩子,卻因為培個說有,"[['是', '卻', 0, 1], ['知', '因', 1, 2], ['乎', '為', 2, 3], ['沒', '培', 3, 4], ['有', '個', 4, 5], ['孩', '說', 5, 6], ['子', '有', 6, 7]]",0.375,1.0
21,呂玉林委員所提的,立玲委員所提的,有關委員所提案,"[['立', '有', 0, 1], ['玲', '關', 1, 2], ['的', '案', 6, 7]]",0.375,0.5
