,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,中資大佬有不一樣的地方從第一批資金到國內賺錢幾年間,"[['之', '中', 0, 1], ['直', '資', 1, 2], ['登', '大', 2, 3], ['公', '佬', 3, 4], ['找', '有', 4, 5], ['訴', '從', 11, 12], ['上', '第', 12, 13], ['小', '批', 14, 15], ['平', '資', 15, 16], ['晨', '金', 16, 17], ['退', '到', 17, 18], ['股', '國', 18, 19], ['領', '賺', 20, 21], ['的', '錢', 21, 22], ['的', '幾', 22, 23], ['十', '年', 23, 24], ['水', '間', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,他的努力希望通過親傳為自己做好的事,"[['會', '他', 0, 1], ['失', '希', 4, 5], ['能', '通', 6, 7], ['之', '親', 8, 9], ['子', '傳', 9, 10], ['成', '為', 10, 11], ['師', '做', 13, 14], ['差', '好', 14, 15], ['與', '的', 15, 16]]",0.631578947368421,0.7368421052631579
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們盼各位要重視他所做到的好事,"[['所', '我', 0, 1], ['對', '盼', 2, 3], ['顧', '各', 3, 4], ['委', '位', 4, 5], ['也', '要', 5, 6], ['走', '重', 6, 7], ['思', '視', 7, 8], ['最', '他', 8, 9], ['收', '所', 9, 10], ['可', '做', 10, 11], ['任', '的', 12, 13], ['損', '好', 13, 14]]",0.882352941176471,0.9411764705882353
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那麼你肯定現在是要偽人應用的,"[['所', '那', 0, 1], ['也', '你', 2, 3], ['幹', '現', 5, 6], ['只', '是', 7, 8], ['未', '要', 8, 9], ['促', '偽', 9, 10], ['造', '人', 10, 11], ['回', '應', 11, 12], ['答', '用', 12, 13]]",0.5,0.6428571428571429
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,女大學深夜尾車上公交狂猥毆打,"[['並', '女', 0, 1], ['大', '深', 3, 4], ['度', '夜', 4, 5], ['藏', '尾', 5, 6], ['在', '車', 6, 7], ['等', '上', 7, 8], ['為', '狂', 10, 11], ['熱', '猥', 11, 12], ['練', '毆', 12, 13]]",0.75,0.85
5,退役上校教補費的問題,最預上小就費毒題,遠離中國消絡問題,"[['最', '遠', 0, 1], ['預', '離', 1, 2], ['上', '中', 2, 3], ['小', '國', 3, 4], ['就', '消', 4, 5], ['費', '絡', 5, 6], ['毒', '問', 6, 7]]",0.7,0.8
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對方穿著一點零五年代,"[['於', '方', 1, 2], ['作', '穿', 2, 3], ['平', '一', 4, 5], ['均', '點', 5, 6], ['十', '年', 8, 9], ['歲', '代', 9, 10]]",0.615384615384615,0.9230769230769231
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,顯示出了非常的嚴峻,"[['防', '顯', 0, 1], ['疫', '示', 1, 2]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,大多數市市的好的房子,"[['是', '大', 0, 1], ['最', '市', 3, 4], ['一', '市', 4, 5], ['上', '的', 5, 6], ['小', '好', 6, 7], ['子', '房', 8, 9], ['女', '子', 9, 10]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,首先肯定是壞事,"[['退', '是', 4, 5], ['不', '壞', 5, 6], ['會', '事', 6, 7]]",0.14285714285714302,0.42857142857142855
