,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,淘虧肯定是出掉,"[['首', '淘', 0, 1], ['先', '虧', 1, 2], ['退', '是', 4, 5], ['不', '出', 5, 6], ['會', '掉', 6, 7]]",0.14285714285714285,0.7142857142857143
1,呂玉林委員所提的,立玲委員所提的,諮法委員所提的,"[['立', '諮', 0, 1], ['玲', '法', 1, 2]]",0.375,0.375
2,退役上校教補費的問題,最預上小就費毒題,因大的的區是問了,"[['最', '因', 0, 1], ['預', '大', 1, 2], ['上', '的', 2, 3], ['小', '的', 3, 4], ['就', '區', 4, 5], ['費', '是', 5, 6], ['毒', '問', 6, 7], ['題', '了', 7, 8]]",0.7,0.9
3,退輔會馮主委李副主委,最股會紅委比副作位,以不會聘占會例單者,"[['最', '以', 0, 1], ['股', '不', 1, 2], ['紅', '聘', 3, 4], ['委', '占', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '單', 7, 8], ['位', '者', 8, 9]]",0.7,0.9
4,都能夠全力支持,有不全地支詞,且權同可歌持,"[['有', '且', 0, 1], ['不', '權', 1, 2], ['全', '同', 2, 3], ['地', '可', 3, 4], ['支', '歌', 4, 5], ['詞', '持', 5, 6]]",0.7142857142857143,0.8571428571428571
5,我在這裡做一點補充,所在這裡做的村,建在這裡好農是,"[['所', '建', 0, 1], ['做', '好', 4, 5], ['的', '農', 5, 6], ['村', '是', 6, 7]]",0.5555555555555556,0.6666666666666666
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,可前也我司不一樣的地方跟像世些時司在院所應取五薪金,"[['之', '可', 0, 1], ['直', '前', 1, 2], ['登', '也', 2, 3], ['公', '我', 3, 4], ['找', '司', 4, 5], ['訴', '跟', 11, 12], ['上', '像', 12, 13], ['一', '世', 13, 14], ['小', '些', 14, 15], ['平', '時', 15, 16], ['晨', '司', 16, 17], ['退', '在', 17, 18], ['股', '院', 18, 19], ['內', '所', 19, 20], ['領', '應', 20, 21], ['的', '取', 21, 22], ['的', '五', 22, 23], ['十', '薪', 23, 24], ['水', '金', 24, 25]]",0.6,0.72
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以跟員客會要是是高不信的的失,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '跟', 2, 3], ['顧', '員', 3, 4], ['委', '客', 4, 5], ['也', '會', 5, 6], ['走', '要', 6, 7], ['思', '是', 7, 8], ['最', '是', 8, 9], ['收', '高', 9, 10], ['可', '不', 10, 11], ['到', '信', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '失', 14, 15]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,卻幾道沒有房子,"[['是', '卻', 0, 1], ['知', '幾', 1, 2], ['乎', '道', 2, 3], ['孩', '房', 5, 6]]",0.375,0.5
9,還在讀高中或者大學,還在讀高動獲的大學,還能心運中過上同學,"[['在', '能', 1, 2], ['讀', '心', 2, 3], ['高', '運', 3, 4], ['動', '中', 4, 5], ['獲', '過', 5, 6], ['的', '上', 6, 7], ['大', '同', 7, 8]]",0.3333333333333333,0.6666666666666666
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,由方員員平均滿七歲米,"[['對', '由', 0, 1], ['於', '方', 1, 2], ['作', '員', 2, 3], ['著', '員', 3, 4], ['零', '滿', 6, 7], ['五', '七', 7, 8], ['十', '歲', 8, 9], ['歲', '米', 9, 10]]",0.6153846153846154,0.8461538461538461
11,軍人大概都晚婚,春輪打的東莞會,一天中到東半隊,"[['春', '一', 0, 1], ['輪', '天', 1, 2], ['打', '中', 2, 3], ['的', '到', 3, 4], ['莞', '半', 5, 6], ['會', '隊', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,大為們能想的生的子目,"[['是', '大', 0, 1], ['多', '為', 1, 2], ['數', '們', 2, 3], ['最', '能', 3, 4], ['一', '想', 4, 5], ['上', '的', 5, 6], ['小', '生', 6, 7], ['女', '目', 9, 10]]",0.4545454545454545,0.8181818181818182
13,大概都在高中大學,下載都在工準發學,歷午車拆線都大上,"[['下', '歷', 0, 1], ['載', '午', 1, 2], ['都', '車', 2, 3], ['在', '拆', 3, 4], ['工', '線', 4, 5], ['準', '都', 5, 6], ['發', '大', 6, 7], ['學', '上', 7, 8]]",0.625,0.875
14,所以我相信,出我修息,自面休正,"[['出', '自', 0, 1], ['我', '面', 1, 2], ['修', '休', 2, 3], ['息', '正', 3, 4]]",0.8,1.0
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,人很努力希不會將底造為自己的人的價,"[['會', '人', 0, 1], ['的', '很', 1, 2], ['失', '希', 4, 5], ['望', '不', 5, 6], ['能', '會', 6, 7], ['過', '將', 7, 8], ['之', '底', 8, 9], ['子', '造', 9, 10], ['成', '為', 10, 11], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '價', 16, 17]]",0.631578947368421,0.8421052631578947
16,向上級去反應,小小局取法應,請調異的百者,"[['小', '請', 0, 1], ['小', '調', 1, 2], ['局', '異', 2, 3], ['取', '的', 3, 4], ['法', '百', 4, 5], ['應', '者', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,是刻初有是法,"[['所', '是', 0, 1], ['最', '刻', 1, 2], ['意', '初', 2, 3], ['的', '有', 3, 4], ['想', '是', 4, 5], ['效', '法', 5, 6]]",0.8333333333333334,1.0
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,是我跟委員補充,是我根人,有草的本,"[['是', '有', 0, 1], ['我', '草', 1, 2], ['根', '的', 2, 3], ['人', '本', 3, 4]]",0.7142857142857143,1.0
