,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,淘寶肯定是不行,"[['首', '淘', 0, 1], ['先', '寶', 1, 2], ['退', '是', 4, 5], ['會', '行', 6, 7]]",0.14285714285714285,0.7142857142857143
1,呂玉林委員所提的,立玲委員所提的,諮詢委員所提的,"[['立', '諮', 0, 1], ['玲', '詢', 1, 2]]",0.375,0.375
2,退役上校教補費的問題,最預上小就費毒題,因為從小學的課題,"[['最', '因', 0, 1], ['預', '為', 1, 2], ['上', '從', 2, 3], ['就', '學', 4, 5], ['費', '的', 5, 6], ['毒', '課', 6, 7]]",0.7,0.8
3,退輔會馮主委李副主委,最股會紅委比副作位,以大愛組委會副主席,"[['最', '以', 0, 1], ['股', '大', 1, 2], ['會', '愛', 2, 3], ['紅', '組', 3, 4], ['比', '會', 5, 6], ['作', '主', 7, 8], ['位', '席', 8, 9]]",0.7,0.7
4,都能夠全力支持,有不全地支詞,且盡力地台援,"[['有', '且', 0, 1], ['不', '盡', 1, 2], ['全', '力', 2, 3], ['支', '台', 4, 5], ['詞', '援', 5, 6]]",0.7142857142857143,1.0
5,我在這裡做一點補充,所在這裡做的村,建在這裡面的你,"[['所', '建', 0, 1], ['做', '面', 4, 5], ['村', '你', 6, 7]]",0.5555555555555556,0.6666666666666666
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,可能還有點不一樣的地方如果有農民工入院後面關機斷開,"[['之', '可', 0, 1], ['直', '能', 1, 2], ['登', '還', 2, 3], ['公', '有', 3, 4], ['找', '點', 4, 5], ['訴', '如', 11, 12], ['上', '果', 12, 13], ['一', '有', 13, 14], ['小', '農', 14, 15], ['平', '民', 15, 16], ['晨', '工', 16, 17], ['退', '入', 17, 18], ['股', '院', 18, 19], ['內', '後', 19, 20], ['領', '面', 20, 21], ['的', '關', 21, 22], ['的', '機', 22, 23], ['十', '斷', 23, 24], ['水', '開', 24, 25]]",0.6,0.76
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的組隊要做好能夠做到這件事,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '組', 3, 4], ['委', '隊', 4, 5], ['也', '要', 5, 6], ['走', '做', 6, 7], ['思', '好', 7, 8], ['最', '能', 8, 9], ['收', '夠', 9, 10], ['可', '做', 10, 11], ['任', '這', 12, 13], ['損', '件', 13, 14]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,卻幾乎沒有孩子,"[['是', '卻', 0, 1], ['知', '幾', 1, 2]]",0.375,0.25
9,還在讀高中或者大學,還在讀高動獲的大學,還能有機會參與教中,"[['在', '能', 1, 2], ['讀', '有', 2, 3], ['高', '機', 3, 4], ['動', '會', 4, 5], ['獲', '參', 5, 6], ['的', '與', 6, 7], ['大', '教', 7, 8], ['學', '中', 8, 9]]",0.3333333333333333,0.8888888888888888
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,由於傷員平均達四十歲,"[['對', '由', 0, 1], ['作', '傷', 2, 3], ['著', '員', 3, 4], ['零', '達', 6, 7], ['五', '四', 7, 8]]",0.6153846153846154,0.6923076923076923
