,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,首先肯定扣不掉,"[['退', '扣', 4, 5], ['會', '掉', 6, 7]]",0.14285714285714285,0.42857142857142855
1,呂玉林委員所提的,立玲委員所提的,審法委員所提的,"[['立', '審', 0, 1], ['玲', '法', 1, 2]]",0.375,0.375
2,退役上校教補費的問題,最預上小就費毒題,最近說小孩出去了,"[['預', '近', 1, 2], ['上', '說', 2, 3], ['就', '孩', 4, 5], ['費', '出', 5, 6], ['毒', '去', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,中國會紅字會領導者,"[['最', '中', 0, 1], ['股', '國', 1, 2], ['委', '字', 4, 5], ['比', '會', 5, 6], ['副', '領', 6, 7], ['作', '導', 7, 8], ['位', '者', 8, 9]]",0.7,0.9
4,都能夠全力支持,有不全地支詞,除了全面支持,"[['有', '除', 0, 1], ['不', '了', 1, 2], ['地', '面', 3, 4], ['詞', '持', 5, 6]]",0.7142857142857143,0.5714285714285714
5,我在這裡做一點補充,所在這裡做的村,我在這裡真的是,"[['所', '我', 0, 1], ['做', '真', 4, 5], ['村', '是', 6, 7]]",0.5555555555555556,0.5555555555555556
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,那些和私募不一樣的地方是在一個平臺上市的股募投基金,"[['之', '那', 0, 1], ['直', '些', 1, 2], ['登', '和', 2, 3], ['公', '私', 3, 4], ['找', '募', 4, 5], ['訴', '是', 11, 12], ['上', '在', 12, 13], ['小', '個', 14, 15], ['晨', '臺', 16, 17], ['退', '上', 17, 18], ['股', '市', 18, 19], ['內', '的', 19, 20], ['領', '股', 20, 21], ['的', '募', 21, 22], ['的', '投', 22, 23], ['十', '基', 23, 24], ['水', '金', 24, 25]]",0.6,0.72
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以自己也承受了最大可少的損失,"[['們', '以', 1, 2], ['對', '自', 2, 3], ['顧', '己', 3, 4], ['委', '也', 4, 5], ['也', '承', 5, 6], ['走', '受', 6, 7], ['思', '了', 7, 8], ['收', '大', 9, 10], ['到', '少', 11, 12], ['任', '的', 12, 13], ['事', '失', 14, 15]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,才知道沒有房子,"[['是', '才', 0, 1], ['乎', '道', 2, 3], ['孩', '房', 5, 6]]",0.375,0.625
9,還在讀高中或者大學,還在讀高動獲的大學,還要把高中分教同學,"[['在', '要', 1, 2], ['讀', '把', 2, 3], ['動', '中', 4, 5], ['獲', '分', 5, 6], ['的', '教', 6, 7], ['大', '同', 7, 8]]",0.3333333333333333,0.5555555555555556
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,當於公寓平均高點十米,"[['對', '當', 0, 1], ['作', '公', 2, 3], ['著', '寓', 3, 4], ['零', '高', 6, 7], ['五', '點', 7, 8], ['歲', '米', 9, 10]]",0.6153846153846154,0.7692307692307693
11,軍人大概都晚婚,春輪打的東莞會,集訓中的東莞隊,"[['春', '集', 0, 1], ['輪', '訓', 1, 2], ['打', '中', 2, 3], ['會', '隊', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,而多個遲未上市的項目,"[['是', '而', 0, 1], ['數', '個', 2, 3], ['最', '遲', 3, 4], ['一', '未', 4, 5], ['小', '市', 6, 7], ['子', '項', 8, 9], ['女', '目', 9, 10]]",0.4545454545454545,0.7272727272727273
13,大概都在高中大學,下載都在工準發學,首先要在互產網上,"[['下', '首', 0, 1], ['載', '先', 1, 2], ['都', '要', 2, 3], ['工', '互', 4, 5], ['準', '產', 5, 6], ['發', '網', 6, 7], ['學', '上', 7, 8]]",0.625,0.875
14,所以我相信,出我修息,做現公正,"[['出', '做', 0, 1], ['我', '現', 1, 2], ['修', '公', 2, 3], ['息', '正', 3, 4]]",0.8,1.0
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,未來格力無舊能借此提升自己的身水價,"[['會', '未', 0, 1], ['的', '來', 1, 2], ['努', '格', 2, 3], ['失', '無', 4, 5], ['望', '舊', 5, 6], ['過', '借', 7, 8], ['之', '此', 8, 9], ['子', '提', 9, 10], ['成', '升', 10, 11], ['師', '的', 13, 14], ['差', '身', 14, 15], ['與', '水', 15, 16], ['事', '價', 16, 17]]",0.631578947368421,0.8947368421052632
16,向上級去反應,小小局取法應,小米的占優者,"[['小', '米', 1, 2], ['局', '的', 2, 3], ['取', '占', 3, 4], ['法', '優', 4, 5], ['應', '者', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,所關心的是法,"[['最', '關', 1, 2], ['意', '心', 2, 3], ['想', '是', 4, 5], ['效', '法', 5, 6]]",0.8333333333333334,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,是我跟委員補充,是我根人,是這根本,"[['我', '這', 1, 2], ['人', '本', 3, 4]]",0.7142857142857143,0.8571428571428571
20,是讓公教人員,是公正佐夜,是公車嗎？,"[['正', '車', 2, 3], ['佐', '嗎', 3, 4], ['夜', '？', 4, 5]]",0.6666666666666666,0.6666666666666666
21,就像委員講的,這項穩講的,這是決定的,"[['項', '是', 1, 2], ['穩', '決', 2, 3], ['講', '定', 3, 4]]",0.6666666666666666,0.8333333333333334
22,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,並強調來到註冊辦公司替其練習,"[['大', '強', 1, 2], ['學', '調', 2, 3], ['大', '來', 3, 4], ['度', '到', 4, 5], ['藏', '註', 5, 6], ['在', '冊', 6, 7], ['等', '辦', 7, 8], ['交', '司', 9, 10], ['為', '替', 10, 11], ['熱', '其', 11, 12], ['打', '習', 13, 14]]",0.75,0.95
23,所以他有沒有享受這個福利有,是在日想制的福有,將在日本接受邀請,"[['是', '將', 0, 1], ['想', '本', 3, 4], ['制', '接', 4, 5], ['的', '受', 5, 6], ['福', '邀', 6, 7], ['有', '請', 7, 8]]",0.8461538461538461,0.9230769230769231
24,那退下來還有沒有人在念大學有,退下一問拿建立的用,付款後五問我鮮的嗎,"[['退', '付', 0, 1], ['下', '款', 1, 2], ['一', '後', 2, 3], ['問', '五', 3, 4], ['拿', '問', 4, 5], ['建', '我', 5, 6], ['立', '鮮', 6, 7], ['用', '嗎', 8, 9]]",0.8571428571428571,1.0
25,從這個角度這是不公平的,誠市的角度就不品道,處罰的力度就放大了,"[['誠', '處', 0, 1], ['市', '罰', 1, 2], ['角', '力', 3, 4], ['不', '放', 6, 7], ['品', '大', 7, 8], ['道', '了', 8, 9]]",0.7272727272727273,0.9090909090909091
26,謝謝副主委的說明,視覺工作的順女,視覺創作的凌風,"[['工', '創', 2, 3], ['順', '凌', 5, 6], ['女', '風', 6, 7]]",0.875,0.875
27,那麼第二個我要問的現在的,第種來問的現在的,否則產生的問象？,"[['第', '否', 0, 1], ['種', '則', 1, 2], ['來', '產', 2, 3], ['問', '生', 3, 4], ['現', '問', 5, 6], ['在', '象', 6, 7], ['的', '？', 7, 8]]",0.5,0.9166666666666666
28,防疫措施非常的嚴峻,防疫出了非常的嚴峻,這保工作非常的嚴密,"[['防', '這', 0, 1], ['疫', '保', 1, 2], ['出', '工', 2, 3], ['了', '作', 3, 4], ['峻', '密', 8, 9]]",0.2222222222222222,0.5555555555555556
