,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,淘人是漲是休金,"[['首', '淘', 0, 1], ['先', '人', 1, 2], ['肯', '是', 2, 3], ['定', '漲', 3, 4], ['退', '是', 4, 5], ['不', '休', 5, 6], ['會', '金', 6, 7]]",0.14285714285714285,1.0
1,呂玉林委員所提的,立玲委員所提的,有薇分師所提的,"[['立', '有', 0, 1], ['玲', '薇', 1, 2], ['委', '分', 2, 3], ['員', '師', 3, 4]]",0.375,0.625
2,退役上校教補費的問題,最預上小就費毒題,因近的的區會一了,"[['最', '因', 0, 1], ['預', '近', 1, 2], ['上', '的', 2, 3], ['小', '的', 3, 4], ['就', '區', 4, 5], ['費', '會', 5, 6], ['毒', '一', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,以難以以局會例例高,"[['最', '以', 0, 1], ['股', '難', 1, 2], ['會', '以', 2, 3], ['紅', '以', 3, 4], ['委', '局', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '例', 7, 8], ['位', '高', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,且同同可歌持,"[['有', '且', 0, 1], ['不', '同', 1, 2], ['全', '同', 2, 3], ['地', '可', 3, 4], ['支', '歌', 4, 5], ['詞', '持', 5, 6]]",0.7142857142857143,0.8571428571428571
5,我在這裡做一點補充,所在這裡做的村,按來這我好農是,"[['所', '按', 0, 1], ['在', '來', 1, 2], ['裡', '我', 3, 4], ['做', '好', 4, 5], ['的', '農', 5, 6], ['村', '是', 6, 7]]",0.5555555555555556,0.8888888888888888
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,可前我有司不一實的是以是華世些股東在組所應取五薪金,"[['之', '可', 0, 1], ['直', '前', 1, 2], ['登', '我', 2, 3], ['公', '有', 3, 4], ['找', '司', 4, 5], ['樣', '實', 7, 8], ['地', '是', 9, 10], ['方', '以', 10, 11], ['訴', '是', 11, 12], ['上', '華', 12, 13], ['一', '世', 13, 14], ['小', '些', 14, 15], ['平', '股', 15, 16], ['晨', '東', 16, 17], ['退', '在', 17, 18], ['股', '組', 18, 19], ['內', '所', 19, 20], ['領', '應', 20, 21], ['的', '取', 21, 22], ['的', '五', 22, 23], ['十', '薪', 23, 24], ['水', '金', 24, 25]]",0.6,0.8
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以跟蘋董會不是是高不思的的人,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '跟', 2, 3], ['顧', '蘋', 3, 4], ['委', '董', 4, 5], ['也', '會', 5, 6], ['走', '不', 6, 7], ['思', '是', 7, 8], ['最', '是', 8, 9], ['收', '高', 9, 10], ['可', '不', 10, 11], ['到', '思', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '人', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,卻因還照了回獨,"[['是', '卻', 0, 1], ['知', '因', 1, 2], ['乎', '還', 2, 3], ['沒', '照', 3, 4], ['有', '了', 4, 5], ['孩', '回', 5, 6], ['子', '獨', 6, 7]]",0.375,1.0
9,還在讀高中或者大學,還在讀高動獲的大學,還能心運中級上知真,"[['在', '能', 1, 2], ['讀', '心', 2, 3], ['高', '運', 3, 4], ['動', '中', 4, 5], ['獲', '級', 5, 6], ['的', '上', 6, 7], ['大', '知', 7, 8], ['學', '真', 8, 9]]",0.3333333333333333,0.7777777777777778
