,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,淘人就，萬不來,"[['首', '淘', 0, 1], ['先', '人', 1, 2], ['肯', '就', 2, 3], ['定', '，', 3, 4], ['退', '萬', 4, 5], ['會', '來', 6, 7]]",0.14285714285714285,1.0
1,呂玉林委員所提的,立玲委員所提的,有薇博生所說的,"[['立', '有', 0, 1], ['玲', '薇', 1, 2], ['委', '博', 2, 3], ['員', '生', 3, 4], ['提', '說', 5, 6]]",0.375,0.75
2,退役上校教補費的問題,最預上小就費毒題,因為從小學有家迪,"[['最', '因', 0, 1], ['預', '為', 1, 2], ['上', '從', 2, 3], ['就', '學', 4, 5], ['費', '有', 5, 6], ['毒', '家', 6, 7], ['題', '迪', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,以及記者評分等結分,"[['最', '以', 0, 1], ['股', '及', 1, 2], ['會', '記', 2, 3], ['紅', '者', 3, 4], ['委', '評', 4, 5], ['比', '分', 5, 6], ['副', '等', 6, 7], ['作', '結', 7, 8], ['位', '分', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,且簡見地用詞,"[['有', '且', 0, 1], ['不', '簡', 1, 2], ['全', '見', 2, 3], ['支', '用', 4, 5]]",0.7142857142857143,1.0
5,我在這裡做一點補充,所在這裡做的村,按來我們村的村,"[['所', '按', 0, 1], ['在', '來', 1, 2], ['這', '我', 2, 3], ['裡', '們', 3, 4], ['做', '村', 4, 5]]",0.5555555555555556,1.0
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,可能只別有不一諧的地方如像黃光這創是院長講到的事情,"[['之', '可', 0, 1], ['直', '能', 1, 2], ['登', '只', 2, 3], ['公', '別', 3, 4], ['找', '有', 4, 5], ['樣', '諧', 7, 8], ['訴', '如', 11, 12], ['上', '像', 12, 13], ['一', '黃', 13, 14], ['小', '光', 14, 15], ['平', '這', 15, 16], ['晨', '創', 16, 17], ['退', '是', 17, 18], ['股', '院', 18, 19], ['內', '長', 19, 20], ['領', '講', 20, 21], ['的', '到', 21, 22], ['十', '事', 23, 24], ['水', '情', 24, 25]]",0.6,0.8
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的組織運作員也不盡其華之能,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '組', 3, 4], ['委', '織', 4, 5], ['也', '運', 5, 6], ['走', '作', 6, 7], ['思', '員', 7, 8], ['最', '也', 8, 9], ['收', '不', 9, 10], ['可', '盡', 10, 11], ['到', '其', 11, 12], ['任', '華', 12, 13], ['損', '之', 13, 14], ['事', '能', 14, 15]]",0.8823529411764706,1.0
8,所以幾乎沒有孩子,是知乎沒有孩子,卻永終丟了三名,"[['是', '卻', 0, 1], ['知', '永', 1, 2], ['乎', '終', 2, 3], ['沒', '丟', 3, 4], ['有', '了', 4, 5], ['孩', '三', 5, 6], ['子', '名', 6, 7]]",0.375,1.0
9,還在讀高中或者大學,還在讀高動獲的大學,還能有機會好入決賽,"[['在', '能', 1, 2], ['讀', '有', 2, 3], ['高', '機', 3, 4], ['動', '會', 4, 5], ['獲', '好', 5, 6], ['的', '入', 6, 7], ['大', '決', 7, 8], ['學', '賽', 8, 9]]",0.3333333333333333,0.8888888888888888
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,體徽證片平二零零十年,"[['對', '體', 0, 1], ['於', '徽', 1, 2], ['作', '證', 2, 3], ['著', '片', 3, 4], ['均', '二', 5, 6], ['五', '零', 7, 8], ['歲', '年', 9, 10]]",0.6153846153846154,0.8461538461538461
11,軍人大概都晚婚,春輪打的東莞會,一麼樣的發奧會,"[['春', '一', 0, 1], ['輪', '麼', 1, 2], ['打', '樣', 2, 3], ['東', '發', 4, 5], ['莞', '奧', 5, 6]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,大多是有生級他的子子,"[['是', '大', 0, 1], ['數', '是', 2, 3], ['最', '有', 3, 4], ['一', '生', 4, 5], ['上', '級', 5, 6], ['小', '他', 6, 7], ['女', '子', 9, 10]]",0.4545454545454545,0.7272727272727273
13,大概都在高中大學,下載都在工準發學,白在她打工不方便,"[['下', '白', 0, 1], ['載', '在', 1, 2], ['都', '她', 2, 3], ['在', '打', 3, 4], ['準', '不', 5, 6], ['發', '方', 6, 7], ['學', '便', 7, 8]]",0.625,1.0
14,所以我相信,出我修息,自我嘲疑,"[['出', '自', 0, 1], ['修', '嘲', 2, 3], ['息', '疑', 3, 4]]",0.8,0.8
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,人工職師談不能理解你們的招募參願性,"[['會', '人', 0, 1], ['的', '工', 1, 2], ['努', '職', 2, 3], ['力', '師', 3, 4], ['失', '談', 4, 5], ['望', '不', 5, 6], ['過', '理', 7, 8], ['之', '解', 8, 9], ['子', '你', 9, 10], ['成', '們', 10, 11], ['自', '的', 11, 12], ['己', '招', 12, 13], ['師', '募', 13, 14], ['差', '參', 14, 15], ['與', '願', 15, 16], ['事', '性', 16, 17]]",0.631578947368421,0.8947368421052632
16,向上級去反應,小小局取法應,警政局門相應,"[['小', '警', 0, 1], ['小', '政', 1, 2], ['取', '門', 3, 4], ['法', '相', 4, 5]]",0.8333333333333334,0.8333333333333334
17,為退役的上校,所最意的想效,是恣意的自春,"[['所', '是', 0, 1], ['最', '恣', 1, 2], ['想', '自', 4, 5], ['效', '春', 5, 6]]",0.8333333333333334,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,自所應有的方度,"[['爭', '自', 0, 1], ['取', '所', 1, 2], ['權', '方', 5, 6], ['益', '度', 6, 7]]",0.0,0.5714285714285714
19,是我跟委員補充,是我根人,有根有底,"[['是', '有', 0, 1], ['我', '根', 1, 2], ['根', '有', 2, 3], ['人', '底', 3, 4]]",0.7142857142857143,1.0
20,是讓公教人員,是公正佐夜,在東京之外,"[['是', '在', 0, 1], ['公', '東', 1, 2], ['正', '京', 2, 3], ['佐', '之', 3, 4], ['夜', '外', 4, 5]]",0.6666666666666666,1.0
