,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,首先肯定退輔會,首先肯定退不會,必先要有退休金,"[['首', '必', 0, 1], ['肯', '要', 2, 3], ['定', '有', 3, 4], ['不', '休', 5, 6], ['會', '金', 6, 7]]",0.14285714285714285,0.7142857142857143
1,呂玉林委員所提的,立玲委員所提的,對分分師所提的,"[['立', '對', 0, 1], ['玲', '分', 1, 2], ['委', '分', 2, 3], ['員', '師', 3, 4]]",0.375,0.625
2,退役上校教補費的問題,最預上小就費毒題,但後到小孩會一了,"[['最', '但', 0, 1], ['預', '後', 1, 2], ['上', '到', 2, 3], ['就', '孩', 4, 5], ['費', '會', 5, 6], ['毒', '一', 6, 7], ['題', '了', 7, 8]]",0.7,1.0
3,退輔會馮主委李副主委,最股會紅委比副作位,獨僑委員持會例例高,"[['最', '獨', 0, 1], ['股', '僑', 1, 2], ['會', '委', 2, 3], ['紅', '員', 3, 4], ['委', '持', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '例', 7, 8], ['位', '高', 8, 9]]",0.7,1.0
4,都能夠全力支持,有不全地支詞,更多全面支持,"[['有', '更', 0, 1], ['不', '多', 1, 2], ['地', '面', 3, 4], ['詞', '持', 5, 6]]",0.7142857142857143,0.5714285714285714
5,我在這裡做一點補充,所在這裡做的村,萬洋城院真的是,"[['所', '萬', 0, 1], ['在', '洋', 1, 2], ['這', '城', 2, 3], ['裡', '院', 3, 4], ['做', '真', 4, 5], ['村', '是', 6, 7]]",0.5555555555555556,1.0
6,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之前和公募不一樣的則本是同一家公險發司的股募投基金,"[['直', '前', 1, 2], ['登', '和', 2, 3], ['找', '募', 4, 5], ['地', '則', 9, 10], ['方', '本', 10, 11], ['訴', '是', 11, 12], ['上', '同', 12, 13], ['小', '家', 14, 15], ['平', '公', 15, 16], ['晨', '險', 16, 17], ['退', '發', 17, 18], ['股', '司', 18, 19], ['內', '的', 19, 20], ['領', '股', 20, 21], ['的', '募', 21, 22], ['的', '投', 22, 23], ['十', '基', 23, 24], ['水', '金', 24, 25]]",0.6,0.76
7,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所謂的運動員是一些少受照戴的人,"[['們', '謂', 1, 2], ['對', '的', 2, 3], ['顧', '運', 3, 4], ['委', '動', 4, 5], ['也', '員', 5, 6], ['走', '是', 6, 7], ['思', '一', 7, 8], ['最', '些', 8, 9], ['收', '少', 9, 10], ['可', '受', 10, 11], ['到', '照', 11, 12], ['任', '戴', 12, 13], ['損', '的', 13, 14], ['事', '人', 14, 15]]",0.8823529411764706,0.9411764705882353
8,所以幾乎沒有孩子,是知乎沒有孩子,是單會還是回獨,"[['知', '單', 1, 2], ['乎', '會', 2, 3], ['沒', '還', 3, 4], ['有', '是', 4, 5], ['孩', '回', 5, 6], ['子', '獨', 6, 7]]",0.375,1.0
9,還在讀高中或者大學,還在讀高動獲的大學,還在讀新速，尋知真,"[['高', '新', 3, 4], ['動', '速', 4, 5], ['獲', '，', 5, 6], ['的', '尋', 6, 7], ['大', '知', 7, 8], ['學', '真', 8, 9]]",0.3333333333333333,0.6666666666666666
10,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,每次比賽重長點十十米,"[['對', '每', 0, 1], ['於', '次', 1, 2], ['作', '比', 2, 3], ['著', '賽', 3, 4], ['平', '重', 4, 5], ['均', '長', 5, 6], ['零', '點', 6, 7], ['五', '十', 7, 8], ['歲', '米', 9, 10]]",0.6153846153846154,0.9230769230769231
11,軍人大概都晚婚,春輪打的東莞會,深賽中的廣京隊,"[['春', '深', 0, 1], ['輪', '賽', 1, 2], ['打', '中', 2, 3], ['東', '廣', 4, 5], ['莞', '京', 5, 6], ['會', '隊', 6, 7]]",1.0,1.0
12,所以多數退役上校的子女,是多數最一上小的子女,而一些還未上市的公行,"[['是', '而', 0, 1], ['多', '一', 1, 2], ['數', '些', 2, 3], ['最', '還', 3, 4], ['一', '未', 4, 5], ['小', '市', 6, 7], ['子', '公', 8, 9], ['女', '行', 9, 10]]",0.4545454545454545,0.8181818181818182
13,大概都在高中大學,下載都在工準發學,進一步在移動化上,"[['下', '進', 0, 1], ['載', '一', 1, 2], ['都', '步', 2, 3], ['工', '移', 4, 5], ['準', '動', 5, 6], ['發', '化', 6, 7], ['學', '上', 7, 8]]",0.625,0.875
14,所以我相信,出我修息,出現應意,"[['我', '現', 1, 2], ['修', '應', 2, 3], ['息', '意', 3, 4]]",0.8,1.0
15,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,它的突速舉弱將再度恐造成市的出水價,"[['會', '它', 0, 1], ['努', '突', 2, 3], ['力', '速', 3, 4], ['失', '舉', 4, 5], ['望', '弱', 5, 6], ['能', '將', 6, 7], ['過', '再', 7, 8], ['之', '度', 8, 9], ['子', '恐', 9, 10], ['成', '造', 10, 11], ['自', '成', 11, 12], ['己', '市', 12, 13], ['師', '的', 13, 14], ['差', '出', 14, 15], ['與', '水', 15, 16], ['事', '價', 16, 17]]",0.631578947368421,0.9473684210526315
16,向上級去反應,小小局取法應,追求男偶或者,"[['小', '追', 0, 1], ['小', '求', 1, 2], ['局', '男', 2, 3], ['取', '偶', 3, 4], ['法', '或', 4, 5], ['應', '者', 5, 6]]",0.8333333333333334,1.0
17,為退役的上校,所最意的想效,所關心的問題,"[['最', '關', 1, 2], ['意', '心', 2, 3], ['想', '問', 4, 5], ['效', '題', 5, 6]]",0.8333333333333334,0.8333333333333334
18,爭取應有的權益,爭取應有的權益,自所應有的權益,"[['爭', '自', 0, 1], ['取', '所', 1, 2]]",0.0,0.2857142857142857
19,是我跟委員補充,是我根人,是我的你,"[['根', '的', 2, 3], ['人', '你', 3, 4]]",0.7142857142857143,0.7142857142857143
