,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一小平晨在不一樣的地方加上一小平晨在國內玩過幾次。,"[['之', '一', 0, 1], ['直', '小', 1, 2], ['登', '平', 2, 3], ['公', '晨', 3, 4], ['找', '在', 4, 5], ['訴', '加', 11, 12], ['退', '在', 17, 18], ['股', '國', 18, 19], ['領', '玩', 20, 21], ['的', '過', 21, 22], ['的', '幾', 22, 23], ['十', '次', 23, 24], ['水', '。', 24, 25]]",0.6,0.72
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我的努力希望有識之士為自己的參與。,"[['會', '我', 0, 1], ['失', '希', 4, 5], ['能', '有', 6, 7], ['過', '識', 7, 8], ['子', '士', 9, 10], ['成', '為', 10, 11], ['師', '的', 13, 14], ['差', '參', 14, 15], ['事', '。', 16, 17]]",0.631578947368421,0.7368421052631579
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的主人，意思是你受到虧損。,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '主', 3, 4], ['委', '人', 4, 5], ['也', '，', 5, 6], ['走', '意', 6, 7], ['最', '是', 8, 9], ['收', '你', 9, 10], ['可', '受', 10, 11], ['任', '虧', 12, 13], ['事', '。', 14, 15]]",0.882352941176471,0.8823529411764706
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那麼你肯定現在還在創造回報。,"[['所', '那', 0, 1], ['也', '你', 2, 3], ['幹', '現', 5, 6], ['只', '還', 7, 8], ['未', '在', 8, 9], ['促', '創', 9, 10], ['答', '報', 12, 13], ['的', '。', 13, 14]]",0.5,0.6428571428571429
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在大學一度以二手社交為訓練。,"[['並', '在', 0, 1], ['大', '一', 3, 4], ['藏', '以', 5, 6], ['在', '二', 6, 7], ['等', '手', 7, 8], ['公', '社', 8, 9], ['熱', '訓', 11, 12], ['打', '。', 13, 14]]",0.75,0.9
5,退役上校教補費的問題,最預上小就費毒題,不能太小浪費問題,"[['最', '不', 0, 1], ['預', '能', 1, 2], ['上', '太', 2, 3], ['就', '浪', 4, 5], ['毒', '問', 6, 7]]",0.7,0.7
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對於有著平均的五十。,"[['作', '有', 2, 3], ['零', '的', 6, 7], ['歲', '。', 9, 10]]",0.615384615384615,0.6923076923076923
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,防衛做得非常的嚴。,"[['疫', '衛', 1, 2], ['出', '做', 2, 3], ['了', '得', 3, 4], ['峻', '。', 8, 9]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,是人类唯一最小的人。,"[['多', '人', 1, 2], ['數', '类', 2, 3], ['最', '唯', 3, 4], ['上', '最', 5, 6], ['子', '人', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,首先決定會不會,"[['肯', '決', 2, 3], ['退', '會', 4, 5]]",0.14285714285714302,0.42857142857142855
