,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一後公山司不一樣的地方，求一個時，，，，的到五錢。,"[['之', '一', 0, 1], ['直', '後', 1, 2], ['登', '公', 2, 3], ['公', '山', 3, 4], ['找', '司', 4, 5], ['訴', '，', 11, 12], ['上', '求', 12, 13], ['小', '個', 14, 15], ['平', '時', 15, 16], ['晨', '，', 16, 17], ['退', '，', 17, 18], ['股', '，', 18, 19], ['內', '，', 19, 20], ['領', '的', 20, 21], ['的', '到', 21, 22], ['的', '五', 22, 23], ['十', '錢', 23, 24], ['水', '。', 24, 25]]",0.6,0.72
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我很能力希不難力日不的自己的父的。,"[['會', '我', 0, 1], ['的', '很', 1, 2], ['努', '能', 2, 3], ['失', '希', 4, 5], ['望', '不', 5, 6], ['能', '難', 6, 7], ['過', '力', 7, 8], ['之', '日', 8, 9], ['子', '不', 9, 10], ['成', '的', 10, 11], ['師', '的', 13, 14], ['差', '父', 14, 15], ['與', '的', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.8947368421052632
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的，，，，，，，不，，的。,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '，', 3, 4], ['委', '，', 4, 5], ['也', '，', 5, 6], ['走', '，', 6, 7], ['思', '，', 7, 8], ['最', '，', 8, 9], ['收', '，', 9, 10], ['可', '不', 10, 11], ['到', '，', 11, 12], ['任', '，', 12, 13], ['損', '的', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那以，一定現，還是創成，來。,"[['所', '那', 0, 1], ['麼', '以', 1, 2], ['也', '，', 2, 3], ['肯', '一', 3, 4], ['幹', '現', 5, 6], ['在', '，', 6, 7], ['只', '還', 7, 8], ['未', '是', 8, 9], ['促', '創', 9, 10], ['造', '成', 10, 11], ['回', '，', 11, 12], ['答', '來', 12, 13], ['的', '。', 13, 14]]",0.5,0.8571428571428571
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在轉度一學，站，，司車訓點。,"[['並', '在', 0, 1], ['大', '轉', 1, 2], ['學', '度', 2, 3], ['大', '一', 3, 4], ['度', '學', 4, 5], ['藏', '，', 5, 6], ['在', '站', 6, 7], ['等', '，', 7, 8], ['公', '，', 8, 9], ['交', '司', 9, 10], ['為', '車', 10, 11], ['熱', '訓', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,不好大，，是，。,"[['最', '不', 0, 1], ['預', '好', 1, 2], ['上', '大', 2, 3], ['小', '，', 3, 4], ['就', '，', 4, 5], ['費', '是', 5, 6], ['毒', '，', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對於有者平均是五十。,"[['作', '有', 2, 3], ['著', '者', 3, 4], ['零', '是', 6, 7], ['歲', '。', 9, 10]]",0.615384615384615,0.6923076923076923
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,防衛做現非常的力。,"[['疫', '衛', 1, 2], ['出', '做', 2, 3], ['了', '現', 3, 4], ['嚴', '力', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,是人數是小最位的子。,"[['多', '人', 1, 2], ['最', '是', 3, 4], ['一', '小', 4, 5], ['上', '最', 5, 6], ['小', '位', 6, 7], ['女', '。', 9, 10]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,首先決定，休。,"[['肯', '決', 2, 3], ['退', '，', 4, 5], ['不', '休', 5, 6], ['會', '。', 6, 7]]",0.14285714285714302,0.5714285714285714
