,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之前的公司不一樣的地方，說一些時常退休內容的金錢。,"[['直', '前', 1, 2], ['登', '的', 2, 3], ['找', '司', 4, 5], ['訴', '，', 11, 12], ['上', '說', 12, 13], ['小', '些', 14, 15], ['平', '時', 15, 16], ['晨', '常', 16, 17], ['股', '休', 18, 19], ['領', '容', 20, 21], ['的', '金', 22, 23], ['十', '錢', 23, 24], ['水', '。', 24, 25]]",0.6,0.72
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,會很努力希望能在之後對自己好一點。,"[['的', '很', 1, 2], ['失', '希', 4, 5], ['過', '在', 7, 8], ['子', '後', 9, 10], ['成', '對', 10, 11], ['師', '好', 13, 14], ['差', '一', 14, 15], ['與', '點', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.6842105263157895
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對顧客員說了是有可能的的。,"[['們', '以', 1, 2], ['委', '客', 4, 5], ['也', '員', 5, 6], ['走', '說', 6, 7], ['思', '了', 7, 8], ['最', '是', 8, 9], ['收', '有', 9, 10], ['到', '能', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,0.8823529411764706
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,所以我肯定覺得不能進進出來。,"[['麼', '以', 1, 2], ['也', '我', 2, 3], ['幹', '覺', 5, 6], ['在', '得', 6, 7], ['只', '不', 7, 8], ['未', '能', 8, 9], ['促', '進', 9, 10], ['造', '進', 10, 11], ['回', '出', 11, 12], ['答', '來', 12, 13], ['的', '。', 13, 14]]",0.5,0.8571428571428571
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,並在廳大門增設了公交車終點。,"[['大', '在', 1, 2], ['學', '廳', 2, 3], ['度', '門', 4, 5], ['藏', '增', 5, 6], ['在', '設', 6, 7], ['等', '了', 7, 8], ['為', '車', 10, 11], ['熱', '終', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,0.9
5,退役上校教補費的問題,最預上小就費毒題,最多24時使用。題,"[['預', '多', 1, 2], ['上', '24', 2, 3], ['就', '時', 4, 5], ['費', '使', 5, 6], ['毒', '用', 6, 7], ['題', '。', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對象作為修行的部分。,"[['於', '象', 1, 2], ['著', '為', 3, 4], ['平', '修', 4, 5], ['均', '行', 5, 6], ['零', '的', 6, 7], ['五', '部', 7, 8], ['十', '分', 8, 9], ['歲', '。', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,防守出了非常的力。,"[['疫', '守', 1, 2], ['嚴', '力', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.5555555555555556
8,所以多數退役上校的子女,是多數最一上小的子女,是多多最先上場的人。,"[['數', '多', 2, 3], ['一', '先', 4, 5], ['小', '場', 6, 7], ['子', '人', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.7272727272727273
9,首先肯定退輔會,首先肯定退不會,首先肯定有货。,"[['退', '有', 4, 5], ['不', '货', 5, 6], ['會', '。', 6, 7]]",0.14285714285714302,0.42857142857142855
