,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一小平要在不知意的地方，出一小平，出入首先要三思。,"[['之', '一', 0, 1], ['直', '小', 1, 2], ['登', '平', 2, 3], ['公', '要', 3, 4], ['找', '在', 4, 5], ['一', '知', 6, 7], ['樣', '意', 7, 8], ['訴', '，', 11, 12], ['上', '出', 12, 13], ['晨', '，', 16, 17], ['退', '出', 17, 18], ['股', '入', 18, 19], ['內', '首', 19, 20], ['領', '先', 20, 21], ['的', '要', 21, 22], ['的', '三', 22, 23], ['十', '思', 23, 24], ['水', '。', 24, 25]]",0.6,0.84
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我的心望，不不不，變成了老師參與。,"[['會', '我', 0, 1], ['努', '心', 2, 3], ['力', '望', 3, 4], ['失', '，', 4, 5], ['望', '不', 5, 6], ['能', '不', 6, 7], ['過', '不', 7, 8], ['之', '，', 8, 9], ['子', '變', 9, 10], ['自', '了', 11, 12], ['己', '老', 12, 13], ['差', '參', 14, 15], ['事', '。', 16, 17]]",0.631578947368421,0.9473684210526315
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我們的人，不是是可做得很的嗎？,"[['所', '我', 0, 1], ['對', '的', 2, 3], ['顧', '人', 3, 4], ['委', '，', 4, 5], ['也', '不', 5, 6], ['走', '是', 6, 7], ['思', '是', 7, 8], ['最', '可', 8, 9], ['收', '做', 9, 10], ['可', '得', 10, 11], ['到', '很', 11, 12], ['任', '的', 12, 13], ['損', '嗎', 13, 14], ['事', '？', 14, 15]]",0.882352941176471,0.8823529411764706
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我們也不是現在還在這力氣上。,"[['所', '我', 0, 1], ['麼', '們', 1, 2], ['肯', '不', 3, 4], ['定', '是', 4, 5], ['幹', '現', 5, 6], ['只', '還', 7, 8], ['未', '在', 8, 9], ['促', '這', 9, 10], ['造', '力', 10, 11], ['回', '氣', 11, 12], ['答', '上', 12, 13], ['的', '。', 13, 14]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在大，大隱正在坐，因為在了。,"[['並', '在', 0, 1], ['學', '，', 2, 3], ['度', '隱', 4, 5], ['藏', '正', 5, 6], ['等', '坐', 7, 8], ['公', '，', 8, 9], ['交', '因', 9, 10], ['熱', '在', 11, 12], ['練', '了', 12, 13], ['打', '。', 13, 14]]",0.75,0.85
5,退役上校教補費的問題,最預上小就費毒題,不是大家都知道。,"[['最', '不', 0, 1], ['預', '是', 1, 2], ['上', '大', 2, 3], ['小', '家', 3, 4], ['就', '都', 4, 5], ['費', '知', 5, 6], ['毒', '道', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,他年齡為一百五五五。,"[['對', '他', 0, 1], ['於', '年', 1, 2], ['作', '齡', 2, 3], ['著', '為', 3, 4], ['平', '一', 4, 5], ['均', '百', 5, 6], ['零', '五', 6, 7], ['十', '五', 8, 9], ['歲', '。', 9, 10]]",0.615384615384615,0.9230769230769231
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,它現出了如常的光。,"[['防', '它', 0, 1], ['疫', '現', 1, 2], ['非', '如', 4, 5], ['嚴', '光', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.7777777777777778
8,所以多數退役上校的子女,是多數最一上小的子女,是家中唯一最小的人。,"[['多', '家', 1, 2], ['數', '中', 2, 3], ['最', '唯', 3, 4], ['上', '最', 5, 6], ['子', '人', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,不們不，們不！,"[['首', '不', 0, 1], ['先', '們', 1, 2], ['肯', '不', 2, 3], ['定', '，', 3, 4], ['退', '們', 4, 5], ['會', '！', 6, 7]]",0.14285714285714302,1.0
