,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,一後我又司不到去的，告，有一個時，，之，的到五錢。,"[['之', '一', 0, 1], ['直', '後', 1, 2], ['登', '我', 2, 3], ['公', '又', 3, 4], ['找', '司', 4, 5], ['一', '到', 6, 7], ['樣', '去', 7, 8], ['地', '，', 9, 10], ['方', '告', 10, 11], ['訴', '，', 11, 12], ['上', '有', 12, 13], ['小', '個', 14, 15], ['平', '時', 15, 16], ['晨', '，', 16, 17], ['退', '，', 17, 18], ['股', '之', 18, 19], ['內', '，', 19, 20], ['領', '的', 20, 21], ['的', '到', 21, 22], ['的', '五', 22, 23], ['十', '錢', 23, 24], ['水', '。', 24, 25]]",0.6,0.88
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我很人，，不難力日不的為老的事的。,"[['會', '我', 0, 1], ['的', '很', 1, 2], ['努', '人', 2, 3], ['力', '，', 3, 4], ['失', '，', 4, 5], ['望', '不', 5, 6], ['能', '難', 6, 7], ['過', '力', 7, 8], ['之', '日', 8, 9], ['子', '不', 9, 10], ['成', '的', 10, 11], ['自', '為', 11, 12], ['己', '老', 12, 13], ['師', '的', 13, 14], ['差', '事', 14, 15], ['與', '的', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,1.0
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,我以的，，，，，，，不，不的。,"[['所', '我', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '，', 3, 4], ['委', '，', 4, 5], ['也', '，', 5, 6], ['走', '，', 6, 7], ['思', '，', 7, 8], ['最', '，', 8, 9], ['收', '，', 9, 10], ['可', '不', 10, 11], ['到', '，', 11, 12], ['任', '不', 12, 13], ['損', '的', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我們，，，現，還是有的的的。,"[['所', '我', 0, 1], ['麼', '們', 1, 2], ['也', '，', 2, 3], ['肯', '，', 3, 4], ['定', '，', 4, 5], ['幹', '現', 5, 6], ['在', '，', 6, 7], ['只', '還', 7, 8], ['未', '是', 8, 9], ['促', '有', 9, 10], ['造', '的', 10, 11], ['回', '的', 11, 12], ['答', '的', 12, 13], ['的', '。', 13, 14]]",0.5,1.0
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在且與生收，站，，，車一的。,"[['並', '在', 0, 1], ['大', '且', 1, 2], ['學', '與', 2, 3], ['大', '生', 3, 4], ['度', '收', 4, 5], ['藏', '，', 5, 6], ['在', '站', 6, 7], ['等', '，', 7, 8], ['公', '，', 8, 9], ['交', '，', 9, 10], ['為', '車', 10, 11], ['熱', '一', 11, 12], ['練', '的', 12, 13], ['打', '。', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,不後最，，是的。,"[['最', '不', 0, 1], ['預', '後', 1, 2], ['上', '最', 2, 3], ['小', '，', 3, 4], ['就', '，', 4, 5], ['費', '是', 5, 6], ['毒', '的', 6, 7], ['題', '。', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,他年有者一百年齡1。歲,"[['對', '他', 0, 1], ['於', '年', 1, 2], ['作', '有', 2, 3], ['著', '者', 3, 4], ['平', '一', 4, 5], ['均', '百', 5, 6], ['零', '年', 6, 7], ['五', '齡', 7, 8], ['十', '15', 8, 9], ['歲', '。', 9, 10]]",0.615384615384615,0.7692307692307693
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,它現做現一樣的力。,"[['防', '它', 0, 1], ['疫', '現', 1, 2], ['出', '做', 2, 3], ['了', '現', 3, 4], ['非', '一', 4, 5], ['常', '樣', 5, 6], ['嚴', '力', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是家中是小最位的人。,"[['多', '家', 1, 2], ['數', '中', 2, 3], ['最', '是', 3, 4], ['一', '小', 4, 5], ['上', '最', 5, 6], ['小', '位', 6, 7], ['子', '人', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,不們，閃，货。,"[['首', '不', 0, 1], ['先', '們', 1, 2], ['肯', '，', 2, 3], ['定', '閃', 3, 4], ['退', '，', 4, 5], ['不', '货', 5, 6], ['會', '。', 6, 7]]",0.14285714285714302,1.0
