,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之後的公車不到去的地方，是一小時，不的內容的金錢。,"[['直', '後', 1, 2], ['登', '的', 2, 3], ['找', '車', 4, 5], ['一', '到', 6, 7], ['樣', '去', 7, 8], ['訴', '，', 11, 12], ['上', '是', 12, 13], ['平', '時', 15, 16], ['晨', '，', 16, 17], ['退', '不', 17, 18], ['股', '的', 18, 19], ['領', '容', 20, 21], ['的', '金', 22, 23], ['十', '錢', 23, 24], ['水', '。', 24, 25]]",0.6,0.8
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,會的過來，會的過去，成為會的缺點。,"[['努', '過', 2, 3], ['力', '來', 3, 4], ['失', '，', 4, 5], ['望', '會', 5, 6], ['能', '的', 6, 7], ['之', '去', 8, 9], ['子', '，', 9, 10], ['自', '為', 11, 12], ['己', '會', 12, 13], ['師', '的', 13, 14], ['差', '缺', 14, 15], ['與', '點', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.8947368421052632
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對此題也要思考是可以的的。,"[['們', '以', 1, 2], ['顧', '此', 3, 4], ['委', '題', 4, 5], ['走', '要', 6, 7], ['最', '考', 8, 9], ['收', '是', 9, 10], ['到', '以', 11, 12], ['任', '的', 12, 13], ['損', '的', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,0.8823529411764706
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,我家也不是，人家是有的的的。,"[['所', '我', 0, 1], ['麼', '家', 1, 2], ['肯', '不', 3, 4], ['定', '是', 4, 5], ['幹', '，', 5, 6], ['在', '人', 6, 7], ['只', '家', 7, 8], ['未', '是', 8, 9], ['促', '有', 9, 10], ['造', '的', 10, 11], ['回', '的', 11, 12], ['答', '的', 12, 13], ['的', '。', 13, 14]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,並且辦公在正在等待的項目點。,"[['大', '且', 1, 2], ['學', '辦', 2, 3], ['大', '公', 3, 4], ['度', '在', 4, 5], ['藏', '正', 5, 6], ['公', '待', 8, 9], ['交', '的', 9, 10], ['為', '項', 10, 11], ['熱', '目', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,0.9
5,退役上校教補費的問題,最預上小就費毒題,最後一小時是的。,"[['預', '後', 1, 2], ['上', '一', 2, 3], ['就', '時', 4, 5], ['費', '是', 5, 6], ['毒', '的', 6, 7], ['題', '。', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,這數稱為相動的的數。,"[['對', '這', 0, 1], ['於', '數', 1, 2], ['作', '稱', 2, 3], ['著', '為', 3, 4], ['平', '相', 4, 5], ['均', '動', 5, 6], ['零', '的', 6, 7], ['五', '的', 7, 8], ['十', '數', 8, 9], ['歲', '。', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,他们出了很大的力。,"[['防', '他', 0, 1], ['疫', '们', 1, 2], ['非', '很', 4, 5], ['常', '大', 5, 6], ['嚴', '力', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是當中最先上場的人。,"[['多', '當', 1, 2], ['數', '中', 2, 3], ['一', '先', 4, 5], ['小', '場', 6, 7], ['子', '人', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,2、确定有货。,"[['首', '2', 0, 1], ['先', '、', 1, 2], ['肯', '确', 2, 3], ['退', '有', 4, 5], ['不', '货', 5, 6], ['會', '。', 6, 7]]",0.14285714285714302,0.8571428571428571
