,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,和後老去司不一樣的地方，有，張時在在役所面取二薪元,"[['之', '和', 0, 1], ['直', '後', 1, 2], ['登', '老', 2, 3], ['公', '去', 3, 4], ['找', '司', 4, 5], ['訴', '，', 11, 12], ['上', '有', 12, 13], ['一', '，', 13, 14], ['小', '張', 14, 15], ['平', '時', 15, 16], ['晨', '在', 16, 17], ['退', '在', 17, 18], ['股', '役', 18, 19], ['內', '所', 19, 20], ['領', '面', 20, 21], ['的', '取', 21, 22], ['的', '二', 22, 23], ['十', '薪', 23, 24], ['水', '元', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我再努力希去難讓日變對自己的人的。,"[['會', '我', 0, 1], ['的', '再', 1, 2], ['失', '希', 4, 5], ['望', '去', 5, 6], ['能', '難', 6, 7], ['過', '讓', 7, 8], ['之', '日', 8, 9], ['子', '變', 9, 10], ['成', '對', 10, 11], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他以的省客的反了，終不信的之。,"[['所', '他', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '省', 3, 4], ['委', '客', 4, 5], ['也', '的', 5, 6], ['走', '反', 6, 7], ['思', '了', 7, 8], ['最', '，', 8, 9], ['收', '終', 9, 10], ['可', '不', 10, 11], ['到', '信', 11, 12], ['任', '的', 12, 13], ['損', '之', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那以我肯定存一還會創到回來的,"[['所', '那', 0, 1], ['麼', '以', 1, 2], ['也', '我', 2, 3], ['幹', '存', 5, 6], ['在', '一', 6, 7], ['只', '還', 7, 8], ['未', '會', 8, 9], ['促', '創', 9, 10], ['造', '到', 10, 11], ['答', '來', 12, 13]]",0.5,0.6428571428571429
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在大聲一學的，坐公園的教點。,"[['並', '在', 0, 1], ['學', '聲', 2, 3], ['大', '一', 3, 4], ['度', '學', 4, 5], ['藏', '的', 5, 6], ['在', '，', 6, 7], ['等', '坐', 7, 8], ['交', '園', 9, 10], ['為', '的', 10, 11], ['熱', '教', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,0.85
5,退役上校教補費的問題,最預上小就費毒題,不好最的學是問。,"[['最', '不', 0, 1], ['預', '好', 1, 2], ['上', '最', 2, 3], ['小', '的', 3, 4], ['就', '學', 4, 5], ['費', '是', 5, 6], ['毒', '問', 6, 7], ['題', '。', 7, 8]]",0.7,0.9
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對於有為「凡在五十集,"[['作', '有', 2, 3], ['著', '為', 3, 4], ['平', '「', 4, 5], ['均', '凡', 5, 6], ['零', '在', 6, 7], ['歲', '集', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,這現變現非常的重。,"[['防', '這', 0, 1], ['疫', '現', 1, 2], ['出', '變', 2, 3], ['了', '現', 3, 4], ['嚴', '重', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,是全大大小最學的少。,"[['多', '全', 1, 2], ['數', '大', 2, 3], ['最', '大', 3, 4], ['一', '小', 4, 5], ['上', '最', 5, 6], ['小', '學', 6, 7], ['子', '少', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,首先肯定是不出,"[['退', '是', 4, 5], ['會', '出', 6, 7]]",0.14285714285714302,0.42857142857142855
10,退輔會各級榮民醫院,不會各級組名一月,大同升組排合：。,"[['不', '大', 0, 1], ['會', '同', 1, 2], ['各', '升', 2, 3], ['級', '組', 3, 4], ['組', '排', 4, 5], ['名', '合', 5, 6], ['一', '：', 6, 7], ['月', '。', 7, 8]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,港終最：會會例席人,"[['最', '港', 0, 1], ['股', '終', 1, 2], ['會', '最', 2, 3], ['紅', '：', 3, 4], ['委', '會', 4, 5], ['比', '會', 5, 6], ['副', '例', 6, 7], ['作', '席', 7, 8], ['位', '人', 8, 9]]",0.7,1.0
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,在而来步，不議的。,"[['退', '在', 0, 1], ['下', '而', 1, 2], ['一', '来', 2, 3], ['問', '步', 3, 4], ['拿', '，', 4, 5], ['建', '不', 5, 6], ['立', '議', 6, 7], ['用', '。', 8, 9]]",0.857142857142857,1.0
13,那麼第二個我要問的現在的,第種來問的現在的,這一是自，現在的,"[['第', '這', 0, 1], ['種', '一', 1, 2], ['來', '是', 2, 3], ['問', '自', 3, 4], ['的', '，', 4, 5]]",0.5,0.75
14,還在讀高中或者大學,還在讀高動獲的大學,現在讀過中漫得大學,"[['還', '現', 0, 1], ['高', '過', 3, 4], ['動', '中', 4, 5], ['獲', '漫', 5, 6], ['的', '得', 6, 7]]",0.33333333333333304,0.4444444444444444
15,所以他有沒有享受這個福利有,是在日想制的福有,我今你本得的，。,"[['是', '我', 0, 1], ['在', '今', 1, 2], ['日', '你', 2, 3], ['想', '本', 3, 4], ['制', '得', 4, 5], ['福', '，', 6, 7], ['有', '。', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,首天上出東都。,"[['春', '首', 0, 1], ['輪', '天', 1, 2], ['打', '上', 2, 3], ['的', '出', 3, 4], ['莞', '都', 5, 6], ['會', '。', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,下班：是網開大。,"[['載', '班', 1, 2], ['都', '：', 2, 3], ['在', '是', 3, 4], ['工', '網', 4, 5], ['準', '開', 5, 6], ['發', '大', 6, 7], ['學', '。', 7, 8]]",0.625,0.875
18,爭取應有的權益,爭取應有的權益,爭取應有的權益,[],0.0,0.0
19,為退役的上校,所最意的想效,我满大之是：,"[['所', '我', 0, 1], ['最', '满', 1, 2], ['意', '大', 2, 3], ['的', '之', 3, 4], ['想', '是', 4, 5], ['效', '：', 5, 6]]",0.833333333333333,1.0
20,所以幾乎沒有孩子,是知乎沒有孩子,在幾有上有帖子,"[['是', '在', 0, 1], ['知', '幾', 1, 2], ['乎', '有', 2, 3], ['沒', '上', 3, 4], ['孩', '帖', 5, 6]]",0.375,0.625
21,呂玉林委員所提的,立玲委員所提的,[法N员]屬委員所提的,"[['立', '[UNK]', 0, 1], ['玲', '法', 1, 2], ['員', '员', 3, 4], ['提', '屬', 5, 6]]",0.375,0.75
22,從這個角度這是不公平的,誠市的角度就不品道,股人的態度，是知了,"[['誠', '股', 0, 1], ['市', '人', 1, 2], ['角', '態', 3, 4], ['就', '，', 5, 6], ['不', '是', 6, 7], ['品', '知', 7, 8], ['道', '了', 8, 9]]",0.7272727272727271,0.8181818181818182
23,我在這裡做一點補充,所在這裡做的村,我在村裡是的。,"[['所', '我', 0, 1], ['這', '村', 2, 3], ['做', '是', 4, 5], ['村', '。', 6, 7]]",0.555555555555556,0.6666666666666666
24,謝謝副主委的說明,視覺工作的順女,視覺工作的美序,"[['順', '美', 5, 6], ['女', '序', 6, 7]]",0.875,0.875
25,都能夠全力支持,有不全地支詞,是個同的用。,"[['有', '是', 0, 1], ['不', '個', 1, 2], ['全', '同', 2, 3], ['地', '的', 3, 4], ['支', '用', 4, 5], ['詞', '。', 5, 6]]",0.7142857142857142,1.0
26,向上級去反應,小小局取法應,以[的之大。局取法應,"[['小', '以', 0, 1], ['小', '[UNK]', 1, 2], ['局', '的', 2, 3], ['取', '之', 3, 4], ['法', '大', 4, 5], ['應', '。', 5, 6]]",0.833333333333333,1.5
27,以及各級榮家,許知各級總教,已多三的宗。,"[['許', '已', 0, 1], ['知', '多', 1, 2], ['各', '三', 2, 3], ['級', '的', 3, 4], ['總', '宗', 4, 5], ['教', '。', 5, 6]]",0.666666666666667,1.0
28,是讓公教人員,是公正佐夜,《：的之。,"[['是', '《', 0, 1], ['公', '：', 1, 2], ['正', '的', 2, 3], ['佐', '之', 3, 4], ['夜', '。', 4, 5]]",0.666666666666667,1.0
29,就像委員講的,這項穩講的,這是所定。,"[['項', '是', 1, 2], ['穩', '所', 2, 3], ['講', '定', 3, 4], ['的', '。', 4, 5]]",0.666666666666667,1.0
30,是我跟委員補充,是我根人,是草的。,"[['我', '草', 1, 2], ['根', '的', 2, 3], ['人', '。', 3, 4]]",0.7142857142857142,0.8571428571428571
31,所以我相信,出我修息,帮货之！,"[['出', '帮', 0, 1], ['我', '货', 1, 2], ['修', '之', 2, 3], ['息', '！', 3, 4]]",0.8,1.0
32,那個我們對於那個這這這個需求我們是用以緩濟急的方式,的我們對不個此次的系統我們稅動一務繼續的方式,「我們的一起層樣的系統我們會取服個連續的方式,"[['的', '「', 0, 1], ['對', '的', 3, 4], ['不', '一', 4, 5], ['個', '起', 5, 6], ['此', '層', 6, 7], ['次', '樣', 7, 8], ['稅', '會', 13, 14], ['動', '取', 14, 15], ['一', '服', 15, 16], ['務', '個', 16, 17], ['繼', '連', 17, 18]]",0.64,0.72
33,跟跟委員報告我們主委非常關心他每個禮拜禮拜,好跟革更為報告我們就的觀設他每這禮拜沒白理,他吧他們的報，我本他是假點，們個禮拜的有吃,"[['好', '他', 0, 1], ['跟', '吧', 1, 2], ['革', '他', 2, 3], ['更', '們', 3, 4], ['為', '的', 4, 5], ['告', '，', 6, 7], ['們', '本', 8, 9], ['就', '他', 9, 10], ['的', '是', 10, 11], ['觀', '假', 11, 12], ['設', '點', 12, 13], ['他', '，', 13, 14], ['每', '們', 14, 15], ['這', '個', 15, 16], ['沒', '的', 18, 19], ['白', '有', 19, 20], ['理', '吃', 20, 21]]",0.666666666666667,0.8571428571428571
34,以緩濟急支應,以及法繼起好指運喔,祝此能能的的的了。,"[['以', '祝', 0, 1], ['及', '此', 1, 2], ['法', '能', 2, 3], ['繼', '能', 3, 4], ['起', '的', 4, 5], ['好', '的', 5, 6], ['指', '的', 6, 7], ['運', '了', 7, 8], ['喔', '。', 8, 9]]",1.33333333333333,1.5
35,這個審議的時候沒有將你們納入,這個損議的手沒有講引不勞路,這個建他對確法有指，導引。,"[['損', '建', 2, 3], ['議', '他', 3, 4], ['的', '對', 4, 5], ['手', '確', 5, 6], ['沒', '法', 6, 7], ['講', '指', 8, 9], ['引', '，', 9, 10], ['不', '導', 10, 11], ['勞', '引', 11, 12], ['路', '。', 12, 13]]",0.5714285714285711,0.7857142857142857
