,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,和大老爺有不一樣的地方，是在他早年在村內住過的山。,"[['之', '和', 0, 1], ['直', '大', 1, 2], ['登', '老', 2, 3], ['公', '爺', 3, 4], ['找', '有', 4, 5], ['訴', '，', 11, 12], ['上', '是', 12, 13], ['一', '在', 13, 14], ['小', '他', 14, 15], ['平', '早', 15, 16], ['晨', '年', 16, 17], ['退', '在', 17, 18], ['股', '村', 18, 19], ['領', '住', 20, 21], ['的', '過', 21, 22], ['十', '山', 23, 24], ['水', '。', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我的努力希望受害孩子有自己的一件事,"[['會', '我', 0, 1], ['失', '希', 4, 5], ['能', '受', 6, 7], ['過', '害', 7, 8], ['之', '孩', 8, 9], ['成', '有', 10, 11], ['師', '的', 13, 14], ['差', '一', 14, 15], ['與', '件', 15, 16]]",0.631578947368421,0.7368421052631579
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他曾在省內行反對徵任，擔任董事,"[['所', '他', 0, 1], ['們', '曾', 1, 2], ['對', '在', 2, 3], ['顧', '省', 3, 4], ['委', '內', 4, 5], ['也', '行', 5, 6], ['走', '反', 6, 7], ['思', '對', 7, 8], ['最', '徵', 8, 9], ['收', '任', 9, 10], ['可', '，', 10, 11], ['到', '擔', 11, 12], ['損', '董', 13, 14]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,那我也肯定是在等着你的回答。,"[['所', '那', 0, 1], ['麼', '我', 1, 2], ['幹', '是', 5, 6], ['只', '等', 7, 8], ['未', '着', 8, 9], ['促', '你', 9, 10], ['造', '的', 10, 11], ['的', '。', 13, 14]]",0.5,0.5714285714285714
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在大學一年都在坐公交和網吧。,"[['並', '在', 0, 1], ['大', '一', 3, 4], ['度', '年', 4, 5], ['藏', '都', 5, 6], ['等', '坐', 7, 8], ['為', '和', 10, 11], ['熱', '網', 11, 12], ['練', '吧', 12, 13], ['打', '。', 13, 14]]",0.75,0.75
5,退役上校教補費的問題,最預上小就費毒題,不是太多浪費問題,"[['最', '不', 0, 1], ['預', '是', 1, 2], ['上', '太', 2, 3], ['小', '多', 3, 4], ['就', '浪', 4, 5], ['毒', '問', 6, 7]]",0.7,0.7
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,對於有著年近四五十的,"[['作', '有', 2, 3], ['平', '年', 4, 5], ['均', '近', 5, 6], ['零', '四', 6, 7], ['歲', '的', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,這顯示了非常的嚴峻,"[['防', '這', 0, 1], ['疫', '顯', 1, 2], ['出', '示', 2, 3]]",0.222222222222222,0.4444444444444444
8,所以多數退役上校的子女,是多數最一上小的子女,是全国第一最小的妇女,"[['多', '全', 1, 2], ['數', '国', 2, 3], ['最', '第', 3, 4], ['上', '最', 5, 6], ['子', '妇', 8, 9]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,首先肯定是不会,"[['退', '是', 4, 5], ['會', '会', 6, 7]]",0.14285714285714302,0.42857142857142855
