,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之後與公司不一樣的地方，前一小時是退的，退的是1元0水,"[['直', '後', 1, 2], ['登', '與', 2, 3], ['找', '司', 4, 5], ['訴', '，', 11, 12], ['上', '前', 12, 13], ['平', '時', 15, 16], ['晨', '是', 16, 17], ['股', '的', 18, 19], ['內', '，', 19, 20], ['領', '退', 20, 21], ['的', '是', 22, 23], ['十', '100', 23, 24], ['水', '元', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我的努力希望被抹去，女自己的父距。,"[['會', '我', 0, 1], ['失', '希', 4, 5], ['能', '被', 6, 7], ['過', '抹', 7, 8], ['之', '去', 8, 9], ['子', '，', 9, 10], ['成', '女', 10, 11], ['師', '的', 13, 14], ['差', '父', 14, 15], ['與', '距', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.7368421052631579
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對顧客並不是最重要的任務。,"[['們', '以', 1, 2], ['委', '客', 4, 5], ['也', '並', 5, 6], ['走', '不', 6, 7], ['思', '是', 7, 8], ['收', '重', 9, 10], ['可', '要', 10, 11], ['到', '的', 11, 12], ['損', '務', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,所以就決定了，於是製造出來的,"[['麼', '以', 1, 2], ['也', '就', 2, 3], ['肯', '決', 3, 4], ['幹', '了', 5, 6], ['在', '，', 6, 7], ['只', '於', 7, 8], ['未', '是', 8, 9], ['促', '製', 9, 10], ['回', '出', 11, 12], ['答', '來', 12, 13]]",0.5,0.8571428571428571
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,而大學大樓設在該公園的起點。,"[['並', '而', 0, 1], ['度', '樓', 4, 5], ['藏', '設', 5, 6], ['等', '該', 7, 8], ['交', '園', 9, 10], ['為', '的', 10, 11], ['熱', '起', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,0.7
5,退役上校教補費的問題,最預上小就費毒題,最简单的就行了。,"[['預', '简', 1, 2], ['上', '单', 2, 3], ['小', '的', 3, 4], ['費', '行', 5, 6], ['毒', '了', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,影视作品平均每一百集,"[['對', '影', 0, 1], ['於', '视', 1, 2], ['著', '品', 3, 4], ['零', '每', 6, 7], ['五', '一', 7, 8], ['十', '百', 8, 9], ['歲', '集', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,被盗用的非常的多。,"[['防', '被', 0, 1], ['疫', '盗', 1, 2], ['出', '用', 2, 3], ['了', '的', 3, 4], ['嚴', '多', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,是一種不能上網的球。,"[['多', '一', 1, 2], ['數', '種', 2, 3], ['最', '不', 3, 4], ['一', '能', 4, 5], ['小', '網', 6, 7], ['子', '球', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,首先肯定看不出,"[['退', '看', 4, 5], ['會', '出', 6, 7]]",0.14285714285714302,0.42857142857142855
10,退輔會各級榮民醫院,不會各級組名一月,不會列級別名單。,"[['各', '列', 2, 3], ['組', '別', 4, 5], ['一', '單', 6, 7], ['月', '。', 7, 8]]",0.666666666666667,0.7777777777777778
11,退輔會馮主委李副主委,最股會紅委比副作位,最股會最股會的主人,"[['紅', '最', 3, 4], ['委', '股', 4, 5], ['比', '會', 5, 6], ['副', '的', 6, 7], ['作', '主', 7, 8], ['位', '人', 8, 9]]",0.7,0.8
