,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,和後我想司不到去的，方，有，張部在在店所面取二薪元,"[['之', '和', 0, 1], ['直', '後', 1, 2], ['登', '我', 2, 3], ['公', '想', 3, 4], ['找', '司', 4, 5], ['一', '到', 6, 7], ['樣', '去', 7, 8], ['地', '，', 9, 10], ['訴', '，', 11, 12], ['上', '有', 12, 13], ['一', '，', 13, 14], ['小', '張', 14, 15], ['平', '部', 15, 16], ['晨', '在', 16, 17], ['退', '在', 17, 18], ['股', '店', 18, 19], ['內', '所', 19, 20], ['領', '面', 20, 21], ['的', '取', 21, 22], ['的', '二', 22, 23], ['十', '薪', 23, 24], ['水', '元', 24, 25]]",0.6,0.88
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我再人很，不難讓日變對為老的人的。,"[['會', '我', 0, 1], ['的', '再', 1, 2], ['努', '人', 2, 3], ['力', '很', 3, 4], ['失', '，', 4, 5], ['望', '不', 5, 6], ['能', '難', 6, 7], ['過', '讓', 7, 8], ['之', '日', 8, 9], ['子', '變', 9, 10], ['成', '對', 10, 11], ['自', '為', 11, 12], ['己', '老', 12, 13], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,1.0
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他以的此事的表示，終不能的務。,"[['所', '他', 0, 1], ['們', '以', 1, 2], ['對', '的', 2, 3], ['顧', '此', 3, 4], ['委', '事', 4, 5], ['也', '的', 5, 6], ['走', '表', 6, 7], ['思', '示', 7, 8], ['最', '，', 8, 9], ['收', '終', 9, 10], ['可', '不', 10, 11], ['到', '能', 11, 12], ['任', '的', 12, 13], ['損', '務', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,但然我不能存一還會正名成業的,"[['所', '但', 0, 1], ['麼', '然', 1, 2], ['也', '我', 2, 3], ['肯', '不', 3, 4], ['定', '能', 4, 5], ['幹', '存', 5, 6], ['在', '一', 6, 7], ['只', '還', 7, 8], ['未', '會', 8, 9], ['促', '正', 9, 10], ['造', '名', 10, 11], ['回', '成', 11, 12], ['答', '業', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在將他時間的，坐地場的他，。,"[['並', '在', 0, 1], ['大', '將', 1, 2], ['學', '他', 2, 3], ['大', '時', 3, 4], ['度', '間', 4, 5], ['藏', '的', 5, 6], ['在', '，', 6, 7], ['等', '坐', 7, 8], ['公', '地', 8, 9], ['交', '場', 9, 10], ['為', '的', 10, 11], ['熱', '他', 11, 12], ['練', '，', 12, 13], ['打', '。', 13, 14]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,不小最的學是了。,"[['最', '不', 0, 1], ['預', '小', 1, 2], ['上', '最', 2, 3], ['小', '的', 3, 4], ['就', '學', 4, 5], ['費', '是', 5, 6], ['毒', '了', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,他年有為一二年齡5集,"[['對', '他', 0, 1], ['於', '年', 1, 2], ['作', '有', 2, 3], ['著', '為', 3, 4], ['平', '一', 4, 5], ['均', '二', 5, 6], ['零', '年', 6, 7], ['五', '齡', 7, 8], ['十', '5', 8, 9], ['歲', '集', 9, 10]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,表現變現怎樣的好。,"[['防', '表', 0, 1], ['疫', '現', 1, 2], ['出', '變', 2, 3], ['了', '現', 3, 4], ['非', '怎', 4, 5], ['常', '樣', 5, 6], ['嚴', '好', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.8888888888888888
8,所以多數退役上校的子女,是多數最一上小的子女,是家里大小最學的球。,"[['多', '家', 1, 2], ['數', '里', 2, 3], ['最', '大', 3, 4], ['一', '小', 4, 5], ['上', '最', 5, 6], ['小', '學', 6, 7], ['子', '球', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,我是，會是不。,"[['首', '我', 0, 1], ['先', '是', 1, 2], ['肯', '，', 2, 3], ['定', '會', 3, 4], ['退', '是', 4, 5], ['會', '。', 6, 7]]",0.14285714285714302,1.0
10,退輔會各級榮民醫院,不會各級組名一月,日年升組不會稱。,"[['不', '日', 0, 1], ['會', '年', 1, 2], ['各', '升', 2, 3], ['級', '組', 3, 4], ['組', '不', 4, 5], ['名', '會', 5, 6], ['一', '稱', 6, 7], ['月', '。', 7, 8]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,港愛的以得會利（；,"[['最', '港', 0, 1], ['股', '愛', 1, 2], ['會', '的', 2, 3], ['紅', '以', 3, 4], ['委', '得', 4, 5], ['比', '會', 5, 6], ['副', '利', 6, 7], ['作', '（', 7, 8], ['位', '；', 8, 9]]",0.7,1.0
