,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,和我上想的不一樣的地我是了在不可的時間內我想的是了,"[['之', '和', 0, 1], ['直', '我', 1, 2], ['登', '上', 2, 3], ['公', '想', 3, 4], ['找', '的', 4, 5], ['方', '我', 10, 11], ['訴', '是', 11, 12], ['上', '了', 12, 13], ['一', '在', 13, 14], ['小', '不', 14, 15], ['平', '可', 15, 16], ['晨', '的', 16, 17], ['退', '時', 17, 18], ['股', '間', 18, 19], ['領', '我', 20, 21], ['的', '想', 21, 22], ['十', '是', 23, 24], ['水', '了', 24, 25]]",0.6,0.76
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,我的父望是不能讓孩子做這老的人的。,"[['會', '我', 0, 1], ['努', '父', 2, 3], ['力', '望', 3, 4], ['失', '是', 4, 5], ['望', '不', 5, 6], ['過', '讓', 7, 8], ['之', '孩', 8, 9], ['成', '做', 10, 11], ['自', '這', 11, 12], ['己', '老', 12, 13], ['師', '的', 13, 14], ['差', '人', 14, 15], ['與', '的', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,他曾在台年度選選中不能參任選。,"[['所', '他', 0, 1], ['們', '曾', 1, 2], ['對', '在', 2, 3], ['顧', '台', 3, 4], ['委', '年', 4, 5], ['也', '度', 5, 6], ['走', '選', 6, 7], ['思', '選', 7, 8], ['最', '中', 8, 9], ['收', '不', 9, 10], ['可', '能', 10, 11], ['到', '參', 11, 12], ['損', '選', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,但然，這若是在尚未正到中年的,"[['所', '但', 0, 1], ['麼', '然', 1, 2], ['也', '，', 2, 3], ['肯', '這', 3, 4], ['定', '若', 4, 5], ['幹', '是', 5, 6], ['只', '尚', 7, 8], ['促', '正', 9, 10], ['造', '到', 10, 11], ['回', '中', 11, 12], ['答', '年', 12, 13]]",0.5,0.9285714285714286
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,在車上的隱人在等著，狂打狂打,"[['並', '在', 0, 1], ['大', '車', 1, 2], ['學', '上', 2, 3], ['大', '的', 3, 4], ['度', '隱', 4, 5], ['藏', '人', 5, 6], ['公', '著', 8, 9], ['交', '，', 9, 10], ['為', '狂', 10, 11], ['熱', '打', 11, 12], ['練', '狂', 12, 13]]",0.75,0.95
5,退役上校教補費的問題,最預上小就費毒題,不是太多浪费了。,"[['最', '不', 0, 1], ['預', '是', 1, 2], ['上', '太', 2, 3], ['小', '多', 3, 4], ['就', '浪', 4, 5], ['費', '费', 5, 6], ['毒', '了', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,他年長時二有三十十歲,"[['對', '他', 0, 1], ['於', '年', 1, 2], ['作', '長', 2, 3], ['著', '時', 3, 4], ['平', '二', 4, 5], ['均', '有', 5, 6], ['零', '三', 6, 7], ['五', '十', 7, 8]]",0.615384615384615,0.8461538461538461
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,表現出了非常的好。,"[['防', '表', 0, 1], ['疫', '現', 1, 2], ['嚴', '好', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.6666666666666666
8,所以多數退役上校的子女,是多數最一上小的子女,是家里的最年轻的孩。,"[['多', '家', 1, 2], ['數', '里', 2, 3], ['最', '的', 3, 4], ['一', '最', 4, 5], ['上', '年', 5, 6], ['小', '轻', 6, 7], ['子', '孩', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.9090909090909091
9,首先肯定退輔會,首先肯定退不會,我是會會，我會,"[['首', '我', 0, 1], ['先', '是', 1, 2], ['肯', '會', 2, 3], ['定', '會', 3, 4], ['退', '，', 4, 5], ['不', '我', 5, 6]]",0.14285714285714302,0.8571428571428571
10,退輔會各級榮民醫院,不會各級組名一月,日年年月：年：月,"[['不', '日', 0, 1], ['會', '年', 1, 2], ['各', '年', 2, 3], ['級', '月', 3, 4], ['組', '：', 4, 5], ['名', '年', 5, 6], ['一', '：', 6, 7]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,港股：主位与支相近,"[['最', '港', 0, 1], ['會', '：', 2, 3], ['紅', '主', 3, 4], ['委', '位', 4, 5], ['比', '与', 5, 6], ['副', '支', 6, 7], ['作', '相', 7, 8], ['位', '近', 8, 9]]",0.7,0.9
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,一有钱就能好好的玩,"[['退', '一', 0, 1], ['下', '有', 1, 2], ['一', '钱', 2, 3], ['問', '就', 3, 4], ['拿', '能', 4, 5], ['建', '好', 5, 6], ['立', '好', 6, 7], ['用', '玩', 8, 9]]",0.857142857142857,0.9285714285714286
13,那麼第二個我要問的現在的,第種來問的現在的,這是我們的自想。,"[['第', '這', 0, 1], ['種', '是', 1, 2], ['來', '我', 2, 3], ['問', '們', 3, 4], ['現', '自', 5, 6], ['在', '想', 6, 7], ['的', '。', 7, 8]]",0.5,0.8333333333333334
14,還在讀高中或者大學,還在讀高動獲的大學,現在是運動系的學。,"[['還', '現', 0, 1], ['讀', '是', 2, 3], ['高', '運', 3, 4], ['獲', '系', 5, 6], ['大', '學', 7, 8], ['學', '。', 8, 9]]",0.33333333333333304,0.8888888888888888
15,所以他有沒有享受這個福利有,是在日想制的福有,我今天天生的好！,"[['是', '我', 0, 1], ['在', '今', 1, 2], ['日', '天', 2, 3], ['想', '天', 3, 4], ['制', '生', 4, 5], ['福', '好', 6, 7], ['有', '！', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,最年輕的球球。,"[['春', '最', 0, 1], ['輪', '年', 1, 2], ['打', '輕', 2, 3], ['東', '球', 4, 5], ['莞', '球', 5, 6], ['會', '。', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,我們都在做研發。,"[['下', '我', 0, 1], ['載', '們', 1, 2], ['工', '做', 4, 5], ['準', '研', 5, 6], ['學', '。', 7, 8]]",0.625,0.75
18,爭取應有的權益,爭取應有的權益,享取應有的權益,"[['爭', '享', 0, 1]]",0.0,0.14285714285714285
19,為退役的上校,所最意的想效,我有我的爱想,"[['所', '我', 0, 1], ['最', '有', 1, 2], ['意', '我', 2, 3], ['想', '爱', 4, 5], ['效', '想', 5, 6]]",0.833333333333333,0.8333333333333334
20,所以幾乎沒有孩子,是知乎沒有孩子,在家國裡養狗子,"[['是', '在', 0, 1], ['知', '家', 1, 2], ['乎', '國', 2, 3], ['沒', '裡', 3, 4], ['有', '養', 4, 5], ['孩', '狗', 5, 6]]",0.375,0.875
