,Truth,ASR_Predict,LM_correct,LM_err,asr_wer,LM_wer
0,軍職跟公教不一樣的地方是上校平均退伍年齡大概五十歲,之直登公找不一樣的地方訴上一小平晨退股內領的的十水,之後在公司不到钱的地方，了一小時，退元，退的是1元0水,"[['直', '後', 1, 2], ['登', '在', 2, 3], ['找', '司', 4, 5], ['一', '到', 6, 7], ['樣', '钱', 7, 8], ['訴', '，', 11, 12], ['上', '了', 12, 13], ['平', '時', 15, 16], ['晨', '，', 16, 17], ['股', '元', 18, 19], ['內', '，', 19, 20], ['領', '退', 20, 21], ['的', '是', 22, 23], ['十', '100', 23, 24], ['水', '元', 24, 25]]",0.6,0.84
1,退輔會的努力希望能夠堅持將這一些差異性,會的努力失望能過之子成自己師差與事,好的教長，才能彌補子女長大的差距。,"[['會', '好', 0, 1], ['努', '教', 2, 3], ['力', '長', 3, 4], ['失', '，', 4, 5], ['望', '才', 5, 6], ['過', '彌', 7, 8], ['之', '補', 8, 9], ['成', '女', 10, 11], ['自', '長', 11, 12], ['己', '大', 12, 13], ['師', '的', 13, 14], ['與', '距', 15, 16], ['事', '。', 16, 17]]",0.631578947368421,0.8421052631578947
2,那麼公務人員教師退休可以到六十五歲,所們對顧委也走思最收可到任損事,所以對他說也是是最重要的任務。,"[['們', '以', 1, 2], ['顧', '他', 3, 4], ['委', '說', 4, 5], ['走', '是', 6, 7], ['思', '是', 7, 8], ['收', '重', 9, 10], ['可', '要', 10, 11], ['到', '的', 11, 12], ['損', '務', 13, 14], ['事', '。', 14, 15]]",0.882352941176471,1.0
3,那麼也肯定剛才幾位處長回答的,所麼也肯定幹在只未促造回答的,同時也說明你的不是發業成業的,"[['所', '同', 0, 1], ['麼', '時', 1, 2], ['肯', '說', 3, 4], ['定', '明', 4, 5], ['幹', '你', 5, 6], ['在', '的', 6, 7], ['只', '不', 7, 8], ['未', '是', 8, 9], ['促', '發', 9, 10], ['造', '業', 10, 11], ['回', '成', 11, 12], ['答', '業', 12, 13]]",0.5,0.8571428571428571
4,念大學大概都是他在當公教人員的時候念大學,並大學大度藏在等公交為熱練打,但最今仍只保留了其個項目點。,"[['並', '但', 0, 1], ['大', '最', 1, 2], ['學', '今', 2, 3], ['大', '仍', 3, 4], ['度', '只', 4, 5], ['藏', '保', 5, 6], ['在', '留', 6, 7], ['等', '了', 7, 8], ['公', '其', 8, 9], ['交', '個', 9, 10], ['為', '項', 10, 11], ['熱', '目', 11, 12], ['練', '點', 12, 13], ['打', '。', 13, 14]]",0.75,1.0
5,退役上校教補費的問題,最預上小就費毒題,最重要的就是了。,"[['預', '重', 1, 2], ['上', '要', 2, 3], ['小', '的', 3, 4], ['費', '是', 5, 6], ['毒', '了', 6, 7], ['題', '。', 7, 8]]",0.7,1.0
6,那麼退役上校平均年齡五十歲,對於作著平均零五十歲,我於作者，我是說一集,"[['對', '我', 0, 1], ['著', '者', 3, 4], ['平', '，', 4, 5], ['均', '我', 5, 6], ['零', '是', 6, 7], ['五', '說', 7, 8], ['十', '一', 8, 9], ['歲', '集', 9, 10]]",0.615384615384615,1.0
7,防疫措施非常的嚴峻,防疫出了非常的嚴峻,这是做得一常的好。,"[['防', '这', 0, 1], ['疫', '是', 1, 2], ['出', '做', 2, 3], ['了', '得', 3, 4], ['非', '一', 4, 5], ['嚴', '好', 7, 8], ['峻', '。', 8, 9]]",0.222222222222222,0.7777777777777778
8,所以多數退役上校的子女,是多數最一上小的子女,是一種不能上網的球。,"[['多', '一', 1, 2], ['數', '種', 2, 3], ['最', '不', 3, 4], ['一', '能', 4, 5], ['小', '網', 6, 7], ['子', '球', 8, 9], ['女', '。', 9, 10]]",0.45454545454545503,0.8181818181818182
9,首先肯定退輔會,首先肯定退不會,答案肯定是不。,"[['首', '答', 0, 1], ['先', '案', 1, 2], ['退', '是', 4, 5], ['會', '。', 6, 7]]",0.14285714285714302,0.7142857142857143
10,退輔會各級榮民醫院,不會各級組名一月,以是出自的名稱。,"[['不', '以', 0, 1], ['會', '是', 1, 2], ['各', '出', 2, 3], ['級', '自', 3, 4], ['組', '的', 4, 5], ['一', '稱', 6, 7], ['月', '。', 7, 8]]",0.666666666666667,1.0
11,退輔會馮主委李副主委,最股會紅委比副作位,最終可獲可得利（；,"[['股', '終', 1, 2], ['會', '可', 2, 3], ['紅', '獲', 3, 4], ['委', '可', 4, 5], ['比', '得', 5, 6], ['副', '利', 6, 7], ['作', '（', 7, 8], ['位', '；', 8, 9]]",0.7,1.0
12,那退下來還有沒有人在念大學有,退下一問拿建立的用,最下一步是什來的。,"[['退', '最', 0, 1], ['問', '步', 3, 4], ['拿', '是', 4, 5], ['建', '什', 5, 6], ['立', '來', 6, 7], ['用', '。', 8, 9]]",0.857142857142857,0.9285714285714286
13,那麼第二個我要問的現在的,第種來問的現在的,另一來自的是是的,"[['第', '另', 0, 1], ['種', '一', 1, 2], ['問', '自', 3, 4], ['現', '是', 5, 6], ['在', '是', 6, 7]]",0.5,0.8333333333333334
14,還在讀高中或者大學,還在讀高動獲的大學,還在讀高中中學時？,"[['動', '中', 4, 5], ['獲', '中', 5, 6], ['的', '學', 6, 7], ['大', '時', 7, 8], ['學', '？', 8, 9]]",0.33333333333333304,0.4444444444444444
15,所以他有沒有享受這個福利有,是在日想制的福有,是在网上玩的吗。,"[['日', '网', 2, 3], ['想', '上', 3, 4], ['制', '玩', 4, 5], ['福', '吗', 6, 7], ['有', '。', 7, 8]]",0.8461538461538459,1.0
16,軍人大概都晚婚,春輪打的東莞會,这们做的很好。,"[['春', '这', 0, 1], ['輪', '们', 1, 2], ['打', '做', 2, 3], ['東', '很', 4, 5], ['莞', '好', 5, 6], ['會', '。', 6, 7]]",1.0,1.0
17,大概都在高中大學,下載都在工準發學,一站都在百方網。,"[['下', '一', 0, 1], ['載', '站', 1, 2], ['工', '百', 4, 5], ['準', '方', 5, 6], ['發', '網', 6, 7], ['學', '。', 7, 8]]",0.625,0.75
18,爭取應有的權益,爭取應有的權益,享取應有的權益,"[['爭', '享', 0, 1]]",0.0,0.14285714285714285
19,為退役的上校,所最意的想效,用最多的是：,"[['所', '用', 0, 1], ['意', '多', 2, 3], ['想', '是', 4, 5], ['效', '：', 5, 6]]",0.833333333333333,0.8333333333333334
20,所以幾乎沒有孩子,是知乎沒有孩子,是可以上到的。,"[['知', '可', 1, 2], ['乎', '以', 2, 3], ['沒', '上', 3, 4], ['有', '到', 4, 5], ['孩', '的', 5, 6], ['子', '。', 6, 7]]",0.375,1.0
21,呂玉林委員所提的,立玲委員所提的,東京公樂所屬的,"[['立', '東', 0, 1], ['玲', '京', 1, 2], ['委', '公', 2, 3], ['員', '樂', 3, 4], ['提', '屬', 5, 6]]",0.375,0.75
22,從這個角度這是不公平的,誠市的角度就不品道,這年的表績就不錯了,"[['誠', '這', 0, 1], ['市', '年', 1, 2], ['角', '表', 3, 4], ['度', '績', 4, 5], ['品', '錯', 7, 8], ['道', '了', 8, 9]]",0.7272727272727271,0.8181818181818182
23,我在這裡做一點補充,所在這裡做的村,「的地市」的。,"[['所', '「', 0, 1], ['在', '的', 1, 2], ['這', '地', 2, 3], ['裡', '市', 3, 4], ['做', '」', 4, 5], ['村', '。', 6, 7]]",0.555555555555556,1.0
24,謝謝副主委的說明,視覺工作的順女,視覺效覺的分義,"[['工', '效', 2, 3], ['作', '覺', 3, 4], ['順', '分', 5, 6], ['女', '義', 6, 7]]",0.875,0.875
25,都能夠全力支持,有不全地支詞,[话多的说。全地支詞,"[['有', '[UNK]', 0, 1], ['不', '话', 1, 2], ['全', '多', 2, 3], ['地', '的', 3, 4], ['支', '说', 4, 5], ['詞', '。', 5, 6]]",0.7142857142857142,1.1428571428571428
26,向上級去反應,小小局取法應,还是￥￥哒。,"[['小', '还', 0, 1], ['小', '是', 1, 2], ['局', '￥', 2, 3], ['取', '￥', 3, 4], ['法', '哒', 4, 5], ['應', '。', 5, 6]]",0.833333333333333,1.0
27,以及各級榮家,許知各級總教,以[[為官。]NK]各級總教,"[['許', '以', 0, 1], ['知', '[UNK]', 1, 2], ['各', '[UNK]', 2, 3], ['級', '為', 3, 4], ['總', '官', 4, 5], ['教', '。', 5, 6]]",0.666666666666667,1.8333333333333333
28,是讓公教人員,是公正佐夜,是这样的。,"[['公', '这', 1, 2], ['正', '样', 2, 3], ['佐', '的', 3, 4], ['夜', '。', 4, 5]]",0.666666666666667,0.8333333333333334
29,就像委員講的,這項穩講的,這項決定。,"[['穩', '決', 2, 3], ['講', '定', 3, 4], ['的', '。', 4, 5]]",0.666666666666667,1.0
30,是我跟委員補充,是我根人,是真的？,"[['我', '真', 1, 2], ['根', '的', 2, 3], ['人', '？', 3, 4]]",0.7142857142857142,0.8571428571428571
